level,list_-3.0,list_-2.5,list_-2.0,list_-1.5,list_-1.0,list_-0.5,list_0.0,list_0.5,list_1.0,list_1.5,list_2.0,list_2.5,list_3.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,13.0,19.0,24.0,30.0
10,-1.6,-1.5,-1.2,-1.0,-0.7,-0.4,0.0,3.1,8.1,13.0,19.0,24.0,30.0
20,-3.2,-3.0,-2.4,-2.0,-1.4,-0.8,0.0,3.2,8.2,13.0,19.0,24.0,30.0
30,-4.800000000000001,-4.5,-3.5999999999999996,-3.0,-2.0999999999999996,-1.2000000000000002,0.0,3.3,8.3,13.0,19.0,24.0,30.0
40,-6.4,-6.0,-4.8,-4.0,-2.8,-1.6,0.0,3.4,8.4,13.0,19.0,24.0,30.0
50,-8.0,-7.5,-6.0,-5.0,-3.5,-2.0,0.0,3.5,8.5,13.0,19.0,24.0,30.0
60,-9.600000000000001,-9.0,-7.199999999999999,-6.0,-4.199999999999999,-2.4000000000000004,0.0,3.6,8.6,13.0,19.0,24.0,30.0
70,-11.200000000000001,-10.5,-8.4,-7.0,-4.8999999999999995,-2.8000000000000003,0.0,3.7,8.7,13.0,19.0,24.0,30.0
80,-12.8,-12.0,-9.6,-8.0,-5.6,-3.2,0.0,3.8,8.8,13.0,19.0,24.0,30.0
90,-14.4,-13.5,-10.799999999999999,-9.0,-6.3,-3.6,0.0,3.9,8.9,13.0,19.0,24.0,30.0
100,-16.0,-15.0,-12.0,-10.0,-7.0,-4.0,0.0,4.0,9.0,13.0,19.0,24.0,30.0
110,-16.0,-15.0,-12.0,-10.0,-7.0,-4.0,0.0,4.0,9.0,13.0,19.0,24.0,30.0
120,-16.0,-15.0,-12.0,-10.0,-7.0,-4.0,0.0,4.0,9.0,13.0,19.0,24.0,30.0
130,-16.0,-15.0,-12.0,-10.0,-7.0,-4.0,0.0,4.0,9.0,13.0,19.0,24.0,30.0
140,-16.0,-15.0,-12.0,-10.0,-7.0,-4.0,0.0,4.0,9.0,13.0,19.0,24.0,30.0
150,-16.0,-15.0,-12.0,-10.0,-7.0,-4.0,0.0,4.0,9.0,13.0,19.0,24.0,30.0
160,-16.0,-15.0,-12.0,-10.0,-7.0,-4.0,0.0,4.0,9.0,13.0,19.0,24.0,30.0
170,-16.0,-15.0,-12.0,-10.0,-7.0,-4.0,0.0,4.0,9.0,13.0,19.0,24.0,30.0
180,-16.0,-15.0,-12.0,-10.0,-7.0,-4.0,0.0,4.0,9.0,13.0,19.0,24.0,30.0
190,-16.0,-15.0,-12.0,-10.0,-7.0,-4.0,0.0,4.0,9.0,13.0,19.0,24.0,30.0
200,-16.0,-15.0,-12.0,-10.0,-7.0,-4.0,0.0,4.0,9.0,13.0,19.0,24.0,30.0
210,-16.0,-15.0,-12.1,-10.0,-7.0,-4.0,0.0,4.0,9.0,13.0,19.0,24.0,30.0
220,-16.0,-15.0,-12.2,-10.0,-7.0,-4.0,0.0,4.0,9.0,13.0,19.0,24.0,30.0
230,-16.0,-15.0,-12.3,-10.0,-7.0,-4.0,0.0,4.0,9.0,13.0,19.0,24.0,30.0
