level,press_-1.0,press_-0.5,press_0.0,press_0.5,press_1.0,press_1.5,press_2.0,press_2.5,press_3.0,press_3.5,press_4.0,press_5.0,press_6.0
0,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
10,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
20,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
30,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
40,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
50,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
60,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
70,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
80,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
90,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
100,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
110,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
120,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
130,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
140,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
150,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
160,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
170,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
180,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
190,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
200,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
210,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
220,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
230,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
240,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
250,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
260,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
270,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
280,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
290,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
300,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
310,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
320,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
330,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
340,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
350,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
360,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
370,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
380,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
390,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
400,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
410,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
420,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
430,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
440,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
450,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
460,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
470,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
480,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
490,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
500,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0
510,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,3.98,4.0,5.0,5.98,7.0,8.98
520,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,3.96,4.0,5.0,5.96,7.0,8.96
530,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,3.94,4.0,5.0,5.94,7.0,8.94
540,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,3.92,4.0,5.0,5.92,7.0,8.92
550,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,3.9,4.0,5.0,5.9,7.0,8.9
560,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,3.88,4.0,5.0,5.88,7.0,8.88
570,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,3.86,4.0,5.0,5.86,7.0,8.86
580,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,3.84,4.0,5.0,5.84,7.0,8.84
590,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,3.82,4.0,5.0,5.82,7.0,8.82
600,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,3.8,4.0,5.0,5.8,7.0,8.8
610,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,3.78,4.0,5.0,5.78,7.0,8.78
620,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,3.76,4.0,5.0,5.76,7.0,8.76
630,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,3.74,4.0,5.0,5.74,7.0,8.74
640,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,3.7199999999999998,4.0,5.0,5.72,7.0,8.72
650,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,3.7,4.0,5.0,5.7,7.0,8.7
660,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,3.68,4.0,5.0,5.68,7.0,8.68
670,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,3.66,4.0,5.0,5.66,7.0,8.66
680,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,3.64,4.0,5.0,5.64,7.0,8.64
690,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,3.62,4.0,5.0,5.62,7.0,8.62
700,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,3.6,4.0,5.0,5.6,7.0,8.6
710,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,3.58,4.0,5.0,5.58,7.0,8.58
720,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,3.56,4.0,5.0,5.56,7.0,8.56
730,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,3.54,4.0,5.0,5.54,7.0,8.54
740,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,3.52,4.0,5.0,5.52,7.0,8.52
750,-1.0,-1.0,0.0,1.0,1.0,2.0,3.0,3.5,4.0,5.0,5.5,7.0,8.5
