Press,pcorr,
-1,0.999772,
-0.9,0.999795,
-0.8,0.999817,
-0.7,0.99984,
-0.6,0.999863,
-0.5,0.999886,
-0.4,0.999909,
-0.3,0.999932,
-0.2,0.999954,
-0.1,0.999977,
0,1,
0.1,1.000023,
0.2,1.000046,
0.3,1.000068,
0.4,1.000091,
0.5,1.000114,
0.6,1.000137,
0.7,1.00016,
0.8,1.000183,
0.9,1.000205,
1,1.000228,
1.1,1.000251,
1.2,1.000274,
1.3,1.000297,
1.4,1.00032,
1.5,1.000342,
1.6,1.000365,
1.7,1.000388,
1.8,1.000411,
1.9,1.000434,
2,1.000457,
2.1,1.000479,
2.2,1.000502,
2.3,1.000525,
2.4,1.000548,
2.5,1.000571,
2.6,1.000594,
2.7,1.000616,
2.8,1.000639,
2.9,1.000662,
3,1.000685,
3.1,1.000708,
3.2,1.000731,
3.3,1.000753,
3.4,1.000776,
3.5,1.000799,
3.6,1.000822,
3.7,1.000845,
3.8,1.000868,
3.9,1.00089,
4,1.000913,
4.1,1.000936,
4.2,1.000959,
4.3,1.000982,
4.4,1.001005,
4.5,1.001027,
4.6,1.00105,
4.7,1.001073,
4.8,1.001096,
4.9,1.001119,
5,1.001142,
5.1,1.001164,
5.2,1.001187,
5.3,1.00121,
5.4,1.001233,
5.5,1.001256,
5.6,1.001279,
5.7,1.001301,
5.8,1.001324,
6,1.001347,
