level,trim_-5.0,trim_-4.5,trim_-4.0,trim_-3.5,trim_-3.0,trim_-2.5,trim_-2.0,trim_-1.5,trim_-1.0,trim_-0.5,trim_0.0,trim_0.5,trim_1.0,trim_1.5,trim_2.0
0,16,14,12,11,9,7,5,3,2,1,0,15,32,48,65
10,10.5,8.6,6.7,5.8,4,2.4,0.8,-0.5,-0.5,-0.3,0,14.8,31.5,47.3,64.1
20,5,3.2,1.4,0.6,-1,-2.2,-3.4,-4,-3,-1.6,0,14.6,31,46.6,63.2
30,-0.5,-2.2,-3.9,-4.6,-6,-6.8,-7.6,-7.5,-5.5,-2.9,0,14.4,30.5,45.9,62.3
40,-6,-7.6,-9.2,-9.8,-11,-11.4,-11.8,-11,-8,-4.2,0,14.2,30,45.2,61.4
50,-11.5,-13,-14.5,-15,-16,-16,-16,-14.5,-10.5,-5.5,0,14,29.5,44.5,60.5
60,-17,-18.4,-19.8,-20.2,-21,-20.6,-20.2,-18,-13,-6.8,0,13.8,29,43.8,59.6
70,-22.5,-23.8,-25.1,-25.4,-26,-25.2,-24.4,-21.5,-15.5,-8.1,0,13.6,28.5,43.1,58.7
80,-28,-29.2,-30.4,-30.6,-31,-29.8,-28.6,-25,-18,-9.4,0,13.4,28,42.4,57.8
90,-33.5,-34.6,-35.7,-35.8,-36,-34.4,-32.8,-28.5,-20.5,-10.7,0,13.2,27.5,41.7,56.9
100,-39,-40,-41,-41,-41,-39,-37,-32,-23,-12,0,13,27,41,56
110,-42.7,-43.4,-44.1,-43.7,-43.1,-40.6,-37.9,-32.3,-23.1,-12,0,13,26.9,40.9,55.8
120,-46.4,-46.8,-47.2,-46.4,-45.2,-42.2,-38.8,-32.6,-23.2,-12,0,13,26.8,40.8,55.6
130,-50.1,-50.2,-50.3,-49.1,-47.3,-43.8,-39.7,-32.9,-23.3,-12,0,13,26.7,40.7,55.4
140,-53.8,-53.6,-53.4,-51.8,-49.4,-45.4,-40.6,-33.2,-23.4,-12,0,13,26.6,40.6,55.2
150,-57.5,-57,-56.5,-54.5,-51.5,-47,-41.5,-33.5,-23.5,-12,0,13,26.5,40.5,55
160,-61.2,-60.4,-59.6,-57.2,-53.6,-48.6,-42.4,-33.8,-23.6,-12,0,13,26.4,40.4,54.8
170,-64.9,-63.8,-62.7,-59.9,-55.7,-50.2,-43.3,-34.1,-23.7,-12,0,13,26.3,40.3,54.6
180,-68.6,-67.2,-65.8,-62.6,-57.8,-51.8,-44.2,-34.4,-23.8,-12,0,13,26.2,40.2,54.4
190,-72.3,-70.6,-68.9,-65.3,-59.9,-53.4,-45.1,-34.7,-23.9,-12,0,13,26.1,40.1,54.2
200,-76,-74,-72,-68,-62,-55,-46,-35,-24,-12,0,13,26,40,54
210,-78.2,-75.8,-73.3,-68.9,-62.6,-55.3,-46.1,-35.1,-24.1,-12.1,0,13,26,40,54
220,-80.4,-77.6,-74.6,-69.8,-63.2,-55.6,-46.2,-35.2,-24.2,-12.2,0,13,26,40,54
230,-82.6,-79.4,-75.9,-70.7,-63.8,-55.9,-46.3,-35.3,-24.3,-12.3,0,13,26,40,54
240,-84.8,-81.2,-77.2,-71.6,-64.4,-56.2,-46.4,-35.4,-24.4,-12.4,0,13,26,40,54
250,-87,-83,-78.5,-72.5,-65,-56.5,-46.5,-35.5,-24.5,-12.5,0,13,26,40,54
260,-89.2,-84.8,-79.8,-73.4,-65.6,-56.8,-46.6,-35.6,-24.6,-12.6,0,13,26,40,54
270,-91.4,-86.6,-81.1,-74.3,-66.2,-57.1,-46.7,-35.7,-24.7,-12.7,0,13,26,40,54
280,-93.6,-88.4,-82.4,-75.2,-66.8,-57.4,-46.8,-35.8,-24.8,-12.8,0,13,26,40,54
290,-95.8,-90.2,-83.7,-76.1,-67.4,-57.7,-46.9,-35.9,-24.9,-12.9,0,13,26,40,54
300,-98,-92,-85,-77,-68,-58,-47,-36,-25,-13,0,13,26,40,54
310,-98.9,-92.7,-85.5,-77.3,-68.2,-58.1,-47.1,-36.1,-25,-13,0,13,26,40,53.9
320,-99.8,-93.4,-86,-77.6,-68.4,-58.2,-47.2,-36.2,-25,-13,0,13,26,40,53.8
330,-100.7,-94.1,-86.5,-77.9,-68.6,-58.3,-47.3,-36.3,-25,-13,0,13,26,40,53.7
340,-101.6,-94.8,-87,-78.2,-68.8,-58.4,-47.4,-36.4,-25,-13,0,13,26,40,53.6
350,-102.5,-95.5,-87.5,-78.5,-69,-58.5,-47.5,-36.5,-25,-13,0,13,26,40,53.5
360,-103.4,-96.2,-88,-78.8,-69.2,-58.6,-47.6,-36.6,-25,-13,0,13,26,40,53.4
370,-104.3,-96.9,-88.5,-79.1,-69.4,-58.7,-47.7,-36.7,-25,-13,0,13,26,40,53.3
380,-105.2,-97.6,-89,-79.4,-69.6,-58.8,-47.8,-36.8,-25,-13,0,13,26,40,53.2
390,-106.1,-98.3,-89.5,-79.7,-69.8,-58.9,-47.9,-36.9,-25,-13,0,13,26,40,53.1
400,-107,-99,-90,-80,-70,-59,-48,-37,-25,-13,0,13,26,40,53
410,-107.4,-99.3,-90.2,-80.2,-70.1,-59.1,-48.1,-37,-25,-13,0,13,26,39.9,53
420,-107.8,-99.6,-90.4,-80.4,-70.2,-59.2,-48.2,-37,-25,-13,0,13,26,39.8,53
430,-108.2,-99.9,-90.6,-80.6,-70.3,-59.3,-48.3,-37,-25,-13,0,13,26,39.7,53
440,-108.6,-100.2,-90.8,-80.8,-70.4,-59.4,-48.4,-37,-25,-13,0,13,26,39.6,53
450,-109,-100.5,-91,-81,-70.5,-59.5,-48.5,-37,-25,-13,0,13,26,39.5,53
460,-109.4,-100.8,-91.2,-81.2,-70.6,-59.6,-48.6,-37,-25,-13,0,13,26,39.4,53
470,-109.8,-101.1,-91.4,-81.4,-70.7,-59.7,-48.7,-37,-25,-13,0,13,26,39.3,53
480,-110.2,-101.4,-91.6,-81.6,-70.8,-59.8,-48.8,-37,-25,-13,0,13,26,39.2,53
490,-110.6,-101.7,-91.8,-81.8,-70.9,-59.9,-48.9,-37,-25,-13,0,13,26,39.1,53
500,-111,-102,-92,-82,-71,-60,-49,-37,-25,-13,0,13,26,39,53
510,-111.16,-102.12,-92.1,-82.06,-71.06,-60.04,-49.02,-37.02,-25,-13,0,13,26,39,52.98
520,-111.32,-102.24,-92.2,-82.12,-71.12,-60.08,-49.04,-37.04,-25,-13,0,13,26,39,52.96
530,-111.48,-102.36,-92.3,-82.18,-71.18,-60.12,-49.06,-37.06,-25,-13,0,13,26,39,52.94
540,-111.64,-102.48,-92.4,-82.24,-71.24,-60.16,-49.08,-37.08,-25,-13,0,13,26,39,52.92
550,-111.8,-102.6,-92.5,-82.3,-71.3,-60.2,-49.1,-37.1,-25,-13,0,13,26,39,52.9
