level,volume
0,0.322
10,0.417
20,0.586
30,0.804
40,1.051
50,1.334
60,1.648
70,1.991
80,2.361
90,2.757
100,3.177
110,3.619
120,4.084
130,4.571
140,5.078
150,5.606
160,6.153
170,6.718
180,7.302
190,7.904
200,8.523
210,9.159
220,9.811
230,10.48
240,11.165
250,11.865
260,12.581
270,13.312
280,14.058
290,14.818
300,15.593
310,16.382
320,17.185
330,18.002
340,18.833
350,19.677
360,20.534
370,21.405
380,22.288
390,23.184
400,24.092
410,25.013
420,25.946
430,26.892
440,27.849
450,28.819
460,29.801
470,30.794
480,31.799
490,32.815
500,33.843
510,34.882
520,35.933
530,36.994
540,38.067
550,39.15
560,40.244
570,41.35
580,42.466
590,43.592
600,44.729
610,45.877
620,47.035
630,48.203
640,49.381
650,50.569
660,51.768
670,52.976
680,54.194
690,55.422
700,56.66
710,57.907
720,59.164
730,60.431
740,61.707
750,62.993
760,64.287
770,65.592
780,66.905
790,68.228
800,69.559
810,70.9
820,72.25
830,73.609
840,74.976
850,76.353
860,77.738
870,79.132
880,80.535
890,81.946
900,83.366
910,84.795
920,86.232
930,87.678
940,89.132
950,90.594
960,92.064
970,93.543
980,95.03
990,96.526
1000,98.029
1010,99.54
1020,101.06
1030,102.587
1040,104.122
1050,105.665
1060,107.215
1070,108.774
1080,110.34
1090,111.914
1100,113.495
1110,115.085
1120,116.681
1130,118.286
1140,119.898
1150,121.518
1160,123.145
1170,124.779
1180,126.421
1190,128.071
1200,129.727
1210,131.391
1220,133.063
1230,134.741
1240,136.427
1250,138.12
1260,139.82
1270,141.527
1280,143.242
1290,144.963
1300,146.691
1310,148.426
1320,150.169
1330,151.918
1340,153.674
1350,155.437
1360,157.206
1370,158.983
1380,160.766
1390,162.556
1400,164.352
1410,166.156
1420,167.966
1430,169.782
1440,171.605
1450,173.435
1460,175.271
1470,177.114
1480,178.963
1490,180.818
1500,182.68
1510,184.549
1520,186.423
1530,188.304
1540,190.191
1550,192.085
1560,193.985
1570,195.89
1580,197.803
1590,199.721
1600,201.645
1610,203.576
1620,205.513
1630,207.455
1640,209.404
1650,211.358
1660,213.319
1670,215.286
1680,217.258
1690,219.237
1700,221.221
1710,223.211
1720,225.207
1730,227.209
1740,229.216
1750,231.229
1760,233.248
1770,235.273
1780,237.304
1790,239.338
1800,241.379
1810,243.425
1820,245.476
1830,247.534
1840,249.596
1850,251.665
1860,253.738
1870,255.817
1880,257.902
1890,259.992
1900,262.087
1910,264.188
1920,266.294
1930,268.406
1940,270.523
1950,272.645
1960,274.772
1970,276.904
1980,279.042
1990,281.185
2000,283.333
2010,285.486
2020,287.645
2030,289.808
2040,291.977
2050,294.151
2060,296.329
2070,298.513
2080,300.702
2090,302.895
2100,305.094
2110,307.298
2120,309.506
2130,311.72
2140,313.938
2150,316.161
2160,318.389
2170,320.622
2180,322.859
2190,325.102
2200,327.349
2210,329.601
2220,331.857
2230,334.119
2240,336.385
2250,338.655
2260,340.93
2270,343.21
2280,345.495
2290,347.784
2300,350.077
2310,352.375
2320,354.678
2330,356.985
2340,359.297
2350,361.613
2360,363.933
2370,366.258
2380,368.588
2390,370.921
2400,373.259
2410,375.602
2420,377.948
2430,380.299
2440,382.655
2450,385.015
2460,387.378
2470,389.746
2480,392.119
2490,394.495
2500,396.876
2510,399.261
2520,401.65
2530,404.043
2540,406.44
2550,408.841
2560,411.247
2570,413.656
2580,416.07
2590,418.487
2600,420.908
2610,423.334
2620,425.763
2630,428.197
2640,430.634
2650,433.075
2660,435.52
2670,437.969
2680,440.422
2690,442.878
2700,445.339
2710,447.803
2720,450.271
2730,452.743
2740,455.219
2750,457.698
2760,460.181
2770,462.668
2780,465.158
2790,467.652
2800,470.15
2810,472.651
2820,475.156
2830,477.665
2840,480.177
2850,482.692
2860,485.212
2870,487.734
2880,490.261
2890,492.791
2900,495.324
2910,497.861
2920,500.401
2930,502.944
2940,505.491
2950,508.042
2960,510.595
2970,513.153
2980,515.713
2990,518.277
3000,520.844
3010,523.414
3020,525.988
3030,528.565
3040,531.145
3050,533.729
3060,536.315
3070,538.905
3080,541.498
3090,544.094
3100,546.694
3110,549.296
3120,551.902
3130,554.51
3140,557.122
3150,559.737
3160,562.355
3170,564.976
3180,567.6
3190,570.227
3200,572.857
3210,575.49
3220,578.126
3230,580.765
3240,583.407
3250,586.051
3260,588.699
3270,591.349
3280,594.003
3290,596.659
3300,599.318
3310,601.98
3320,604.644
3330,607.312
3340,609.982
