level,trim_-5.0,trim_-4.5,trim_-4.0,trim_-3.5,trim_-3.0,trim_-2.5,trim_-2.0,trim_-1.5,trim_-1.0,trim_-0.5,trim_0.0,trim_0.5,trim_1.0,trim_1.5,trim_2.0
0,14.0,13.0,11.0,10.0,8.0,6.0,4.0,3.0,1.0,0.0,0.0,16.0,32.0,49.0,66.0
10,8.5,7.5,5.6,4.7,3.0,1.2999999999999998,-0.20000000000000018,-0.6000000000000001,-1.5,-1.3,0.0,15.8,31.6,48.4,65.2
20,3.0,2.0,0.1999999999999993,-0.5999999999999996,-2.0,-3.4000000000000004,-4.4,-4.2,-4.0,-2.6,0.0,15.6,31.2,47.8,64.4
30,-2.5,-3.5,-5.200000000000003,-5.899999999999999,-7.0,-8.100000000000001,-8.600000000000001,-7.800000000000001,-6.5,-3.9000000000000004,0.0,15.4,30.8,47.2,63.6
40,-8.0,-9.0,-10.600000000000001,-11.2,-12.0,-12.8,-12.8,-11.4,-9.0,-5.2,0.0,15.2,30.4,46.6,62.8
50,-13.5,-14.5,-16.0,-16.5,-17.0,-17.5,-17.0,-15.0,-11.5,-6.5,0.0,15.0,30.0,46.0,62.0
60,-19.0,-20.0,-21.400000000000006,-21.799999999999997,-22.0,-22.200000000000003,-21.200000000000003,-18.6,-14.0,-7.800000000000001,0.0,14.8,29.6,45.4,61.2
70,-24.5,-25.5,-26.800000000000004,-27.1,-27.0,-26.9,-25.400000000000002,-22.2,-16.5,-9.1,0.0,14.6,29.2,44.8,60.4
80,-30.0,-31.0,-32.2,-32.4,-32.0,-31.6,-29.6,-25.8,-19.0,-10.4,0.0,14.4,28.8,44.2,59.6
90,-35.5,-36.5,-37.6,-37.699999999999996,-37.0,-36.300000000000004,-33.800000000000004,-29.4,-21.5,-11.700000000000001,0.0,14.2,28.4,43.6,58.8
100,-41.0,-42.0,-43.0,-43.0,-42.0,-41.0,-38.0,-33.0,-24.0,-13.0,0.0,14.0,28.0,43.0,58.0
110,-44.8,-45.5,-46.1,-45.7,-44.2,-42.6,-38.9,-33.4,-24.1,-13.0,0.0,13.9,27.9,42.8,57.8
120,-48.6,-49.0,-49.2,-48.4,-46.4,-44.2,-39.8,-33.8,-24.2,-13.0,0.0,13.8,27.8,42.6,57.6
130,-52.4,-52.5,-52.3,-51.1,-48.6,-45.8,-40.7,-34.2,-24.3,-13.0,0.0,13.7,27.7,42.4,57.4
140,-56.2,-56.0,-55.4,-53.8,-50.8,-47.4,-41.6,-34.6,-24.4,-13.0,0.0,13.6,27.6,42.2,57.2
150,-60.0,-59.5,-58.5,-56.5,-53.0,-49.0,-42.5,-35.0,-24.5,-13.0,0.0,13.5,27.5,42.0,57.0
160,-63.8,-63.0,-61.6,-59.2,-55.2,-50.6,-43.4,-35.4,-24.6,-13.0,0.0,13.4,27.4,41.8,56.8
170,-67.6,-66.5,-64.7,-61.900000000000006,-57.400000000000006,-52.2,-44.3,-35.8,-24.7,-13.0,0.0,13.3,27.3,41.6,56.6
180,-71.4,-70.0,-67.8,-64.6,-59.6,-53.8,-45.2,-36.2,-24.8,-13.0,0.0,13.2,27.2,41.4,56.4
190,-75.19999999999999,-73.5,-70.9,-67.3,-61.8,-55.4,-46.1,-36.6,-24.9,-13.0,0.0,13.1,27.1,41.2,56.2
200,-79.0,-77.0,-74.0,-70.0,-64.0,-57.0,-47.0,-37.0,-25.0,-13.0,0.0,13.0,27.0,41.0,56.0
210,-81.2,-78.8,-75.4,-70.9,-64.6,-57.3,-47.2,-37.0,-25.0,-13.0,0.0,13.0,27.0,41.0,55.9
220,-83.4,-80.6,-76.8,-71.8,-65.2,-57.6,-47.4,-37.0,-25.0,-13.0,0.0,13.0,27.0,41.0,55.8
230,-85.6,-82.4,-78.2,-72.7,-65.8,-57.9,-47.6,-37.0,-25.0,-13.0,0.0,13.0,27.0,41.0,55.7
240,-87.8,-84.2,-79.6,-73.6,-66.4,-58.2,-47.8,-37.0,-25.0,-13.0,0.0,13.0,27.0,41.0,55.6
250,-90.0,-86.0,-81.0,-74.5,-67.0,-58.5,-48.0,-37.0,-25.0,-13.0,0.0,13.0,27.0,41.0,55.5
260,-92.2,-87.8,-82.4,-75.4,-67.6,-58.8,-48.2,-37.0,-25.0,-13.0,0.0,13.0,27.0,41.0,55.4
270,-94.4,-89.6,-83.8,-76.3,-68.2,-59.1,-48.4,-37.0,-25.0,-13.0,0.0,13.0,27.0,41.0,55.3
280,-96.6,-91.4,-85.2,-77.2,-68.8,-59.4,-48.6,-37.0,-25.0,-13.0,0.0,13.0,27.0,41.0,55.2
290,-98.8,-93.2,-86.6,-78.1,-69.4,-59.7,-48.8,-37.0,-25.0,-13.0,0.0,13.0,27.0,41.0,55.1
300,-101.0,-95.0,-88.0,-79.0,-70.0,-60.0,-49.0,-37.0,-25.0,-13.0,0.0,13.0,27.0,41.0,55.0
310,-102.0,-95.7,-88.5,-79.4,-70.2,-60.1,-49.1,-37.1,-25.1,-13.0,0.0,13.0,27.0,41.0,55.0
320,-103.0,-96.4,-89.0,-79.8,-70.4,-60.2,-49.2,-37.2,-25.2,-13.0,0.0,13.0,27.0,41.0,55.0
330,-104.0,-97.1,-89.5,-80.2,-70.6,-60.3,-49.3,-37.3,-25.3,-13.0,0.0,13.0,27.0,41.0,55.0
340,-105.0,-97.8,-90.0,-80.6,-70.8,-60.4,-49.4,-37.4,-25.4,-13.0,0.0,13.0,27.0,41.0,55.0
350,-106.0,-98.5,-90.5,-81.0,-71.0,-60.5,-49.5,-37.5,-25.5,-13.0,0.0,13.0,27.0,41.0,55.0
360,-107.0,-99.2,-91.0,-81.4,-71.2,-60.6,-49.6,-37.6,-25.6,-13.0,0.0,13.0,27.0,41.0,55.0
370,-108.0,-99.9,-91.5,-81.8,-71.4,-60.7,-49.7,-37.7,-25.7,-13.0,0.0,13.0,27.0,41.0,55.0
380,-109.0,-100.6,-92.0,-82.2,-71.6,-60.8,-49.8,-37.8,-25.8,-13.0,0.0,13.0,27.0,41.0,55.0
390,-110.0,-101.3,-92.5,-82.6,-71.8,-60.9,-49.9,-37.9,-25.9,-13.0,0.0,13.0,27.0,41.0,55.0
400,-111.0,-102.0,-93.0,-83.0,-72.0,-61.0,-50.0,-38.0,-26.0,-13.0,0.0,13.0,27.0,41.0,55.0
410,-111.4,-102.3,-93.2,-83.2,-72.2,-61.1,-50.0,-38.0,-26.0,-13.0,0.0,13.0,27.0,40.9,54.9
420,-111.8,-102.6,-93.4,-83.4,-72.4,-61.2,-50.0,-38.0,-26.0,-13.0,0.0,13.0,27.0,40.8,54.8
430,-112.2,-102.9,-93.6,-83.6,-72.6,-61.3,-50.0,-38.0,-26.0,-13.0,0.0,13.0,27.0,40.7,54.7
440,-112.6,-103.2,-93.8,-83.8,-72.8,-61.4,-50.0,-38.0,-26.0,-13.0,0.0,13.0,27.0,40.6,54.6
450,-113.0,-103.5,-94.0,-84.0,-73.0,-61.5,-50.0,-38.0,-26.0,-13.0,0.0,13.0,27.0,40.5,54.5
460,-113.4,-103.8,-94.2,-84.2,-73.2,-61.6,-50.0,-38.0,-26.0,-13.0,0.0,13.0,27.0,40.4,54.4
470,-113.8,-104.1,-94.4,-84.4,-73.4,-61.7,-50.0,-38.0,-26.0,-13.0,0.0,13.0,27.0,40.3,54.3
480,-114.2,-104.4,-94.6,-84.6,-73.6,-61.8,-50.0,-38.0,-26.0,-13.0,0.0,13.0,27.0,40.2,54.2
490,-114.6,-104.7,-94.8,-84.8,-73.8,-61.9,-50.0,-38.0,-26.0,-13.0,0.0,13.0,27.0,40.1,54.1
500,-115.0,-105.0,-95.0,-85.0,-74.0,-62.0,-50.0,-38.0,-26.0,-13.0,0.0,13.0,27.0,40.0,54.0
510,-115.16,-105.14,-95.1,-85.06,-74.04,-62.04,-50.02,-38.02,-26.0,-13.0,0.0,13.0,27.0,40.0,54.0
520,-115.32,-105.28,-95.2,-85.12,-74.08,-62.08,-50.04,-38.04,-26.0,-13.0,0.0,13.0,27.0,40.0,54.0
530,-115.48,-105.42,-95.3,-85.18,-74.12,-62.12,-50.06,-38.06,-26.0,-13.0,0.0,13.0,27.0,40.0,54.0
540,-115.64,-105.56,-95.4,-85.24,-74.16,-62.16,-50.08,-38.08,-26.0,-13.0,0.0,13.0,27.0,40.0,54.0
550,-115.8,-105.7,-95.5,-85.3,-74.2,-62.2,-50.1,-38.1,-26.0,-13.0,0.0,13.0,27.0,40.0,54.0
560,-115.96,-105.84,-95.6,-85.36,-74.24,-62.24,-50.12,-38.12,-26.0,-13.0,0.0,13.0,27.0,40.0,54.0
570,-116.12,-105.98,-95.7,-85.42,-74.28,-62.28,-50.14,-38.14,-26.0,-13.0,0.0,13.0,27.0,40.0,54.0
580,-116.28,-106.12,-95.8,-85.48,-74.32,-62.32,-50.16,-38.16,-26.0,-13.0,0.0,13.0,27.0,40.0,54.0
590,-116.44,-106.26,-95.9,-85.54,-74.36,-62.36,-50.18,-38.18,-26.0,-13.0,0.0,13.0,27.0,40.0,54.0
