level,volume
0,0.322
10,0.416
20,0.585
30,0.803
40,1.05
50,1.332
60,1.645
70,1.988
80,2.357
90,2.753
100,3.172
110,3.614
120,4.078
130,4.564
140,5.071
150,5.598
160,6.144
170,6.709
180,7.292
190,7.893
200,8.511
210,9.146
220,9.798
230,10.466
240,11.15
250,11.85
260,12.565
270,13.295
280,14.04
290,14.8
300,15.574
310,16.362
320,17.165
330,17.981
340,18.811
350,19.654
360,20.51
370,21.38
380,22.263
390,23.157
400,24.065
410,24.985
420,25.917
430,26.862
440,27.819
450,28.788
460,29.768
470,30.761
480,31.765
490,32.78
500,33.807
510,34.846
520,35.895
530,36.956
540,38.027
550,39.11
560,40.203
570,41.308
580,42.423
590,43.549
600,44.685
610,45.831
620,46.988
630,48.156
640,49.333
650,50.52
660,51.717
670,52.925
680,54.142
690,55.369
700,56.606
710,57.852
720,59.108
730,60.374
740,61.649
750,62.934
760,64.228
770,65.531
780,66.843
790,68.165
800,69.496
810,70.835
820,72.184
830,73.542
840,74.909
850,76.284
860,77.669
870,79.062
880,80.463
890,81.874
900,83.293
910,84.72
920,86.156
930,87.601
940,89.054
950,90.515
960,91.984
970,93.462
980,94.948
990,96.443
1000,97.945
1010,99.455
1020,100.974
1030,102.5
1040,104.034
1050,105.575
1060,107.125
1070,108.682
1080,110.247
1090,111.82
1100,113.401
1110,114.989
1120,116.585
1130,118.188
1140,119.799
1150,121.417
1160,123.044
1170,124.677
1180,126.318
1190,127.966
1200,129.622
1210,131.285
1220,132.955
1230,134.632
1240,136.317
1250,138.009
1260,139.708
1270,141.414
1280,143.127
1290,144.847
1300,146.574
1310,148.309
1320,150.05
1330,151.798
1340,153.552
1350,155.314
1360,157.083
1370,158.858
1380,160.64
1390,162.429
1400,164.224
1410,166.026
1420,167.835
1430,169.651
1440,171.472
1450,173.301
1460,175.136
1470,176.977
1480,178.825
1490,180.68
1500,182.54
1510,184.408
1520,186.281
1530,188.161
1540,190.047
1550,191.939
1560,193.838
1570,195.743
1580,197.653
1590,199.571
1600,201.494
1610,203.423
1620,205.358
1630,207.3
1640,209.247
1650,211.201
1660,213.16
1670,215.126
1680,217.097
1690,219.074
1700,221.057
1710,223.046
1720,225.041
1730,227.041
1740,229.048
1750,231.06
1760,233.077
1770,235.101
1780,237.13
1790,239.164
1800,241.203
1810,243.248
1820,245.298
1830,247.354
1840,249.415
1850,251.482
1860,253.555
1870,255.633
1880,257.716
1890,259.805
1900,261.899
1910,263.998
1920,266.103
1930,268.213
1940,270.329
1950,272.45
1960,274.576
1970,276.707
1980,278.843
1990,280.985
2000,283.132
2010,285.284
2020,287.441
2030,289.603
2040,291.77
2050,293.943
2060,296.12
2070,298.303
2080,300.49
2090,302.682
2100,304.88
2110,307.082
2120,309.289
2130,311.502
2140,313.718
2150,315.94
2160,318.167
2170,320.398
2180,322.635
2190,324.876
2200,327.121
2210,329.372
2220,331.627
2230,333.887
2240,336.152
