level,list_-3.0,list_-2.5,list_-2.0,list_-1.5,list_-1.0,list_-0.5,list_0.0,list_0.5,list_1.0,list_1.5,list_2.0,list_2.5,list_3.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,2,1,0,0,0,0,0,0,0,1,2,3,4
0.02,5,3,1,0,0,0,0,0,1,1,1,4,6
0.03,5,4,2,1,0,0,0,0,1,2,3,6,8
0.04,6,4,2,2,1,0,0,0,1,2,3,6,8
0.05,5.666666667,3.666666667,1.833333333,1.666666667,0.833333333,0,0,0,1,2,3,5.666666667,7.666666667
0.06,5.333333333,3.333333333,1.666666667,1.333333333,0.666666667,0,0,0,1,2,3,5.333333333,7.333333333
0.07,5,3,1.5,1,0.5,0,0,0,1,2,3,5,7
0.08,4.666666667,2.666666667,1.333333333,0.666666667,0.333333333,0,0,0,1,2,3,4.666666667,6.666666667
0.09,4.333333333,2.333333333,1.166666667,0.333333333,0.166666667,0,0,0,1,2,3,4.333333333,6.333333333
0.1,4,2,1,0,0,0,0,0,1,2,3,4,6
0.11,3.9,2,1.1,0.1,0,0,0,0,1,2,3,4,6
0.12,3.8,2,1.2,0.2,0,0,0,0,1,2,3,4,6
0.13,3.7,2,1.3,0.3,0,0,0,0,1,2,3,4,6
0.14,3.6,2,1.4,0.4,0,0,0,0,1,2,3,4,6
0.15,3.5,2,1.5,0.5,0,0,0,0,1,2,3,4,6
0.16,3.4,2,1.6,0.6,0,0,0,0,1,2,3,4,6
0.17,3.3,2,1.7,0.7,0,0,0,0,1,2,3,4,6
0.18,3.2,2,1.8,0.8,0,0,0,0,1,2,3,4,6
0.19,3.1,2,1.9,0.9,0,0,0,0,1,2,3,4,6
0.2,3,2,2,1,0,0,0,0,1,2,3,4,6
0.21,3.2,2.2,2,1,0,0,0,0,1,2,3,4.1,6.1
0.22,3.4,2.4,2,1,0,0,0,0,1,2,3,4.2,6.2
0.23,3.6,2.6,2,1,0,0,0,0,1,2,3,4.3,6.3
0.24,3.8,2.8,2,1,0,0,0,0,1,2,3,4.4,6.4
0.25,4,3,2,1,0,0,0,0,1,2,3,4.5,6.5
0.26,4.2,3.2,2,1,0,0,0,0,1,2,3,4.6,6.6
0.27,4.4,3.4,2,1,0,0,0,0,1,2,3,4.7,6.7
0.28,4.6,3.6,2,1,0,0,0,0,1,2,3,4.8,6.8
0.29,4.8,3.8,2,1,0,0,0,0,1,2,3,4.9,6.9
0.3,5,4,2,1,0,0,0,0,1,2,3,5,7
0.31,5,4,2,1,0,0,0,0,1,2,3,4.9,6.9
0.32,5,4,2,1,0,0,0,0,1,2,3,4.8,6.8
0.33,5,4,2,1,0,0,0,0,1,2,3,4.7,6.7
