Press,pcorr
-5,0.998493
-4.9,0.998523
-4.8,0.998553
-4.7,0.998583
-4.6,0.998613
-4.5,0.998643
-4.4,0.998674
-4.3,0.998704
-4.2,0.998734
-4.1,0.998764
-4,0.998794
-3.9,0.998824
-3.8,0.998854
-3.7,0.998884
-3.6,0.998915
-3.5,0.998945
-3.4,0.998975
-3.3,0.999005
-3.2,0.999035
-3.1,0.999065
-3,0.999095
-2.9,0.999126
-2.8,0.999156
-2.7,0.999186
-2.6,0.999216
-2.5,0.999246
-2.4,0.999276
-2.3,0.999306
-2.2,0.999337
-2.1,0.999367
-2,0.999397
-1.9,0.999427
-1.8,0.999457
-1.7,0.999487
-1.6,0.999518
-1.5,0.999548
-1.4,0.999578
-1.3,0.999608
-1.2,0.999638
-1.1,0.999668
-1,0.999698
-0.9,0.999729
-0.8,0.999759
-0.7,0.999789
-0.6,0.999819
-0.5,0.999849
-0.4,0.999879
-0.3,0.99991
-0.2,0.99994
-0.1,0.99997
0,1
0.1,1.00003
0.2,1.00006
0.3,1.00009
0.4,1.000121
0.5,1.000151
0.6,1.000181
0.7,1.000211
0.8,1.000241
0.9,1.000271
1,1.000302
1.1,1.000332
1.2,1.000362
1.3,1.000392
1.4,1.000422
1.5,1.000452
1.6,1.000483
1.7,1.000513
1.8,1.000543
1.9,1.000573
2,1.000603
2.1,1.000633
2.2,1.000664
2.3,1.000694
2.4,1.000724
2.5,1.000754
2.6,1.000784
2.7,1.000814
2.8,1.000845
2.9,1.000875
3,1.000905
3.1,1.000935
3.2,1.000965
3.3,1.000996
3.4,1.001026
3.5,1.001056
3.6,1.001086
3.7,1.001116
3.8,1.001146
3.9,1.001177
4,1.001207
4.1,1.001237
4.2,1.001267
4.3,1.001297
4.4,1.001328
4.5,1.001358
4.6,1.001388
4.7,1.001418
4.8,1.001448
4.9,1.001478
