Temp,tcorr
-165,0.99461
-164,0.99463
-163,0.99464
-162,0.99466
-161,0.99467
-160,0.99469
-159,0.99471
-158,0.99473
-157,0.99475
-156,0.99477
-155,0.99479
-154,0.99481
-153,0.99483
-152,0.99485
-151,0.99487
-150,0.99489
-149,0.99491
-148,0.99493
-147,0.99496
-146,0.99498
-145,0.995
-144,0.99502
-143,0.99505
-142,0.99507
-141,0.99509
-140,0.99511
-139,0.99514
-138,0.99516
-137,0.99519
-136,0.99521
-135,0.99524
-134,0.99526
-133,0.99529
-132,0.99531
-131,0.99534
-130,0.99536
-129,0.99539
-128,0.99541
-127,0.99544
-126,0.99547
-125,0.99549
-124,0.99552
-123,0.99555
-122,0.99557
-121,0.9956
-120,0.99563
-119,0.99566
-118,0.99568
-117,0.99571
-116,0.99574
-115,0.99577
-114,0.99579
-113,0.99582
-112,0.99585
-111,0.99588
-110,0.9959
-109,0.99593
-108,0.99596
-107,0.99599
-106,0.99602
-105,0.99605
-104,0.99608
-103,0.99611
-102,0.99614
-101,0.99617
-100,0.99619
-99,0.99622
-98,0.99625
-97,0.99628
-96,0.99631
-95,0.99634
-94,0.99637
-93,0.9964
-92,0.99643
-91,0.99646
-90,0.99649
-89,0.99652
-88,0.99655
-87,0.99658
-86,0.99661
-85,0.99664
-84,0.99667
-83,0.9967
-82,0.99673
-81,0.99677
-80,0.9968
-79,0.99683
-78,0.99686
-77,0.99689
-76,0.99692
-75,0.99695
-74,0.99698
-73,0.99701
-72,0.99704
-71,0.99707
-70,0.9971
-69,0.99713
-68,0.99717
-67,0.9972
-66,0.99723
-65,0.99726
-64,0.99729
-63,0.99732
-62,0.99736
-61,0.99739
-60,0.99742
-59,0.99745
-58,0.99748
-57,0.99751
-56,0.99754
-55,0.99757
-54,0.99761
-53,0.99764
-52,0.99767
-51,0.9977
-50,0.99773
-49,0.99776
-48,0.99779
-47,0.99783
-46,0.99786
-45,0.99789
-44,0.99792
-43,0.99796
-42,0.99799
-41,0.99802
-40,0.99805
-39,0.99809
-38,0.99812
-37,0.99815
-36,0.99819
-35,0.99822
-34,0.99825
-33,0.99828
-32,0.99832
-31,0.99835
-30,0.99838
-29,0.99842
-28,0.99845
-27,0.99848
-26,0.99852
-25,0.99855
-24,0.99858
-23,0.99862
-22,0.99865
-21,0.99868
-20,0.99871
-19,0.99875
-18,0.99878
-17,0.99881
-16,0.99885
-15,0.99888
-14,0.99891
-13,0.99894
-12,0.99898
-11,0.99901
-10,0.99904
-9,0.99907
-8,0.99911
-7,0.99914
-6,0.99917
-5,0.9992
-4,0.99924
-3,0.99927
-2,0.9993
-1,0.99933
0,0.99937
1,0.9994
2,0.99943
3,0.99946
4,0.99949
5,0.99953
6,0.99956
7,0.99959
8,0.99962
9,0.99965
10,0.99968
11,0.99972
12,0.99975
13,0.99978
14,0.99981
15,0.99984
16,0.99987
17,0.99991
18,0.99994
19,0.99997
20,1
21,1.00003
22,1.00006
23,1.00009
24,1.00013
25,1.00016
26,1.00019
27,1.00022
28,1.00025
29,1.00028
30,1.00031
31,1.00034
32,1.00037
33,1.0004
34,1.00043
35,1.00047
36,1.0005
37,1.00053
38,1.00056
39,1.00059
40,1.00062
41,1.00065
42,1.00068
43,1.00071
44,1.00074
45,1.00077
46,1.0008
47,1.00083
48,1.00086
49,1.00089
