level,trim_-6.0,trim_-5.0,trim_-4.0,trim_-3.5,trim_-3.0,trim_-2.5,trim_-2.0,trim_-1.5,trim_-1.0,trim_-0.5,trim_0.0,trim_0.5,trim_1.0,trim_1.5,trim_2.0
0,26,21,17,14,12,10,8,5,2,1,0,20,40,58,75
0.01,20,15,11,9,7,4,2,0,-3,-2,0,18,36,55,74
0.02,15,9,5,3,1,-1,-3,-6,-8,-4,0,17,34,52,71
0.03,9,4,0,-2,-5,-7,-9,-10,-11,-6,0,17,34,52,70
0.04,2,-2,-6,-8,-11,-12,-14,-14,-15,-8,0,16,32,50,68
0.05,-3.5,-7.666666667,-11.33333333,-13,-15.66666667,-16.33333333,-17.83333333,-17,-17,-9,0,15.83333333,31.66666667,49.5,67.33333333
0.06,-9,-13.33333333,-16.66666667,-18,-20.33333333,-20.66666667,-21.66666667,-20,-19,-10,0,15.66666667,31.33333333,49,66.66666667
0.07,-14.5,-19,-22,-23,-25,-25,-25.5,-23,-21,-11,0,15.5,31,48.5,66
0.08,-20,-24.66666667,-27.33333333,-28,-29.66666667,-29.33333333,-29.33333333,-26,-23,-12,0,15.33333333,30.66666667,48,65.33333333
0.09,-25.5,-30.33333333,-32.66666667,-33,-34.33333333,-33.66666667,-33.16666667,-29,-25,-13,0,15.16666667,30.33333333,47.5,64.66666667
0.1,-31,-36,-38,-38,-39,-38,-37,-32,-27,-14,0,15,30,47,64
0.11,-35.7,-40.2,-41.7,-41.4,-41.9,-40.2,-38.5,-32.8,-27.2,-14,0,14.9,29.9,46.8,63.7
0.12,-40.4,-44.4,-45.4,-44.8,-44.8,-42.4,-40,-33.6,-27.4,-14,0,14.8,29.8,46.6,63.4
0.13,-45.1,-48.6,-49.1,-48.2,-47.7,-44.6,-41.5,-34.4,-27.6,-14,0,14.7,29.7,46.4,63.1
0.14,-49.8,-52.8,-52.8,-51.6,-50.6,-46.8,-43,-35.2,-27.8,-14,0,14.6,29.6,46.2,62.8
0.15,-54.5,-57,-56.5,-55,-53.5,-49,-44.5,-36,-28,-14,0,14.5,29.5,46,62.5
0.16,-59.2,-61.2,-60.2,-58.4,-56.4,-51.2,-46,-36.8,-28.2,-14,0,14.4,29.4,45.8,62.2
0.17,-63.9,-65.4,-63.9,-61.8,-59.3,-53.4,-47.5,-37.6,-28.4,-14,0,14.3,29.3,45.6,61.9
0.18,-68.6,-69.6,-67.6,-65.2,-62.2,-55.6,-49,-38.4,-28.6,-14,0,14.2,29.2,45.4,61.6
0.19,-73.3,-73.8,-71.3,-68.6,-65.1,-57.8,-50.5,-39.2,-28.8,-14,0,14.1,29.1,45.2,61.3
0.2,-78,-78,-75,-72,-68,-60,-52,-40,-29,-14,0,14,29,45,61
0.21,-81.2,-80.7,-77,-73.4,-68.9,-60.6,-52.2,-40.1,-28.9,-14,0,14.1,29.1,45,60.9
0.22,-84.4,-83.4,-79,-74.8,-69.8,-61.2,-52.4,-40.2,-28.8,-14,0,14.2,29.2,45,60.8
0.23,-87.6,-86.1,-81,-76.2,-70.7,-61.8,-52.6,-40.3,-28.7,-14,0,14.3,29.3,45,60.7
0.24,-90.8,-88.8,-83,-77.6,-71.6,-62.4,-52.8,-40.4,-28.6,-14,0,14.4,29.4,45,60.6
0.25,-94,-91.5,-85,-79,-72.5,-63,-53,-40.5,-28.5,-14,0,14.5,29.5,45,60.5
0.26,-97.2,-94.2,-87,-80.4,-73.4,-63.6,-53.2,-40.6,-28.4,-14,0,14.6,29.6,45,60.4
0.27,-100.4,-96.9,-89,-81.8,-74.3,-64.2,-53.4,-40.7,-28.3,-14,0,14.7,29.7,45,60.3
0.28,-103.6,-99.6,-91,-83.2,-75.2,-64.8,-53.6,-40.8,-28.2,-14,0,14.8,29.8,45,60.2
0.29,-106.8,-102.3,-93,-84.6,-76.1,-65.4,-53.8,-40.9,-28.1,-14,0,14.9,29.9,45,60.1
0.3,-110,-105,-95,-86,-77,-66,-54,-41,-28,-14,0,15,30,45,60
0.31,-112.4,-106.4,-95.7,-86.5,-77.3,-66.2,-54.2,-41.1,-28.1,-14,0,14.9,29.9,44.9,60
0.32,-114.8,-107.8,-96.4,-87,-77.6,-66.4,-54.4,-41.2,-28.2,-14,0,14.8,29.8,44.8,60
0.33,-117.2,-109.2,-97.1,-87.5,-77.9,-66.6,-54.6,-41.3,-28.3,-14,0,14.7,29.7,44.7,60
0.34,-119.6,-110.6,-97.8,-88,-78.2,-66.8,-54.8,-41.4,-28.4,-14,0,14.6,29.6,44.6,60
0.35,-122,-112,-98.5,-88.5,-78.5,-67,-55,-41.5,-28.5,-14,0,14.5,29.5,44.5,60
0.36,-124.4,-113.4,-99.2,-89,-78.8,-67.2,-55.2,-41.6,-28.6,-14,0,14.4,29.4,44.4,60
0.37,-126.8,-114.8,-99.9,-89.5,-79.1,-67.4,-55.4,-41.7,-28.7,-14,0,14.3,29.3,44.3,60
0.38,-129.2,-116.2,-100.6,-90,-79.4,-67.6,-55.6,-41.8,-28.8,-14,0,14.2,29.2,44.2,60
0.39,-131.6,-117.6,-101.3,-90.5,-79.7,-67.8,-55.8,-41.9,-28.9,-14,0,14.1,29.1,44.1,60
0.4,-134,-119,-102,-91,-80,-68,-56,-42,-29,-14,0,14,29,44,60
0.41,-135,-119.6,-102.2,-91.1,-80.1,-68,-55.9,-42,-29,-14,0,14.1,29.1,44.1,60
0.42,-136,-120.2,-102.4,-91.2,-80.2,-68,-55.8,-42,-29,-14,0,14.2,29.2,44.2,60
0.43,-137,-120.8,-102.6,-91.3,-80.3,-68,-55.7,-42,-29,-14,0,14.3,29.3,44.3,60
0.44,-138,-121.4,-102.8,-91.4,-80.4,-68,-55.6,-42,-29,-14,0,14.4,29.4,44.4,60
0.45,-139,-122,-103,-91.5,-80.5,-68,-55.5,-42,-29,-14,0,14.5,29.5,44.5,60
0.46,-140,-122.6,-103.2,-91.6,-80.6,-68,-55.4,-42,-29,-14,0,14.6,29.6,44.6,60
0.47,-141,-123.2,-103.4,-91.7,-80.7,-68,-55.3,-42,-29,-14,0,14.7,29.7,44.7,60
0.48,-142,-123.8,-103.6,-91.8,-80.8,-68,-55.2,-42,-29,-14,0,14.8,29.8,44.8,60
0.49,-143,-124.4,-103.8,-91.9,-80.9,-68,-55.1,-42,-29,-14,0,14.9,29.9,44.9,60
0.5,-144,-125,-104,-92,-81,-68,-55,-42,-29,-14,0,15,30,45,60
0.51,-144.5,-125.4,-104.1,-92.1,-81,-68,-55.1,-42.1,-29.1,-14.1,0,15,30,45,60
0.52,-145,-125.8,-104.2,-92.2,-81,-68,-55.2,-42.2,-29.2,-14.2,0,15,30,45,60
0.53,-145.5,-126.2,-104.3,-92.3,-81,-68,-55.3,-42.3,-29.3,-14.3,0,15,30,45,60
0.54,-146,-126.6,-104.4,-92.4,-81,-68,-55.4,-42.4,-29.4,-14.4,0,15,30,45,60
0.55,-146.5,-127,-104.5,-92.5,-81,-68,-55.5,-42.5,-29.5,-14.5,0,15,30,45,60
0.56,-147,-127.4,-104.6,-92.6,-81,-68,-55.6,-42.6,-29.6,-14.6,0,15,30,45,60
0.57,-147.5,-127.8,-104.7,-92.7,-81,-68,-55.7,-42.7,-29.7,-14.7,0,15,30,45,60
0.58,-148,-128.2,-104.8,-92.8,-81,-68,-55.8,-42.8,-29.8,-14.8,0,15,30,45,60
0.59,-148.5,-128.6,-104.9,-92.9,-81,-68,-55.9,-42.9,-29.9,-14.9,0,15,30,45,60
0.6,-149,-129,-105,-93,-81,-68,-56,-43,-30,-15,0,15,30,45,60
0.61,-149.4,-129.25,-105.2,-93.15,-81.15,-68.1,-56.05,-43,-29.95,-14.95,0,14.95,29.9,44.9,59.9
0.62,-149.8,-129.5,-105.4,-93.3,-81.3,-68.2,-56.1,-43,-29.9,-14.9,0,14.9,29.8,44.8,59.8
0.63,-150.2,-129.75,-105.6,-93.45,-81.45,-68.3,-56.15,-43,-29.85,-14.85,0,14.85,29.7,44.7,59.7
0.64,-150.6,-130,-105.8,-93.6,-81.6,-68.4,-56.2,-43,-29.8,-14.8,0,14.8,29.6,44.6,59.6
0.65,-151,-130.25,-106,-93.75,-81.75,-68.5,-56.25,-43,-29.75,-14.75,0,14.75,29.5,44.5,59.5
0.66,-151.4,-130.5,-106.2,-93.9,-81.9,-68.6,-56.3,-43,-29.7,-14.7,0,14.7,29.4,44.4,59.4
0.67,-151.8,-130.75,-106.4,-94.05,-82.05,-68.7,-56.35,-43,-29.65,-14.65,0,14.65,29.3,44.3,59.3
0.68,-152.2,-131,-106.6,-94.2,-82.2,-68.8,-56.4,-43,-29.6,-14.6,0,14.6,29.2,44.2,59.2
0.69,-152.6,-131.25,-106.8,-94.35,-82.35,-68.9,-56.45,-43,-29.55,-14.55,0,14.55,29.1,44.1,59.1
0.7,-153,-131.5,-107,-94.5,-82.5,-69,-56.5,-43,-29.5,-14.5,0,14.5,29,44,59
0.71,-153.4,-131.75,-107.2,-94.65,-82.65,-69.1,-56.55,-43,-29.45,-14.45,0,14.45,28.9,43.9,58.9
0.72,-153.8,-132,-107.4,-94.8,-82.8,-69.2,-56.6,-43,-29.4,-14.4,0,14.4,28.8,43.8,58.8
0.73,-154.2,-132.25,-107.6,-94.95,-82.95,-69.3,-56.65,-43,-29.35,-14.35,0,14.35,28.7,43.7,58.7
0.74,-154.6,-132.5,-107.8,-95.1,-83.1,-69.4,-56.7,-43,-29.3,-14.3,0,14.3,28.6,43.6,58.6
0.75,-155,-132.75,-108,-95.25,-83.25,-69.5,-56.75,-43,-29.25,-14.25,0,14.25,28.5,43.5,58.5
0.76,-155.4,-133,-108.2,-95.4,-83.4,-69.6,-56.8,-43,-29.2,-14.2,0,14.2,28.4,43.4,58.4
0.77,-155.8,-133.25,-108.4,-95.55,-83.55,-69.7,-56.85,-43,-29.15,-14.15,0,14.15,28.3,43.3,58.3
0.78,-156.2,-133.5,-108.6,-95.7,-83.7,-69.8,-56.9,-43,-29.1,-14.1,0,14.1,28.2,43.2,58.2
0.79,-156.6,-133.75,-108.8,-95.85,-83.85,-69.9,-56.95,-43,-29.05,-14.05,0,14.05,28.1,43.1,58.1
0.8,-157,-134,-109,-96,-84,-70,-57,-43,-29,-14,0,14,28,43,58
0.81,-157.2,-134.1,-109,-96,-84,-70,-57,-43,-29,-14,0,14,28.1,43.1,58
0.82,-157.4,-134.2,-109,-96,-84,-70,-57,-43,-29,-14,0,14,28.2,43.2,58
0.83,-157.6,-134.3,-109,-96,-84,-70,-57,-43,-29,-14,0,14,28.3,43.3,58
0.84,-157.8,-134.4,-109,-96,-84,-70,-57,-43,-29,-14,0,14,28.4,43.4,58
0.85,-158,-134.5,-109,-96,-84,-70,-57,-43,-29,-14,0,14,28.5,43.5,58
0.86,-158.2,-134.6,-109,-96,-84,-70,-57,-43,-29,-14,0,14,28.6,43.6,58
0.87,-158.4,-134.7,-109,-96,-84,-70,-57,-43,-29,-14,0,14,28.7,43.7,58
0.88,-158.6,-134.8,-109,-96,-84,-70,-57,-43,-29,-14,0,14,28.8,43.8,58
0.89,-158.8,-134.9,-109,-96,-84,-70,-57,-43,-29,-14,0,14,28.9,43.9,58
0.9,-159,-135,-109,-96,-84,-70,-57,-43,-29,-14,0,14,29,44,58
0.91,-159.1,-135.1,-109,-96,-83.9,-70,-57,-43.1,-29.1,-14.1,0,14,28.9,43.9,58
0.92,-159.2,-135.2,-109,-96,-83.8,-70,-57,-43.2,-29.2,-14.2,0,14,28.8,43.8,58
0.93,-159.3,-135.3,-109,-96,-83.7,-70,-57,-43.3,-29.3,-14.3,0,14,28.7,43.7,58
0.94,-159.4,-135.4,-109,-96,-83.6,-70,-57,-43.4,-29.4,-14.4,0,14,28.6,43.6,58
0.95,-159.5,-135.5,-109,-96,-83.5,-70,-57,-43.5,-29.5,-14.5,0,14,28.5,43.5,58
0.96,-159.6,-135.6,-109,-96,-83.4,-70,-57,-43.6,-29.6,-14.6,0,14,28.4,43.4,58
0.97,-159.7,-135.7,-109,-96,-83.3,-70,-57,-43.7,-29.7,-14.7,0,14,28.3,43.3,58
0.98,-159.8,-135.8,-109,-96,-83.2,-70,-57,-43.8,-29.8,-14.8,0,14,28.2,43.2,58
0.99,-159.9,-135.9,-109,-96,-83.1,-70,-57,-43.9,-29.9,-14.9,0,14,28.1,43.1,58
1,-160,-136,-109,-96,-83,-70,-57,-44,-30,-15,0,14,28,43,58
1.01,-160.1,-136.1,-109.2,-96.2,-83.2,-70.2,-57.1,-44,-30,-15,0,14,28,43,58
1.02,-160.2,-136.2,-109.4,-96.4,-83.4,-70.4,-57.2,-44,-30,-15,0,14,28,43,58
1.03,-160.3,-136.3,-109.6,-96.6,-83.6,-70.6,-57.3,-44,-30,-15,0,14,28,43,58
1.04,-160.4,-136.4,-109.8,-96.8,-83.8,-70.8,-57.4,-44,-30,-15,0,14,28,43,58
1.05,-160.5,-136.5,-110,-97,-84,-71,-57.5,-44,-30,-15,0,14,28,43,58
1.06,-160.6,-136.6,-110.2,-97.2,-84.2,-71.2,-57.6,-44,-30,-15,0,14,28,43,58
