level,volume
0,0.394
0.01,0.427
0.02,0.531
0.03,0.687
0.04,0.894
0.05,1.153
0.06,1.463
0.07,1.812
0.08,2.188
0.09,2.591
0.1,3.022
0.11,3.479
0.12,3.963
0.13,4.47
0.14,4.997
0.15,5.543
0.16,6.105
0.17,6.688
0.18,7.288
0.19,7.907
0.2,8.544
0.21,9.197
0.22,9.865
0.23,10.546
0.24,11.241
0.25,11.951
0.26,12.675
0.27,13.414
0.28,14.167
0.29,14.936
0.3,15.721
0.31,16.521
0.32,17.337
0.33,18.169
0.34,19.015
0.35,19.875
0.36,20.747
0.37,21.631
0.38,22.527
0.39,23.437
0.4,24.359
0.41,25.294
0.42,26.24
0.43,27.2
0.44,28.171
0.45,29.156
0.46,30.152
0.47,31.162
0.48,32.185
0.49,33.222
0.5,34.27
0.51,35.332
0.52,36.405
0.53,37.488
0.54,38.582
0.55,39.687
0.56,40.803
0.57,41.929
0.58,43.056
0.59,44.194
0.6,45.343
0.61,46.501
0.62,47.671
0.63,48.851
0.64,50.041
0.65,51.241
0.66,52.451
0.67,53.669
0.68,54.896
0.69,56.132
0.7,57.388
0.71,58.652
0.72,59.926
0.73,61.208
0.74,62.499
0.75,63.8
0.76,65.11
0.77,66.429
0.78,67.758
0.79,69.097
0.8,70.444
0.81,71.801
0.82,73.166
0.83,74.538
0.84,75.919
0.85,77.31
0.86,78.709
0.87,80.117
0.88,81.534
0.89,82.959
0.9,84.393
0.91,85.835
0.92,87.286
0.93,88.746
0.94,90.213
0.95,91.69
0.96,93.175
0.97,94.667
0.98,96.169
0.99,97.679
1,99.196
1.01,100.721
1.02,102.252
1.03,103.792
1.04,105.339
1.05,106.891
1.06,108.452
1.07,110.019
1.08,111.594
1.09,113.176
1.1,114.764
1.11,116.36
1.12,117.962
1.13,119.571
1.14,121.187
1.15,122.809
1.16,124.441
1.17,126.081
1.18,127.729
1.19,129.385
1.2,131.049
1.21,132.721
1.22,134.398
1.23,136.084
1.24,137.775
1.25,139.475
1.26,141.182
1.27,142.895
1.28,144.616
1.29,146.342
1.3,148.078
1.31,149.819
1.32,151.568
1.33,153.324
1.34,155.086
1.35,156.855
1.36,158.63
1.37,160.412
1.38,162.2
1.39,163.996
1.4,165.797
1.41,167.605
1.42,169.419
1.43,171.237
1.44,173.063
1.45,174.893
1.46,176.729
1.47,178.571
1.48,180.419
1.49,182.272
1.5,184.131
1.51,185.995
1.52,187.866
1.53,189.742
1.54,191.624
1.55,193.51
1.56,195.404
1.57,197.303
1.58,199.207
1.59,201.117
1.6,203.032
1.61,204.954
1.62,206.879
1.63,208.81
1.64,210.745
1.65,212.687
1.66,214.632
1.67,216.583
1.68,218.539
1.69,220.502
1.7,222.468
1.71,224.441
1.72,226.418
1.73,228.402
1.74,230.389
1.75,232.383
1.76,234.381
1.77,236.385
1.78,238.394
1.79,240.408
1.8,242.427
1.81,244.452
1.82,246.481
1.83,248.516
1.84,250.557
1.85,252.603
1.86,254.654
1.87,256.711
1.88,258.772
1.89,260.84
1.9,262.912
1.91,264.99
1.92,267.072
1.93,269.161
1.94,271.253
1.95,273.35
1.96,275.454
1.97,277.562
1.98,279.675
1.99,281.793
2,283.917
2.01,286.045
2.02,288.177
2.03,290.313
2.04,292.455
2.05,294.599
2.06,296.749
2.07,298.902
2.08,301.061
2.09,303.223
2.1,305.388
2.11,307.56
2.12,309.734
2.13,311.914
2.14,314.097
2.15,316.285
2.16,318.476
2.17,320.673
2.18,322.872
2.19,325.076
2.2,327.284
2.21,329.496
2.22,331.713
2.23,333.933
2.24,336.158
2.25,338.385
2.26,340.618
2.27,342.853
2.28,345.092
2.29,347.335
2.3,349.581
