level,list_-3.0,list_-2.5,list_-2.0,list_-1.5,list_-1.0,list_-0.5,list_0.0,list_0.5,list_1.0,list_1.5,list_2.0,list_2.5,list_3.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,4,3,2,1,0,0,0,0,0,0,0,1,2
0.02,5,3,1,1,1,0,0,0,0,0,1,3,5
0.03,6,4,3,2,1,0,0,0,0,1,2,4,5
0.04,8,6,3,2,1,0,0,0,1,2,2,4,6
0.1,6,4,2,2,1,0,0,0,1,2,2,4,5
0.2,5,4,3,2,1,0,0,0,1,2,2,3,4
0.3,6,4,3,2,1,0,0,0,1,2,2,4,5
0.4,6,4,3,2,1,0,0,0,1,2,2,4,5
0.5,6,4,3,2,1,0,0,0,1,2,2,4,5
0.6,6,4,3,2,1,0,0,0,1,2,2,4,5
0.7,5,4,2,2,1,0,0,0,1,2,2,4,5
0.8,5,4,2,2,1,0,0,0,1,2,2,4,5
0.9,5,4,2,2,1,0,0,0,1,2,2,4,5
1,4,3,2,1,0,0,0,0,0,1,2,3,4
1.1,4,3,2,1,0,0,0,0,0,1,2,3,4
1.2,5,4,2,2,1,0,0,0,0,1,2,3,4
1.5,4,3,2,1,0,0,0,0,0,1,2,3,4
2,4,2,1,0,0,0,0,0,0,0,0,2,3
2.5,3,2,0,0,0,0,0,0,0,0,0,2,3
3,1,0,0,0,0,0,0,0,0,0,0,0,1
3.5,1,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0,1
4.5,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-2,-1,0,0,0,0,0,0,0,0,0,-1,-2
5.5,-2,-2,-2,-1,0,0,0,0,0,-1,-2,-2,-2
6,-2,-2,-2,-1,0,0,0,0,0,-1,-2,-2,-2
6.5,-4,-3,-2,-1,0,0,0,0,0,-1,-2,-3,-4
7,-4,-3,-2,-1,0,0,0,0,0,-1,-2,-3,-4
7.5,-4,-3,-2,-1,0,0,0,-1,-2,-2,-2,-3,-4
7.8,-4,-3,-2,-1,0,0,0,0,-1,-2,-2,-4,-5
7.9,-5,-4,-3,-2,0,0,0,-1,-2,-2,-3,-4,-6
8,-5,-4,-2,-1,0,0,0,-1,-2,-2,-2,-4,-5
8.1,-5,-4,-2,-1,0,0,0,0,-1,-2,-2,-4,-5
8.2,-5,-4,-2,-1,0,0,0,0,-1,-2,-2,-4,-5
8.3,-6,-4,-3,-2,-2,-1,0,-1,-2,-2,-3,-4,-6
8.4,-6,-4,-3,-2,-2,-1,0,-1,-2,-3,-4,-6,-7
8.5,-6,-4,-3,-2,-1,0,0,0,-1,-2,-4,-6,-7
8.6,-7,-4,-2,-2,-1,0,0,0,-1,-2,-4,-6,-7
8.7,-6,-4,-2,-2,-1,0,0,0,-1,-2,-4,-5,-6
8.8,-7,-5,-3,-2,-2,-1,0,-1,-2,-3,-4,-6,-7
8.9,-7,-6,-4,-3,-2,-1,0,-1,-2,-3,-4,-6,-7
8.96,-6,-4,-3,-2,0,0,0,-1,-2,-3,-4,-6,-7
8.97,-7,-5,-3,-2,0,0,0,-1,-2,-3,-4,-6,-7
8.98,-7,-6,-4,-3,-2,-1,0,-1,-2,-3,-4,-6,-7
8.99,-7,-6,-4,-2,-1,0,0,0,-1,-2,-4,-6,-9
9,-7,-4,-1,0,0,0,0,0,0,-2,-3,-5,-7
9.01,0,0,0,0,0,0,0,0,0,0,0,0,-1
