level,trim_-6.0,trim_-5.0,trim_-4.0,trim_-3.5,trim_-3.0,trim_-2.5,trim_-2.0,trim_-1.5,trim_-1.0,trim_-0.5,trim_0.0,trim_0.5,trim_1.0,trim_1.5,trim_2.0
0,26,21,17,14,12,10,8,5,2,1,0,19,38,56,75
0.01,20,15,11,9,7,4,2,0,-3,-2,0,18,36,55,74
0.02,15,10,5,3,1,-1,-3,-6,-8,-4,0,17,34,52,71
0.03,9,5,0,-2,-5,-7,-9,-10,-11,-6,0,17,34,52,70
0.04,3,-2,-5,-8,-10,-12,-14,-14,-15,-8,0,16,32,50,68
0.1,-30,-35,-38,-38,-38,-38,-37,-32,-26,-13,0,15,30,47,64
0.2,-77,-77,-74,-71,-68,-60,-52,-40,-28,-14,0,14,29,45,61
0.3,-109,-104,-93,-84,-76,-64,-53,-40,-28,-14,0,15,30,45,60
0.4,-132,-119,-101,-90,-79,-67,-55,-42,-29,-14,0,14,29,44,60
0.5,-143,-124,-103,-92,-81,-68,-55,-42,-29,-14,0,14,29,44,60
0.6,-148,-128,-105,-93,-81,-68,-56,-42,-29,-14,0,14,29,44,60
0.7,-153,-132,-108,-95,-82,-69,-56,-42,-28,-14,0,14,29,44,59
0.8,-156,-133,-109,-96,-83,-70,-57,-43,-29,-14,0,14,28,43,58
0.9,-158,-134,-108,-96,-83,-70,-57,-43,-29,-14,0,14,29,44,58
1,-159,-135,-109,-96,-83,-70,-57,-43,-29,-14,0,14,28,43,58
1.1,-161,-136,-111,-98,-85,-72,-58,-44,-30,-15,0,14,28,43,58
1.2,-162,-136,-110,-97,-84,-70,-57,-43,-29,-14,0,14,29,44,58
1.5,-164,-138,-111,-98,-85,-71,-57,-43,-29,-14,0,14,28,43,58
2,-166,-140,-113,-99,-85,-71,-57,-43,-29,-14,0,14,28,42,57
2.5,-169,-142,-113,-99,-85,-71,-57,-43,-29,-14,0,14,28,42,57
3,-170,-142,-113,-99,-85,-71,-57,-43,-29,-14,0,14,28,42,57
3.5,-171,-142,-114,-100,-86,-72,-57,-43,-29,-14,0,14,28,42,57
4,-173,-143,-116,-101,-86,-72,-57,-43,-29,-14,0,14,28,42,57
4.5,-172,-145,-116,-102,-87,-72,-58,-44,-29,-14,0,14,28,42,57
5,-174,-145,-116,-102,-87,-72,-58,-44,-29,-14,0,14,28,42,57
5.5,-175,-145,-116,-102,-87,-72,-58,-44,-29,-14,0,14,28,42,57
6,-175,-146,-116,-102,-87,-72,-58,-44,-29,-14,0,14,28,42,57
6.5,-177,-148,-117,-103,-89,-74,-58,-44,-29,-14,0,14,28,42,57
7,-178,-148,-119,-104,-89,-74,-58,-44,-29,-14,0,14,28,42,57
7.5,-180,-150,-119,-104,-89,-74,-58,-44,-29,-14,0,14,28,42,57
7.8,-182,-151,-121,-105,-89,-74,-60,-44,-29,-14,0,14,28,42,57
7.9,-184,-153,-121,-106,-91,-76,-60,-44,-29,-14,0,14,28,42,56
8,-185,-153,-122,-106,-90,-75,-60,-44,-29,-14,0,14,28,42,57
8.1,-185,-152,-121,-106,-90,-74,-59,-44,-29,-14,0,14,28,42,56
8.2,-186,-153,-121,-106,-90,-74,-59,-44,-29,-14,0,14,28,42,56
8.3,-188,-154,-122,-106,-90,-75,-60,-44,-29,-14,0,14,27,41,55
8.4,-189,-156,-122,-106,-90,-75,-60,-44,-29,-14,0,14,28,41,54
8.5,-190,-157,-123,-107,-91,-76,-61,-45,-29,-14,0,14,28,41,54
8.6,-193,-158,-125,-109,-93,-77,-61,-46,-30,-15,0,14,28,41,54
8.7,-196,-161,-127,-110,-93,-77,-61,-46,-30,-15,0,14,28,40,53
8.8,-202,-166,-131,-114,-97,-80,-63,-47,-31,-16,0,14,27,39,51
8.9,-211,-174,-137,-118,-100,-82,-65,-49,-33,-16,0,13,26,34,41
8.96,-221,-183,-144,-126,-107,-89,-71,-52,-34,-17,0,10,21,22,22
8.97,-223,-185,-146,-128,-109,-91,-73,-54,-35,-18,0,10,19,19,19
8.98,-225,-186,-148,-130,-112,-93,-74,-55,-36,-18,0,8,17,15,13
8.99,-227,-189,-151,-132,-113,-94,-76,-58,-39,-20,0,6,12,10,7
9,-228,-190,-152,-134,-116,-96,-77,-58,-40,-20,0,3,6,2,-1
9.01,-231,-193,-154,-136,-119,-100,-81,-62,-43,-22,0,0,-1,-4,-7
