Temp,tcorr
-170,0.994964
-169,0.99499
-168,0.995017
-167,0.995043
-166,0.99507
-165,0.995096
-164,0.995123
-163,0.995149
-162,0.995176
-161,0.995202
-160,0.995229
-159,0.995255
-158,0.995282
-157,0.995308
-156,0.995334
-155,0.995361
-154,0.995387
-153,0.995414
-152,0.99544
-151,0.995467
-150,0.995493
-149,0.99552
-148,0.995546
-147,0.995573
-146,0.995599
-145,0.995626
-144,0.995652
-143,0.995679
-142,0.995705
-141,0.995732
-140,0.995758
-139,0.995784
-138,0.995811
-137,0.995837
-136,0.995864
-135,0.99589
-134,0.995917
-133,0.995943
-132,0.99597
-131,0.995996
-130,0.996023
-129,0.996049
-128,0.996076
-127,0.996102
-126,0.996129
-125,0.996155
-124,0.996182
-123,0.996208
-122,0.996235
-121,0.996261
-120,0.996288
-119,0.996314
-118,0.996341
-117,0.996367
-116,0.996394
-115,0.99642
-114,0.996447
-113,0.996473
-112,0.996499
-111,0.996526
-110,0.996552
-109,0.996579
-108,0.996605
-107,0.996632
-106,0.996658
-105,0.996685
-104,0.996711
-103,0.996738
-102,0.996764
-101,0.996791
-100,0.996817
-99,0.996844
-98,0.99687
-97,0.996897
-96,0.996923
-95,0.99695
-94,0.996976
-93,0.997003
-92,0.997029
-91,0.997056
-90,0.997082
-89,0.997109
-88,0.997135
-87,0.997162
-86,0.997188
-85,0.997215
-84,0.997241
-83,0.997268
-82,0.997294
-81,0.997321
-80,0.997347
-79,0.997374
-78,0.9974
-77,0.997427
-76,0.997453
-75,0.99748
-74,0.997506
-73,0.997533
-72,0.997559
-71,0.997586
-70,0.997612
-69,0.997639
-68,0.997665
-67,0.997692
-66,0.997718
-65,0.997745
-64,0.997771
-63,0.997798
-62,0.997824
-61,0.997851
-60,0.997878
-59,0.997904
-58,0.997931
-57,0.997957
-56,0.997984
-55,0.99801
-54,0.998037
-53,0.998063
-52,0.99809
-51,0.998116
-50,0.998143
-49,0.998169
-48,0.998196
-47,0.998222
-46,0.998249
-45,0.998275
-44,0.998302
-43,0.998328
-42,0.998355
-41,0.998381
-40,0.998408
-39,0.998434
-38,0.998461
-37,0.998487
-36,0.998514
-35,0.99854
-34,0.998567
-33,0.998594
-32,0.99862
-31,0.998647
-30,0.998673
-29,0.9987
-28,0.998726
-27,0.998753
-26,0.998779
-25,0.998806
-24,0.998832
-23,0.998859
-22,0.998885
-21,0.998912
-20,0.998938
-19,0.998965
-18,0.998991
-17,0.999018
-16,0.999045
-15,0.999071
-14,0.999098
-13,0.999124
-12,0.999151
-11,0.999177
-10,0.999204
-9,0.99923
-8,0.999257
-7,0.999283
-6,0.99931
-5,0.999336
-4,0.999363
-3,0.999389
-2,0.999416
-1,0.999443
0,0.999469
1,0.999496
2,0.999522
3,0.999549
4,0.999575
5,0.999602
6,0.999628
7,0.999655
8,0.999681
9,0.999708
10,0.999735
11,0.999761
12,0.999788
13,0.999814
14,0.999841
15,0.999867
16,0.999894
17,0.99992
18,0.999947
19,0.999973
20,1
21,1.000027
22,1.000053
23,1.00008
24,1.000106
25,1.000133
26,1.000159
27,1.000186
28,1.000212
29,1.000239
30,1.000266
31,1.000292
32,1.000319
33,1.000345
34,1.000372
35,1.000398
36,1.000425
37,1.000451
38,1.000478
39,1.000505
40,1.000531
41,1.000558
42,1.000584
43,1.000611
44,1.000637
45,1.000664
46,1.00069
47,1.000717
48,1.000744
49,1.00077
50,1.000797
