level,trim_-5.0,trim_-4.5,trim_-4.0,trim_-3.5,trim_-3.0,trim_-2.5,trim_-2.0,trim_-1.5,trim_-1.0,trim_-0.5,trim_0.0,trim_0.5,trim_1.0,trim_1.5,trim_2.0
0,80.0,72.0,63.0,55.0,47.0,39.0,31.0,23.0,15.0,6.0,0.0,29.0,58.0,88.0,117.0
1,79.48,71.48,62.49,54.49,46.5,38.51,30.53,22.56,14.62,5.78,0.0,28.92,57.86,87.82,116.8
2,78.96,70.96,61.98,53.98,46.0,38.02,30.06,22.12,14.24,5.56,0.0,28.84,57.72,87.64,116.6
3,78.44,70.44,61.47,53.47,45.5,37.53,29.59,21.68,13.86,5.34,0.0,28.76,57.58,87.46,116.4
4,77.92,69.92,60.96,52.96,45.0,37.04,29.12,21.24,13.48,5.12,0.0,28.68,57.44,87.28,116.2
5,77.4,69.4,60.45,52.45,44.5,36.55,28.65,20.8,13.1,4.9,0.0,28.6,57.3,87.1,116.0
6,76.88,68.88,59.94,51.94,44.0,36.06,28.18,20.36,12.719999999999999,4.68,0.0,28.52,57.16,86.92,115.8
7,76.36,68.36,59.43,51.43,43.5,35.57,27.71,19.92,12.34,4.46,0.0,28.44,57.02,86.74,115.6
8,75.84,67.84,58.92,50.92,43.0,35.08,27.240000000000002,19.48,11.96,4.24,0.0,28.36,56.88,86.56,115.4
9,75.32,67.32,58.41,50.41,42.5,34.59,26.77,19.04,11.58,4.02,0.0,28.28,56.74,86.38,115.2
10,74.8,66.8,57.9,49.9,42.0,34.1,26.3,18.6,11.2,3.8,0.0,28.2,56.6,86.2,115.0
11,74.28,66.28,57.39,49.39,41.5,33.61,25.83,18.16,10.82,3.58,0.0,28.12,56.46,86.02,114.8
12,73.76,65.76,56.88,48.88,41.0,33.12,25.36,17.72,10.44,3.36,0.0,28.04,56.32,85.84,114.6
13,73.24,65.24,56.37,48.37,40.5,32.63,24.89,17.28,10.059999999999999,3.14,0.0,27.96,56.18,85.66,114.4
14,72.72,64.72,55.86,47.86,40.0,32.14,24.42,16.84,9.68,2.92,0.0,27.88,56.04,85.48,114.2
15,72.2,64.2,55.35,47.35,39.5,31.65,23.95,16.4,9.3,2.7,0.0,27.8,55.9,85.3,114.0
16,71.68,63.68,54.84,46.84,39.0,31.16,23.48,15.96,8.92,2.48,0.0,27.72,55.76,85.12,113.8
17,71.16,63.16,54.33,46.33,38.5,30.67,23.01,15.52,8.54,2.26,0.0,27.64,55.62,84.94,113.6
18,70.64,62.64,53.82,45.82,38.0,30.18,22.54,15.08,8.16,2.04,0.0,27.56,55.48,84.76,113.4
19,70.12,62.12,53.31,45.31,37.5,29.689999999999998,22.07,14.64,7.78,1.8200000000000003,0.0,27.48,55.34,84.58,113.2
20,69.6,61.6,52.8,44.8,37.0,29.2,21.6,14.2,7.4,1.5999999999999996,0.0,27.4,55.2,84.4,113.0
21,69.08,61.08,52.29,44.29,36.5,28.71,21.130000000000003,13.76,7.02,1.38,0.0,27.32,55.06,84.22,112.8
