level,temp_-170.0,temp_-165.0,temp_-160.0,temp_-155.0,temp_-150.0,temp_-145.0,temp_-140.0,temp_-135.0,temp_-130.0,temp_-125.0,temp_-120.0,temp_-115.0,temp_-110.0,temp_-105.0,temp_-100.0,temp_-95.0,temp_-90.0,temp_-85.0,temp_-80.0,temp_-75.0,temp_-70.0,temp_-65.0,temp_-60.0,temp_-55.0,temp_-50.0,temp_-45.0,temp_-40.0,temp_-35.0,temp_-30.0,temp_-25.0,temp_-20.0,temp_-15.0,temp_-10.0,temp_-5.0,temp_0.0,temp_5.0,temp_10.0,temp_15.0,temp_20.0,temp_25.0,temp_30.0,temp_35.0,temp_40.0,temp_45.0,temp_50.0
0,15,15,15,14,14,13,13,13,12,12,11,11,11,10,10,9,9,9,8,8,7,7,7,6,6,5,5,4,4,4,3,3,2,2,2,1,1,0,0,0,-1,-1,-2,-2,-2
1,15,14.998,14.998,14,13.998,13,12.998,12.998,12,11.998,11,10.998,10.998,10,9.998,9,9,8.998,8,7.998,7,7,6.998,6,5.998,5,5,4,4,3.998,3,3,2,2,2,1,1,0,0,0,-1,-1,-2,-2,-2
2,15,14.996,14.996,14,13.996,13,12.996,12.996,12,11.996,11,10.996,10.996,10,9.996,9,9,8.996,8,7.996,7,7,6.996,6,5.996,5,5,4,4,3.996,3,3,2,2,2,1,1,0,0,0,-1,-1,-2,-2,-2
3,15,14.994,14.994,14,13.994,13,12.994,12.994,12,11.994,11,10.994,10.994,10,9.994,9,9,8.994,8,7.994,7,7,6.994,6,5.994,5,5,4,4,3.994,3,3,2,2,2,1,1,0,0,0,-1,-1,-2,-2,-2
4,15,14.992,14.992,14,13.992,13,12.992,12.992,12,11.992,11,10.992,10.992,10,9.992,9,9,8.992,8,7.992,7,7,6.992,6,5.992,5,5,4,4,3.992,3,3,2,2,2,1,1,0,0,0,-1,-1,-2,-2,-2
5,15,14.99,14.99,14,13.99,13,12.99,12.99,12,11.99,11,10.99,10.99,10,9.99,9,9,8.99,8,7.99,7,7,6.99,6,5.99,5,5,4,4,3.99,3,3,2,2,2,1,1,0,0,0,-1,-1,-2,-2,-2
6,15,14.988,14.988,14,13.988,13,12.988,12.988,12,11.988,11,10.988,10.988,10,9.988,9,9,8.988,8,7.988,7,7,6.988,6,5.988,5,5,4,4,3.988,3,3,2,2,2,1,1,0,0,0,-1,-1,-2,-2,-2
7,15,14.986,14.986,14,13.986,13,12.986,12.986,12,11.986,11,10.986,10.986,10,9.986,9,9,8.986,8,7.986,7,7,6.986,6,5.986,5,5,4,4,3.986,3,3,2,2,2,1,1,0,0,0,-1,-1,-2,-2,-2
8,15,14.984,14.984,14,13.984,13,12.984,12.984,12,11.984,11,10.984,10.984,10,9.984,9,9,8.984,8,7.984,7,7,6.984,6,5.984,5,5,4,4,3.984,3,3,2,2,2,1,1,0,0,0,-1,-1,-2,-2,-2
9,15,14.982,14.982,14,13.982,13,12.982,12.982,12,11.982,11,10.982,10.982,10,9.982,9,9,8.982,8,7.982,7,7,6.982,6,5.982,5,5,4,4,3.982,3,3,2,2,2,1,1,0,0,0,-1,-1,-2,-2,-2
