Temp,tcorr
-163.0,0.9942
-162.0,0.99423
-161.0,0.99426
-160.0,0.9943
-159.0,0.99433
-158.0,0.99436
-157.0,0.99439
-156.0,0.99442
-155.0,0.99445
-154.0,0.99449
-153.0,0.99452
-152.0,0.99455
-151.0,0.99458
-150.0,0.99461
-149.0,0.99464
-148.0,0.99468
-147.0,0.99471
-146.0,0.99474
-145.0,0.99477
-144.0,0.9948
-143.0,0.99483
-142.0,0.99487
-141.0,0.9949
-140.0,0.99493
-139.0,0.99496
-138.0,0.99499
-137.0,0.99502
-136.0,0.99506
-135.0,0.99509
-134.0,0.99512
-133.0,0.99515
-132.0,0.99518
-131.0,0.99521
-130.0,0.99525
-129.0,0.99528
-128.0,0.99531
-127.0,0.99534
-126.0,0.99537
-125.0,0.9954
-124.0,0.99544
-123.0,0.99547
-122.0,0.9955
-121.0,0.99553
-120.0,0.99556
-119.0,0.99559
-118.0,0.99563
-117.0,0.99566
-116.0,0.99569
-115.0,0.99572
-114.0,0.99575
-113.0,0.99578
-112.0,0.99582
-111.0,0.99585
-110.0,0.99588
-109.0,0.99591
-108.0,0.99594
-107.0,0.99597
-106.0,0.99601
-105.0,0.99604
-104.0,0.99607
-103.0,0.9961
-102.0,0.99613
-101.0,0.99616
-100.0,0.9962
-99.0,0.99623
-98.0,0.99626
-97.0,0.99629
-96.0,0.99632
-95.0,0.99636
-94.0,0.99639
-93.0,0.99642
-92.0,0.99645
-91.0,0.99648
-90.0,0.99651
-89.0,0.99655
-88.0,0.99658
-87.0,0.99661
-86.0,0.99664
-85.0,0.99667
-84.0,0.9967
-83.0,0.99674
-82.0,0.99677
-81.0,0.9968
-80.0,0.99683
-79.0,0.99686
-78.0,0.99689
-77.0,0.99693
-76.0,0.99696
-75.0,0.99699
-74.0,0.99702
-73.0,0.99705
-72.0,0.99708
-71.0,0.99712
-70.0,0.99715
-69.0,0.99718
-68.0,0.99721
-67.0,0.99724
-66.0,0.99727
-65.0,0.99731
-64.0,0.99734
-63.0,0.99737
-62.0,0.9974
-61.0,0.99743
-60.0,0.99746
-59.0,0.9975
-58.0,0.99753
-57.0,0.99756
-56.0,0.99759
-55.0,0.99762
-54.0,0.99765
-53.0,0.99769
-52.0,0.99772
-51.0,0.99775
-50.0,0.99778
-49.0,0.99781
-48.0,0.99784
-47.0,0.99788
-46.0,0.99791
-45.0,0.99794
-44.0,0.99797
-43.0,0.998
-42.0,0.99803
-41.0,0.99807
-40.0,0.9981
-39.0,0.99813
-38.0,0.99816
-37.0,0.99819
-36.0,0.99823
-35.0,0.99826
-34.0,0.99829
-33.0,0.99832
-32.0,0.99835
-31.0,0.99838
-30.0,0.99842
-29.0,0.99845
-28.0,0.99848
-27.0,0.99851
-26.0,0.99854
-25.0,0.99857
-24.0,0.99861
-23.0,0.99864
-22.0,0.99867
-21.0,0.9987
-20.0,0.99873
-19.0,0.99876
-18.0,0.9988
-17.0,0.99883
-16.0,0.99886
-15.0,0.99889
-14.0,0.99892
-13.0,0.99895
-12.0,0.99899
-11.0,0.99902
-10.0,0.99905
-9.0,0.99908
-8.0,0.99911
-7.0,0.99914
-6.0,0.99918
-5.0,0.99921
-4.0,0.99924
-3.0,0.99927
-2.0,0.9993
-1.0,0.99933
0.0,0.99937
1.0,0.9994
2.0,0.99943
3.0,0.99946
4.0,0.99949
5.0,0.99952
6.0,0.99956
7.0,0.99959
8.0,0.99962
9.0,0.99965
10.0,0.99968
11.0,0.99971
12.0,0.99975
13.0,0.99978
14.0,0.99981
15.0,0.99984
16.0,0.99987
17.0,0.9999
18.0,0.99994
19.0,0.99997
20.0,1
