level,list_-3.0,list_-2.5,list_-2.0,list_-1.5,list_-1.0,list_-0.5,list_0.0,list_0.5,list_1.0,list_1.5,list_2.0,list_2.5,list_3.0
0,0,0,0,0,0,0,0,1,3,5,9,12,15
1,-0.05,-0.05,-0.05,-0.04,-0.03,-0.02,0,1.01,3.01,5.01,9,12,15.01
2,-0.1,-0.1,-0.1,-0.08,-0.06,-0.04,0,1.02,3.02,5.02,9,12,15.02
3,-0.15,-0.15,-0.15,-0.12,-0.09,-0.06,0,1.03,3.03,5.03,9,12,15.03
4,-0.2,-0.2,-0.2,-0.16,-0.12,-0.08,0,1.04,3.04,5.04,9,12,15.04
5,-0.25,-0.25,-0.25,-0.2,-0.15,-0.1,0,1.05,3.05,5.05,9,12,15.05
6,-0.3,-0.3,-0.3,-0.24,-0.18,-0.12,0,1.06,3.06,5.06,9,12,15.06
7,-0.35,-0.35,-0.35,-0.28,-0.21,-0.14,0,1.07,3.07,5.07,9,12,15.07
8,-0.4,-0.4,-0.4,-0.32,-0.24,-0.16,0,1.08,3.08,5.08,9,12,15.08
9,-0.45,-0.45,-0.45,-0.36,-0.27,-0.18,0,1.09,3.09,5.09,9,12,15.09
10,-0.5,-0.5,-0.5,-0.4,-0.3,-0.2,0,1.1,3.1,5.1,9,12,15.1
11,-0.55,-0.55,-0.55,-0.44,-0.33,-0.22,0,1.11,3.11,5.11,9,12,15.11
12,-0.6,-0.6,-0.6,-0.48,-0.36,-0.24,0,1.12,3.12,5.12,9,12,15.12
13,-0.65,-0.65,-0.65,-0.52,-0.39,-0.26,0,1.13,3.13,5.13,9,12,15.13
14,-0.7,-0.7,-0.7,-0.56,-0.42,-0.28,0,1.14,3.14,5.14,9,12,15.14
15,-0.75,-0.75,-0.75,-0.6,-0.45,-0.3,0,1.15,3.15,5.15,9,12,15.15
16,-0.8,-0.8,-0.8,-0.64,-0.48,-0.32,0,1.16,3.16,5.16,9,12,15.16
17,-0.85,-0.85,-0.85,-0.68,-0.51,-0.34,0,1.17,3.17,5.17,9,12,15.17
18,-0.9,-0.9,-0.9,-0.72,-0.54,-0.36,0,1.18,3.18,5.18,9,12,15.18
19,-0.95,-0.95,-0.95,-0.76,-0.57,-0.38,0,1.19,3.19,5.19,9,12,15.19
20,-1,-1,-1,-0.8,-0.6,-0.4,0,1.2,3.2,5.2,9,12,15.2
21,-1.05,-1.05,-1.05,-0.84,-0.63,-0.42,0,1.21,3.21,5.21,9,12,15.21
22,-1.1,-1.1,-1.1,-0.88,-0.66,-0.44,0,1.22,3.22,5.22,9,12,15.22
23,-1.15,-1.15,-1.15,-0.92,-0.69,-0.46,0,1.23,3.23,5.23,9,12,15.23
24,-1.2,-1.2,-1.2,-0.96,-0.72,-0.48,0,1.24,3.24,5.24,9,12,15.24
25,-1.25,-1.25,-1.25,-1,-0.75,-0.5,0,1.25,3.25,5.25,9,12,15.25
26,-1.3,-1.3,-1.3,-1.04,-0.78,-0.52,0,1.26,3.26,5.26,9,12,15.26
27,-1.35,-1.35,-1.35,-1.08,-0.81,-0.54,0,1.27,3.27,5.27,9,12,15.27
28,-1.4,-1.4,-1.4,-1.12,-0.84,-0.56,0,1.28,3.28,5.28,9,12,15.28
29,-1.45,-1.45,-1.45,-1.16,-0.87,-0.58,0,1.29,3.29,5.29,9,12,15.29
30,-1.5,-1.5,-1.5,-1.2,-0.9,-0.6,0,1.3,3.3,5.3,9,12,15.3
31,-1.55,-1.55,-1.55,-1.24,-0.93,-0.62,0,1.31,3.31,5.31,9,12,15.31
32,-1.6,-1.6,-1.6,-1.28,-0.96,-0.64,0,1.32,3.32,5.32,9,12,15.32
33,-1.65,-1.65,-1.65,-1.32,-0.99,-0.66,0,1.33,3.33,5.33,9,12,15.33
34,-1.7,-1.7,-1.7,-1.36,-1.02,-0.68,0,1.34,3.34,5.34,9,12,15.34
35,-1.75,-1.75,-1.75,-1.4,-1.05,-0.7,0,1.35,3.35,5.35,9,12,15.35
36,-1.8,-1.8,-1.8,-1.44,-1.08,-0.72,0,1.36,3.36,5.36,9,12,15.36
37,-1.85,-1.85,-1.85,-1.48,-1.11,-0.74,0,1.37,3.37,5.37,9,12,15.37
38,-1.9,-1.9,-1.9,-1.52,-1.14,-0.76,0,1.38,3.38,5.38,9,12,15.38
39,-1.95,-1.95,-1.95,-1.56,-1.17,-0.78,0,1.39,3.39,5.39,9,12,15.39
40,-2,-2,-2,-1.6,-1.2,-0.8,0,1.4,3.4,5.4,9,12,15.4
41,-2.05,-2.05,-2.05,-1.64,-1.23,-0.82,0,1.41,3.41,5.41,9,12,15.41
42,-2.1,-2.1,-2.1,-1.68,-1.26,-0.84,0,1.42,3.42,5.42,9,12,15.42
43,-2.15,-2.15,-2.15,-1.72,-1.29,-0.86,0,1.43,3.43,5.43,9,12,15.43
44,-2.2,-2.2,-2.2,-1.76,-1.32,-0.88,0,1.44,3.44,5.44,9,12,15.44
45,-2.25,-2.25,-2.25,-1.8,-1.35,-0.9,0,1.45,3.45,5.45,9,12,15.45
46,-2.3,-2.3,-2.3,-1.84,-1.38,-0.92,0,1.46,3.46,5.46,9,12,15.46
47,-2.35,-2.35,-2.35,-1.88,-1.41,-0.94,0,1.47,3.47,5.47,9,12,15.47
48,-2.4,-2.4,-2.4,-1.92,-1.44,-0.96,0,1.48,3.48,5.48,9,12,15.48
49,-2.45,-2.45,-2.45,-1.96,-1.47,-0.98,0,1.49,3.49,5.49,9,12,15.49
50,-2.5,-2.5,-2.5,-2,-1.5,-1,0,1.5,3.5,5.5,9,12,15.5
51,-2.55,-2.55,-2.55,-2.04,-1.53,-1.02,0,1.51,3.51,5.51,9,12,15.51
