Press,pcorr
-1,0.999742
-0.9,0.999768
-0.8,0.999794
-0.7,0.999819
-0.6,0.999845
-0.5,0.999871
-0.4,0.999897
-0.3,0.999923
-0.2,0.999948
-0.1,0.999974
0,1
0.1,1.000026
0.2,1.000052
0.3,1.000077
0.4,1.000103
0.5,1.000129
0.6,1.000155
0.7,1.000181
0.8,1.000206
0.9,1.000232
1,1.000258
1.1,1.000284
1.2,1.00031
1.3,1.000335
1.4,1.000361
1.5,1.000387
1.6,1.000413
1.7,1.000439
1.8,1.000464
1.9,1.00049
2,1.000516
2.1,1.000542
2.2,1.000568
2.3,1.000594
2.4,1.000619
2.5,1.000645
2.6,1.000671
2.7,1.000697
2.8,1.000723
2.9,1.000748
3,1.000774
3.1,1.0008
3.2,1.000826
3.3,1.000852
3.4,1.000877
3.5,1.000903
3.6,1.000929
3.7,1.000955
3.8,1.000981
3.9,1.001006
4,1.001032
4.1,1.001058
4.2,1.001084
4.3,1.00111
4.4,1.001135
4.5,1.001161
4.6,1.001187
4.7,1.001213
4.8,1.001239
4.9,1.001264
5,1.00129
5.1,1.001316
5.2,1.001342
5.3,1.001368
5.4,1.001393
5.5,1.001419
5.6,1.001445
5.7,1.001471
5.8,1.001497
5.9,1.001523
6,1.001548
