level,list_-3.0,list_-2.5,list_-2.0,list_-1.5,list_-1.0,list_-0.5,list_0.0,list_0.5,list_1.0,list_1.5,list_2.0,list_2.5,list_3.0
0,13,10,7,4,2,1,0,0,0,0,0,0,0
1,13,10,7,4.01,2.01,1,0,-0.01,-0.02,-0.03,-0.03,-0.03,-0.03
2,13,10,7,4.02,2.02,1,0,-0.02,-0.04,-0.06,-0.06,-0.06,-0.06
3,13,10,7,4.03,2.03,1,0,-0.03,-0.06,-0.09,-0.09,-0.09,-0.09
4,13,10,7,4.04,2.04,1,0,-0.04,-0.08,-0.12,-0.12,-0.12,-0.12
5,13,10,7,4.05,2.05,1,0,-0.05,-0.1,-0.15,-0.15,-0.15,-0.15
6,13,10,7,4.06,2.06,1,0,-0.06,-0.12,-0.18,-0.18,-0.18,-0.18
7,13,10,7,4.07,2.07,1,0,-0.07,-0.14,-0.21,-0.21,-0.21,-0.21
8,13,10,7,4.08,2.08,1,0,-0.08,-0.16,-0.24,-0.24,-0.24,-0.24
9,13,10,7,4.09,2.09,1,0,-0.09,-0.18,-0.27,-0.27,-0.27,-0.27
10,13,10,7,4.1,2.1,1,0,-0.1,-0.2,-0.3,-0.3,-0.3,-0.3
11,13,10,7,4.11,2.11,1,0,-0.11,-0.22,-0.33,-0.33,-0.33,-0.33
12,13,10,7,4.12,2.12,1,0,-0.12,-0.24,-0.36,-0.36,-0.36,-0.36
13,13,10,7,4.13,2.13,1,0,-0.13,-0.26,-0.39,-0.39,-0.39,-0.39
14,13,10,7,4.14,2.14,1,0,-0.14,-0.28,-0.42,-0.42,-0.42,-0.42
15,13,10,7,4.15,2.15,1,0,-0.15,-0.3,-0.45,-0.45,-0.45,-0.45
16,13,10,7,4.16,2.16,1,0,-0.16,-0.32,-0.48,-0.48,-0.48,-0.48
17,13,10,7,4.17,2.17,1,0,-0.17,-0.34,-0.51,-0.51,-0.51,-0.51
18,13,10,7,4.18,2.18,1,0,-0.18,-0.36,-0.54,-0.54,-0.54,-0.54
19,13,10,7,4.19,2.19,1,0,-0.19,-0.38,-0.57,-0.57,-0.57,-0.57
20,13,10,7,4.2,2.2,1,0,-0.2,-0.4,-0.6,-0.6,-0.6,-0.6
21,13,10,7,4.21,2.21,1,0,-0.21,-0.42,-0.63,-0.63,-0.63,-0.63
22,13,10,7,4.22,2.22,1,0,-0.22,-0.44,-0.66,-0.66,-0.66,-0.66
23,13,10,7,4.23,2.23,1,0,-0.23,-0.46,-0.69,-0.69,-0.69,-0.69
24,13,10,7,4.24,2.24,1,0,-0.24,-0.48,-0.72,-0.72,-0.72,-0.72
25,13,10,7,4.25,2.25,1,0,-0.25,-0.5,-0.75,-0.75,-0.75,-0.75
26,13,10,7,4.26,2.26,1,0,-0.26,-0.52,-0.78,-0.78,-0.78,-0.78
27,13,10,7,4.27,2.27,1,0,-0.27,-0.54,-0.81,-0.81,-0.81,-0.81
28,13,10,7,4.28,2.28,1,0,-0.28,-0.56,-0.84,-0.84,-0.84,-0.84
29,13,10,7,4.29,2.29,1,0,-0.29,-0.58,-0.87,-0.87,-0.87,-0.87
30,13,10,7,4.3,2.3,1,0,-0.3,-0.6,-0.9,-0.9,-0.9,-0.9
31,13,10,7,4.31,2.31,1,0,-0.31,-0.62,-0.93,-0.93,-0.93,-0.93
32,13,10,7,4.32,2.32,1,0,-0.32,-0.64,-0.96,-0.96,-0.96,-0.96
33,13,10,7,4.33,2.33,1,0,-0.33,-0.66,-0.99,-0.99,-0.99,-0.99
34,13,10,7,4.34,2.34,1,0,-0.34,-0.68,-1.02,-1.02,-1.02,-1.02
35,13,10,7,4.35,2.35,1,0,-0.35,-0.7,-1.05,-1.05,-1.05,-1.05
36,13,10,7,4.36,2.36,1,0,-0.36,-0.72,-1.08,-1.08,-1.08,-1.08
37,13,10,7,4.37,2.37,1,0,-0.37,-0.74,-1.11,-1.11,-1.11,-1.11
38,13,10,7,4.38,2.38,1,0,-0.38,-0.76,-1.14,-1.14,-1.14,-1.14
39,13,10,7,4.39,2.39,1,0,-0.39,-0.78,-1.17,-1.17,-1.17,-1.17
40,13,10,7,4.4,2.4,1,0,-0.4,-0.8,-1.2,-1.2,-1.2,-1.2
41,13,10,7,4.41,2.41,1,0,-0.41,-0.82,-1.23,-1.23,-1.23,-1.23
42,13,10,7,4.42,2.42,1,0,-0.42,-0.84,-1.26,-1.26,-1.26,-1.26
43,13,10,7,4.43,2.43,1,0,-0.43,-0.86,-1.29,-1.29,-1.29,-1.29
44,13,10,7,4.44,2.44,1,0,-0.44,-0.88,-1.32,-1.32,-1.32,-1.32
45,13,10,7,4.45,2.45,1,0,-0.45,-0.9,-1.35,-1.35,-1.35,-1.35
46,13,10,7,4.46,2.46,1,0,-0.46,-0.92,-1.38,-1.38,-1.38,-1.38
47,13,10,7,4.47,2.47,1,0,-0.47,-0.94,-1.41,-1.41,-1.41,-1.41
48,13,10,7,4.48,2.48,1,0,-0.48,-0.96,-1.44,-1.44,-1.44,-1.44
49,13,10,7,4.49,2.49,1,0,-0.49,-0.98,-1.47,-1.47,-1.47,-1.47
50,13,10,7,4.5,2.5,1,0,-0.5,-1,-1.5,-1.5,-1.5,-1.5
