level,trim_-5.0,trim_-4.5,trim_-4.0,trim_-3.5,trim_-3.0,trim_-2.5,trim_-2.0,trim_-1.5,trim_-1.0,trim_-0.5,trim_0.0,trim_0.5,trim_1.0,trim_1.5,trim_2.0
0,80.0,71.0,63.0,55.0,47.0,39.0,31.0,23.0,15.0,6.0,0.0,29.0,58.0,88.0,118.0
1,79.47,70.48,62.48,54.49,46.49,38.51,30.53,22.56,14.62,5.78,0.0,28.92,57.86,87.82,117.79
2,78.94,69.96,61.96,53.98,45.98,38.02,30.06,22.12,14.24,5.56,0.0,28.84,57.72,87.64,117.58
3,78.41,69.44,61.44,53.47,45.47,37.53,29.59,21.68,13.86,5.34,0.0,28.76,57.58,87.46,117.37
4,77.88,68.92,60.92,52.96,44.96,37.04,29.12,21.24,13.48,5.12,0.0,28.68,57.44,87.28,117.16
5,77.35,68.4,60.4,52.45,44.45,36.55,28.65,20.8,13.1,4.9,0.0,28.6,57.3,87.1,116.95
6,76.82,67.88,59.88,51.94,43.94,36.06,28.18,20.36,12.719999999999999,4.68,0.0,28.52,57.16,86.92,116.74
7,76.29,67.36,59.36,51.43,43.43,35.57,27.71,19.92,12.34,4.46,0.0,28.44,57.02,86.74,116.53
8,75.76,66.84,58.84,50.92,42.92,35.08,27.240000000000002,19.48,11.96,4.24,0.0,28.36,56.88,86.56,116.32
9,75.23,66.32,58.32,50.41,42.41,34.59,26.77,19.04,11.58,4.02,0.0,28.28,56.74,86.38,116.11
10,74.7,65.8,57.8,49.9,41.9,34.1,26.3,18.6,11.2,3.8,0.0,28.2,56.6,86.2,115.9
11,74.17,65.28,57.28,49.39,41.39,33.61,25.83,18.16,10.82,3.58,0.0,28.12,56.46,86.02,115.69
12,73.64,64.76,56.76,48.88,40.88,33.12,25.36,17.72,10.44,3.36,0.0,28.04,56.32,85.84,115.48
13,73.11,64.24,56.24,48.37,40.37,32.63,24.89,17.28,10.059999999999999,3.14,0.0,27.96,56.18,85.66,115.27
14,72.58,63.72,55.72,47.86,39.86,32.14,24.42,16.84,9.68,2.92,0.0,27.88,56.04,85.48,115.06
15,72.05,63.2,55.2,47.35,39.35,31.65,23.95,16.4,9.3,2.7,0.0,27.8,55.9,85.3,114.85
16,71.52,62.68,54.68,46.84,38.84,31.16,23.48,15.96,8.92,2.48,0.0,27.72,55.76,85.12,114.64
17,70.99,62.16,54.16,46.33,38.33,30.67,23.01,15.52,8.54,2.26,0.0,27.64,55.62,84.94,114.43
18,70.46,61.64,53.64,45.82,37.82,30.18,22.54,15.08,8.16,2.04,0.0,27.56,55.48,84.76,114.22
19,69.93,61.12,53.12,45.31,37.31,29.689999999999998,22.07,14.64,7.78,1.8200000000000003,0.0,27.48,55.34,84.58,114.01
20,69.4,60.6,52.6,44.8,36.8,29.2,21.6,14.2,7.4,1.5999999999999996,0.0,27.4,55.2,84.4,113.8
21,68.87,60.08,52.08,44.29,36.29,28.71,21.130000000000003,13.76,7.02,1.38,0.0,27.32,55.06,84.22,113.59
22,68.34,59.56,51.56,43.78,35.78,28.22,20.66,13.32,6.640000000000001,1.1600000000000001,0.0,27.24,54.92,84.04,113.38
23,67.81,59.04,51.04,43.269999999999996,35.269999999999996,27.73,20.19,12.88,6.26,0.9400000000000004,0.0,27.16,54.78,83.86,113.17
24,67.28,58.519999999999996,50.519999999999996,42.76,34.76,27.240000000000002,19.72,12.44,5.879999999999999,0.7199999999999998,0.0,27.08,54.64,83.68,112.96
25,66.75,58.0,50.0,42.25,34.25,26.75,19.25,12.0,5.5,0.5,0.0,27.0,54.5,83.5,112.75
26,66.22,57.480000000000004,49.480000000000004,41.74,33.74,26.259999999999998,18.78,11.56,5.119999999999999,0.28000000000000025,0.0,26.92,54.36,83.32,112.54
27,65.69,56.96,48.96,41.230000000000004,33.230000000000004,25.77,18.310000000000002,11.12,4.74,0.05999999999999961,0.0,26.84,54.22,83.14,112.33
28,65.16,56.44,48.44,40.72,32.72,25.28,17.84,10.68,4.359999999999999,-0.16000000000000014,0.0,26.759999999999998,54.08,82.96,112.12
29,64.63,55.92,47.92,40.21,32.21,24.79,17.37,10.24,3.9800000000000004,-0.3799999999999999,0.0,26.68,53.94,82.78,111.91
30,64.1,55.4,47.4,39.7,31.7,24.3,16.9,9.8,3.5999999999999996,-0.5999999999999996,0.0,26.6,53.8,82.6,111.7
31,63.57,54.879999999999995,46.879999999999995,39.19,31.189999999999998,23.810000000000002,16.43,9.36,3.2200000000000006,-0.8200000000000003,0.0,26.52,53.66,82.42,111.49
32,63.04,54.36,46.36,38.68,30.68,23.32,15.96,8.92,2.84,-1.04,0.0,26.44,53.519999999999996,82.24,111.28
33,62.51,53.84,45.84,38.17,30.169999999999998,22.830000000000002,15.49,8.48,2.459999999999999,-1.2599999999999998,0.0,26.36,53.38,82.06,111.07
34,61.980000000000004,53.32,45.32,37.66,29.66,22.34,15.020000000000001,8.04,2.08,-1.4800000000000004,0.0,26.28,53.24,81.88,110.86
35,61.45,52.8,44.8,37.15,29.15,21.85,14.55,7.6,1.6999999999999993,-1.7000000000000002,0.0,26.2,53.1,81.7,110.65
36,60.92,52.28,44.28,36.64,28.64,21.36,14.080000000000002,7.16,1.3200000000000003,-1.92,0.0,26.12,52.96,81.52,110.44
37,60.39,51.76,43.76,36.129999999999995,28.13,20.87,13.61,6.719999999999999,0.9399999999999995,-2.1400000000000006,0.0,26.04,52.82,81.34,110.23
38,59.86,51.239999999999995,43.239999999999995,35.620000000000005,27.62,20.38,13.14,6.280000000000001,0.5600000000000005,-2.3599999999999994,0.0,25.96,52.68,81.16,110.02
39,59.33,50.72,42.72,35.11,27.11,19.89,12.670000000000002,5.84,0.17999999999999972,-2.58,0.0,25.88,52.54,80.98,109.81
40,58.8,50.2,42.2,34.6,26.6,19.4,12.200000000000003,5.399999999999999,-0.1999999999999993,-2.8000000000000007,0.0,25.8,52.4,80.8,109.6
41,58.269999999999996,49.68,41.68,34.09,26.09,18.91,11.73,4.960000000000001,-0.5800000000000001,-3.0199999999999996,0.0,25.72,52.26,80.62,109.39
42,57.739999999999995,49.16,41.16,33.58,25.58,18.42,11.260000000000002,4.52,-0.9600000000000009,-3.24,0.0,25.64,52.12,80.44,109.18
43,57.209999999999994,48.64,40.64,33.07,25.07,17.93,10.790000000000003,4.079999999999998,-1.3399999999999999,-3.460000000000001,0.0,25.56,51.98,80.26,108.97
44,56.68,48.12,40.12,32.56,24.56,17.44,10.32,3.6400000000000006,-1.7199999999999989,-3.6799999999999997,0.0,25.48,51.84,80.08,108.76
45,56.15,47.599999999999994,39.599999999999994,32.05,24.05,16.95,9.850000000000001,3.1999999999999993,-2.1000000000000014,-3.9000000000000004,0.0,25.4,51.7,79.9,108.55
46,55.62,47.08,39.08,31.54,23.54,16.46,9.380000000000003,2.7600000000000016,-2.4800000000000004,-4.119999999999999,0.0,25.32,51.56,79.72,108.34
47,55.09,46.56,38.56,31.03,23.03,15.969999999999999,8.91,2.3200000000000003,-2.8599999999999994,-4.34,0.0,25.24,51.42,79.54,108.13
48,54.56,46.04,38.04,30.52,22.52,15.48,8.440000000000001,1.879999999999999,-3.240000000000002,-4.5600000000000005,0.0,25.16,51.28,79.36,107.92
49,54.03,45.519999999999996,37.519999999999996,30.009999999999998,22.009999999999998,14.990000000000002,7.970000000000002,1.4400000000000013,-3.620000000000001,-4.779999999999999,0.0,25.08,51.14,79.18,107.71000000000001
50,53.5,45.0,37.0,29.5,21.5,14.5,7.5,1.0,-4.0,-5.0,0.0,25.0,51.0,79.0,107.5
51,52.97,44.480000000000004,36.480000000000004,28.99,20.99,14.010000000000002,7.030000000000001,0.5599999999999987,-4.379999999999999,-5.220000000000001,0.0,24.92,50.86,78.82,107.29
52,52.44,43.96,35.96,28.48,20.48,13.52,6.560000000000002,0.120000000000001,-4.760000000000002,-5.4399999999999995,0.0,24.84,50.72,78.64,107.08
53,51.91,43.44,35.44,27.97,19.97,13.030000000000001,6.09,-0.3200000000000003,-5.140000000000001,-5.66,0.0,24.759999999999998,50.58,78.46000000000001,106.87
54,51.379999999999995,42.92,34.92,27.46,19.46,12.54,5.620000000000001,-0.7600000000000016,-5.52,-5.880000000000001,0.0,24.68,50.44,78.28,106.66
55,50.849999999999994,42.4,34.4,26.95,18.95,12.05,5.150000000000002,-1.1999999999999993,-5.899999999999999,-6.1,0.0,24.6,50.3,78.1,106.45
56,50.32,41.879999999999995,33.879999999999995,26.439999999999998,18.439999999999998,11.560000000000002,4.68,-1.6400000000000006,-6.280000000000001,-6.32,0.0,24.52,50.16,77.92,106.24
57,49.79,41.36,33.36,25.93,17.93,11.07,4.210000000000001,-2.080000000000002,-6.66,-6.540000000000001,0.0,24.439999999999998,50.019999999999996,77.74,106.03
58,49.26,40.84,32.84,25.419999999999998,17.419999999999998,10.580000000000002,3.740000000000002,-2.5199999999999996,-7.039999999999999,-6.76,0.0,24.36,49.879999999999995,77.56,105.82
59,48.73,40.32,32.32,24.91,16.91,10.09,3.270000000000003,-2.960000000000001,-7.420000000000002,-6.98,0.0,24.28,49.739999999999995,77.38,105.61
60,48.2,39.8,31.799999999999997,24.4,16.4,9.600000000000001,2.8000000000000007,-3.3999999999999986,-7.800000000000001,-7.199999999999999,0.0,24.2,49.6,77.2,105.4
