level,trim_-5.0,trim_-4.0,trim_-3.0,trim_-2.0,trim_-1.0,trim_0.0,trim_1.0,trim_2.0
0,0.8,0.8,0.8,0.8,0.8,0.8,1,1.4
1,0.9,0.9,0.9,0.9,0.9,0.9,1.1,1.5
2,1,0.9,0.9,0.9,0.9,1,1.2,1.6
3,1,1,1,1,1,1.1,1.4,1.8
4,1.1,1.1,1.1,1.1,1.1,1.2,1.5,2
5,1.2,1.2,1.2,1.1,1.2,1.4,1.7,2.2
6,1.3,1.3,1.2,1.2,1.3,1.5,1.9,2.4
7,1.4,1.4,1.3,1.3,1.5,1.7,2.1,2.7
8,1.5,1.5,1.5,1.5,1.6,1.9,2.4,2.9
9,1.7,1.6,1.6,1.6,1.8,2.2,2.6,3.2
10,1.8,1.7,1.7,1.8,2,2.4,2.9,3.4
11,1.9,1.9,1.9,2,2.2,2.6,3.1,3.7
12,2.1,2,2,2.2,2.5,2.9,3.4,4
13,2.2,2.2,2.2,2.4,2.7,3.2,3.7,4.3
14,2.4,2.4,2.4,2.6,3,3.4,4,4.7
15,2.6,2.6,2.7,2.9,3.3,3.7,4.3,5
16,2.7,2.8,2.9,3.2,3.5,4,4.7,5.3
17,2.9,3,3.1,3.4,3.8,4.4,5,5.7
18,3.2,3.2,3.4,3.7,4.2,4.7,5.3,6.1
19,3.4,3.5,3.7,4,4.5,5,5.7,6.4
20,3.6,3.7,4,4.3,4.8,5.4,6.1,6.8
21,3.9,4,4.3,4.7,5.1,5.7,6.4,7.2
22,4.1,4.3,4.6,5,5.5,6.1,6.8,7.6
23,4.4,4.6,4.9,5.3,5.9,6.5,7.2,8
24,4.7,4.9,5.3,5.7,6.2,6.9,7.6,8.4
25,5,5.3,5.6,6.1,6.6,7.3,8,8.9
26,5.3,5.6,6,6.4,7,7.7,8.5,9.3
27,5.7,5.9,6.3,6.8,7.4,8.1,8.9,9.7
28,6,6.3,6.7,7.2,7.8,8.6,9.3,10.2
29,6.4,6.7,7.1,7.6,8.3,9,9.8,10.7
30,6.7,7.1,7.5,8.1,8.7,9.4,10.2,11.1
31,7.1,7.5,7.9,8.5,9.1,9.9,10.7,11.6
32,7.5,7.9,8.3,8.9,9.6,10.4,11.2,12.1
33,7.9,8.3,8.8,9.4,10.1,10.8,11.7,12.6
34,8.3,8.7,9.2,9.8,10.5,11.3,12.2,13.1
35,8.7,9.1,9.7,10.3,11,11.8,12.7,13.7
36,9.1,9.6,10.1,10.8,11.5,12.3,13.2,14.2
37,9.5,10,10.6,11.2,12,12.8,13.7,14.7
38,10,10.5,11.1,11.7,12.5,13.3,14.3,15.3
39,10.4,10.9,11.5,12.2,13,13.8,14.8,15.8
40,10.9,11.4,12,12.7,13.5,14.4,15.3,16.4
41,11.3,11.9,12.5,13.2,14,14.9,15.9,17
42,11.8,12.4,13,13.8,14.6,15.5,16.5,17.6
43,12.3,12.9,13.5,14.3,15.1,16,17,18.2
44,12.8,13.4,14.1,14.8,15.7,16.6,17.6,18.8
45,13.3,13.9,14.6,15.4,16.2,17.2,18.2,19.4
46,13.8,14.4,15.1,15.9,16.8,17.7,18.8,20
47,14.4,15,15.7,16.5,17.4,18.3,19.4,20.6
48,14.9,15.5,16.3,17,17.9,18.9,20,21.2
49,15.4,16.1,16.8,17.6,18.5,19.5,20.6,21.9
50,16,16.6,17.4,18.2,19.1,20.1,21.3,22.5
51,16.5,17.2,18,18.8,19.7,20.8,21.9,23.1
52,17.1,17.8,18.5,19.4,20.3,21.4,22.5,23.8
53,17.7,18.4,19.1,20,21,22,23.2,24.5
54,18.2,19,19.7,20.6,21.6,22.7,23.9,25.1
55,18.8,19.6,20.3,21.2,22.2,23.3,24.5,25.8
56,19.4,20.2,21,21.9,22.9,24,25.2,26.5
57,20,20.8,21.6,22.5,23.5,24.7,25.9,27.2
58,20.6,21.4,22.2,23.2,24.2,25.3,26.6,27.9
59,21.2,22,22.9,23.8,24.9,26,27.3,28.6
60,21.9,22.6,23.5,24.5,25.5,26.7,28,29.3
61,22.5,23.3,24.2,25.1,26.2,27.4,28.7,30
62,23.1,23.9,24.8,25.8,26.9,28.1,29.4,30.8
63,23.8,24.6,25.5,26.5,27.6,28.8,30.1,31.5
64,24.4,25.2,26.2,27.2,28.3,29.5,30.8,32.2
65,25.1,25.9,26.9,27.9,29,30.2,31.6,33
66,25.7,26.6,27.5,28.6,29.7,31,32.3,33.7
67,26.4,27.3,28.2,29.3,30.5,31.7,33.1,34.5
68,27.1,28,28.9,30,31.2,32.5,33.8,35.3
69,27.8,28.7,29.7,30.7,31.9,33.2,34.6,36
70,28.5,29.4,30.4,31.5,32.7,34,35.4,36.8
71,29.2,30.1,31.1,32.2,33.4,34.7,36.1,37.6
72,29.9,30.8,31.8,33,34.2,35.5,36.9,38.4
73,30.6,31.5,32.6,33.7,35,36.3,37.7,39.2
74,31.3,32.3,33.3,34.5,35.7,37.1,38.5,40
75,32,33,34.1,35.3,36.5,37.9,39.3,40.8
76,32.7,33.7,34.9,36,37.3,38.7,40.1,41.7
77,33.5,34.5,35.6,36.8,38.1,39.5,40.9,42.5
78,34.2,35.3,36.4,37.6,38.9,40.3,41.8,43.3
