level,list_-3.0,list_-2.5,list_-2.0,list_-1.5,list_-1.0,list_-0.5,list_0.0,list_0.5,list_1.0,list_1.5,list_2.0,list_2.5,list_3.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,11.0,15.0,20.0,25.0
10,-1.2,-1.1,-0.9,-0.8,-0.5,-0.3,0.0,2.1,6.1,11.0,15.0,20.0,25.0
20,-2.4,-2.2,-1.8,-1.6,-1.0,-0.6,0.0,2.2,6.2,11.0,15.0,20.0,25.0
30,-3.5999999999999996,-3.3000000000000003,-2.7,-2.4000000000000004,-1.5,-0.8999999999999999,0.0,2.3,6.3,11.0,15.0,20.0,25.0
40,-4.8,-4.4,-3.6,-3.2,-2.0,-1.2,0.0,2.4,6.4,11.0,15.0,20.0,25.0
50,-6.0,-5.5,-4.5,-4.0,-2.5,-1.5,0.0,2.5,6.5,11.0,15.0,20.0,25.0
60,-7.199999999999999,-6.6000000000000005,-5.4,-4.800000000000001,-3.0,-1.7999999999999998,0.0,2.6,6.6,11.0,15.0,20.0,25.0
70,-8.4,-7.700000000000001,-6.3,-5.6000000000000005,-3.5,-2.1,0.0,2.7,6.7,11.0,15.0,20.0,25.0
80,-9.6,-8.8,-7.2,-6.4,-4.0,-2.4,0.0,2.8,6.8,11.0,15.0,20.0,25.0
90,-10.799999999999999,-9.9,-8.1,-7.2,-4.5,-2.6999999999999997,0.0,2.9,6.9,11.0,15.0,20.0,25.0
100,-12.0,-11.0,-9.0,-8.0,-5.0,-3.0,0.0,3.0,7.0,11.0,15.0,20.0,25.0
110,-12.0,-11.0,-9.0,-8.0,-5.0,-3.0,0.0,3.0,7.0,11.0,15.0,20.0,25.0
120,-12.0,-11.0,-9.0,-8.0,-5.0,-3.0,0.0,3.0,7.0,11.0,15.0,20.0,25.0
130,-12.0,-11.0,-9.0,-8.0,-5.0,-3.0,0.0,3.0,7.0,11.0,15.0,20.0,25.0
140,-12.0,-11.0,-9.0,-8.0,-5.0,-3.0,0.0,3.0,7.0,11.0,15.0,20.0,25.0
150,-12.0,-11.0,-9.0,-8.0,-5.0,-3.0,0.0,3.0,7.0,11.0,15.0,20.0,25.0
160,-12.0,-11.0,-9.0,-8.0,-5.0,-3.0,0.0,3.0,7.0,11.0,15.0,20.0,25.0
170,-12.0,-11.0,-9.0,-8.0,-5.0,-3.0,0.0,3.0,7.0,11.0,15.0,20.0,25.0
180,-12.0,-11.0,-9.0,-8.0,-5.0,-3.0,0.0,3.0,7.0,11.0,15.0,20.0,25.0
190,-12.0,-11.0,-9.0,-8.0,-5.0,-3.0,0.0,3.0,7.0,11.0,15.0,20.0,25.0
200,-12.0,-11.0,-9.0,-8.0,-5.0,-3.0,0.0,3.0,7.0,11.0,15.0,20.0,25.0
210,-12.0,-11.0,-9.0,-8.0,-5.0,-3.0,0.0,3.0,7.0,11.0,15.0,20.0,25.0
220,-12.0,-11.0,-9.0,-8.0,-5.0,-3.0,0.0,3.0,7.0,11.0,15.0,20.0,25.0
230,-12.0,-11.0,-9.0,-8.0,-5.0,-3.0,0.0,3.0,7.0,11.0,15.0,20.0,25.0
240,-12.0,-11.0,-9.0,-8.0,-5.0,-3.0,0.0,3.0,7.0,11.0,15.0,20.0,25.0
250,-12.0,-11.0,-9.0,-8.0,-5.0,-3.0,0.0,3.0,7.0,11.0,15.0,20.0,25.0
260,-12.0,-11.0,-9.0,-8.0,-5.0,-3.0,0.0,3.0,7.0,11.0,15.0,20.0,25.0
270,-12.0,-11.0,-9.0,-8.0,-5.0,-3.0,0.0,3.0,7.0,11.0,15.0,20.0,25.0
280,-12.0,-11.0,-9.0,-8.0,-5.0,-3.0,0.0,3.0,7.0,11.0,15.0,20.0,25.0
