Press,pcorr
-1,0.999789
-0.9,0.99981
-0.8,0.999831
-0.7,0.999852
-0.6,0.999874
-0.5,0.999895
-0.4,0.999916
-0.3,0.999937
-0.2,0.999958
-0.1,0.999979
0,1
0.1,1.000021
0.2,1.000042
0.3,1.000063
0.4,1.000084
0.5,1.000105
0.6,1.000126
0.7,1.000148
0.8,1.000169
0.9,1.00019
1,1.000211
1.1,1.000232
1.2,1.000253
1.3,1.000274
1.4,1.000295
1.5,1.000316
1.6,1.000337
1.7,1.000358
1.8,1.000379
1.9,1.000401
2,1.000422
2.1,1.000443
2.2,1.000464
2.3,1.000485
2.4,1.000506
2.5,1.000527
2.6,1.000548
2.7,1.000569
2.8,1.00059
2.9,1.000611
3,1.000632
3.1,1.000654
3.2,1.000675
3.3,1.000696
3.4,1.000717
3.5,1.000738
3.6,1.000759
3.7,1.00078
3.8,1.000801
3.9,1.000822
4,1.000843
4.1,1.000864
4.2,1.000885
4.3,1.000907
4.4,1.000928
4.5,1.000949
4.6,1.00097
4.7,1.000991
4.8,1.001012
4.9,1.001033
5,1.001054
5.1,1.001075
5.2,1.001096
5.3,1.001117
5.4,1.001138
5.5,1.001159
5.6,1.001181
5.7,1.001202
5.8,1.001223
5.9,1.001244
6,1.001265
