level,trim_-5.0,trim_-4.5,trim_-4.0,trim_-3.5,trim_-3.0,trim_-2.5,trim_-2.0,trim_-1.5,trim_-1.0,trim_-0.5,trim_0.0,trim_0.5,trim_1.0,trim_1.5,trim_2.0
0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,23.0,47.0,70.0,94.0
10,-2.7,-3.5,-3.5,-4.3,-4.1,-4.8,-4.5,-3.9000000000000004,-3.7,-2.0,0.0,22.8,46.6,69.5,93.4
20,-9.4,-10.0,-10.0,-10.6,-10.2,-10.6,-10.0,-8.8,-7.4,-4.0,0.0,22.6,46.2,69.0,92.8
30,-16.1,-16.5,-16.5,-16.9,-16.299999999999997,-16.4,-15.5,-13.700000000000001,-11.100000000000001,-6.0,0.0,22.4,45.8,68.5,92.2
40,-22.8,-23.0,-23.0,-23.2,-22.4,-22.2,-21.0,-18.6,-14.8,-8.0,0.0,22.2,45.4,68.0,91.6
50,-29.5,-29.5,-29.5,-29.5,-28.5,-28.0,-26.5,-23.5,-18.5,-10.0,0.0,22.0,45.0,67.5,91.0
60,-36.2,-36.0,-36.0,-35.8,-34.599999999999994,-33.8,-32.0,-28.400000000000002,-22.200000000000003,-12.0,0.0,21.8,44.6,67.0,90.4
70,-42.9,-42.5,-42.5,-42.1,-40.699999999999996,-39.6,-37.5,-33.300000000000004,-25.900000000000002,-14.0,0.0,21.6,44.2,66.5,89.8
80,-49.6,-49.0,-49.0,-48.4,-46.8,-45.4,-43.0,-38.2,-29.6,-16.0,0.0,21.4,43.8,66.0,89.2
90,-56.300000000000004,-55.5,-55.5,-54.699999999999996,-52.9,-51.199999999999996,-48.5,-43.1,-33.300000000000004,-18.0,0.0,21.2,43.4,65.5,88.6
100,-63.0,-62.0,-62.0,-61.0,-59.0,-57.0,-54.0,-48.0,-37.0,-20.0,0.0,21.0,43.0,65.0,88.0
110,-67.9,-66.7,-66.3,-65.0,-62.5,-59.9,-55.9,-48.9,-37.2,-20.0,0.0,21.0,42.9,64.9,87.8
120,-72.8,-71.4,-70.6,-69.0,-66.0,-62.8,-57.8,-49.8,-37.4,-20.0,0.0,21.0,42.8,64.8,87.6
130,-77.7,-76.1,-74.9,-73.0,-69.5,-65.7,-59.7,-50.7,-37.6,-20.0,0.0,21.0,42.7,64.7,87.4
140,-82.6,-80.8,-79.2,-77.0,-73.0,-68.6,-61.6,-51.6,-37.8,-20.0,0.0,21.0,42.6,64.6,87.2
150,-87.5,-85.5,-83.5,-81.0,-76.5,-71.5,-63.5,-52.5,-38.0,-20.0,0.0,21.0,42.5,64.5,87.0
160,-92.4,-90.2,-87.8,-85.0,-80.0,-74.4,-65.4,-53.4,-38.2,-20.0,0.0,21.0,42.4,64.4,86.8
170,-97.30000000000001,-94.9,-92.1,-89.0,-83.5,-77.3,-67.3,-54.3,-38.4,-20.0,0.0,21.0,42.3,64.3,86.6
180,-102.2,-99.6,-96.4,-93.0,-87.0,-80.2,-69.2,-55.2,-38.6,-20.0,0.0,21.0,42.2,64.2,86.4
190,-107.1,-104.30000000000001,-100.69999999999999,-97.0,-90.5,-83.1,-71.1,-56.1,-38.8,-20.0,0.0,21.0,42.1,64.1,86.2
200,-112.0,-109.0,-105.0,-101.0,-94.0,-86.0,-73.0,-57.0,-39.0,-20.0,0.0,21.0,42.0,64.0,86.0
210,-115.5,-112.1,-107.7,-103.1,-95.5,-86.7,-73.3,-57.2,-39.1,-20.0,0.0,21.0,42.0,63.9,85.9
220,-119.0,-115.2,-110.4,-105.2,-97.0,-87.4,-73.6,-57.4,-39.2,-20.0,0.0,21.0,42.0,63.8,85.8
230,-122.5,-118.3,-113.1,-107.3,-98.5,-88.1,-73.9,-57.6,-39.3,-20.0,0.0,21.0,42.0,63.7,85.7
240,-126.0,-121.4,-115.8,-109.4,-100.0,-88.8,-74.2,-57.8,-39.4,-20.0,0.0,21.0,42.0,63.6,85.6
250,-129.5,-124.5,-118.5,-111.5,-101.5,-89.5,-74.5,-58.0,-39.5,-20.0,0.0,21.0,42.0,63.5,85.5
260,-133.0,-127.6,-121.2,-113.6,-103.0,-90.2,-74.8,-58.2,-39.6,-20.0,0.0,21.0,42.0,63.4,85.4
270,-136.5,-130.7,-123.9,-115.7,-104.5,-90.9,-75.1,-58.4,-39.7,-20.0,0.0,21.0,42.0,63.3,85.3
280,-140.0,-133.8,-126.6,-117.8,-106.0,-91.6,-75.4,-58.6,-39.8,-20.0,0.0,21.0,42.0,63.2,85.2
290,-143.5,-136.9,-129.3,-119.9,-107.5,-92.3,-75.7,-58.8,-39.9,-20.0,0.0,21.0,42.0,63.1,85.1
300,-147.0,-140.0,-132.0,-122.0,-109.0,-93.0,-76.0,-59.0,-40.0,-20.0,0.0,21.0,42.0,63.0,85.0
310,-149.1,-141.7,-133.2,-122.7,-109.4,-93.3,-76.2,-59.0,-40.0,-20.0,0.0,21.0,41.9,63.0,84.9
320,-151.2,-143.4,-134.4,-123.4,-109.8,-93.6,-76.4,-59.0,-40.0,-20.0,0.0,21.0,41.8,63.0,84.8
330,-153.3,-145.1,-135.6,-124.1,-110.2,-93.9,-76.6,-59.0,-40.0,-20.0,0.0,21.0,41.7,63.0,84.7
340,-155.4,-146.8,-136.8,-124.8,-110.6,-94.2,-76.8,-59.0,-40.0,-20.0,0.0,21.0,41.6,63.0,84.6
350,-157.5,-148.5,-138.0,-125.5,-111.0,-94.5,-77.0,-59.0,-40.0,-20.0,0.0,21.0,41.5,63.0,84.5
360,-159.6,-150.2,-139.2,-126.2,-111.4,-94.8,-77.2,-59.0,-40.0,-20.0,0.0,21.0,41.4,63.0,84.4
370,-161.7,-151.9,-140.4,-126.9,-111.8,-95.1,-77.4,-59.0,-40.0,-20.0,0.0,21.0,41.3,63.0,84.3
380,-163.8,-153.6,-141.6,-127.6,-112.2,-95.4,-77.6,-59.0,-40.0,-20.0,0.0,21.0,41.2,63.0,84.2
390,-165.9,-155.3,-142.8,-128.3,-112.6,-95.7,-77.8,-59.0,-40.0,-20.0,0.0,21.0,41.1,63.0,84.1
400,-168.0,-157.0,-144.0,-129.0,-113.0,-96.0,-78.0,-59.0,-40.0,-20.0,0.0,21.0,41.0,63.0,84.0
410,-169.1,-157.8,-144.5,-129.3,-113.2,-96.1,-78.1,-59.1,-40.0,-20.0,0.0,21.0,41.0,62.9,84.0
420,-170.2,-158.6,-145.0,-129.6,-113.4,-96.2,-78.2,-59.2,-40.0,-20.0,0.0,21.0,41.0,62.8,84.0
430,-171.3,-159.4,-145.5,-129.9,-113.6,-96.3,-78.3,-59.3,-40.0,-20.0,0.0,21.0,41.0,62.7,84.0
440,-172.4,-160.2,-146.0,-130.2,-113.8,-96.4,-78.4,-59.4,-40.0,-20.0,0.0,21.0,41.0,62.6,84.0
450,-173.5,-161.0,-146.5,-130.5,-114.0,-96.5,-78.5,-59.5,-40.0,-20.0,0.0,21.0,41.0,62.5,84.0
460,-174.6,-161.8,-147.0,-130.8,-114.2,-96.6,-78.6,-59.6,-40.0,-20.0,0.0,21.0,41.0,62.4,84.0
470,-175.7,-162.6,-147.5,-131.1,-114.4,-96.7,-78.7,-59.7,-40.0,-20.0,0.0,21.0,41.0,62.3,84.0
480,-176.8,-163.4,-148.0,-131.4,-114.6,-96.8,-78.8,-59.8,-40.0,-20.0,0.0,21.0,41.0,62.2,84.0
490,-177.9,-164.2,-148.5,-131.7,-114.8,-96.9,-78.9,-59.9,-40.0,-20.0,0.0,21.0,41.0,62.1,84.0
500,-179.0,-165.0,-149.0,-132.0,-115.0,-97.0,-79.0,-60.0,-40.0,-20.0,0.0,21.0,41.0,62.0,84.0
510,-179.28,-165.2,-149.16,-132.12,-115.08,-97.06,-79.02,-60.0,-40.0,-20.0,0.0,20.98,41.0,62.0,83.98
520,-179.56,-165.4,-149.32,-132.24,-115.16,-97.12,-79.04,-60.0,-40.0,-20.0,0.0,20.96,41.0,62.0,83.96
530,-179.84,-165.6,-149.48,-132.36,-115.24,-97.18,-79.06,-60.0,-40.0,-20.0,0.0,20.94,41.0,62.0,83.94
540,-180.12,-165.8,-149.64,-132.48,-115.32,-97.24,-79.08,-60.0,-40.0,-20.0,0.0,20.92,41.0,62.0,83.92
550,-180.4,-166.0,-149.8,-132.6,-115.4,-97.3,-79.1,-60.0,-40.0,-20.0,0.0,20.9,41.0,62.0,83.9
560,-180.68,-166.2,-149.96,-132.72,-115.48,-97.36,-79.12,-60.0,-40.0,-20.0,0.0,20.88,41.0,62.0,83.88
570,-180.96,-166.4,-150.12,-132.84,-115.56,-97.42,-79.14,-60.0,-40.0,-20.0,0.0,20.86,41.0,62.0,83.86
580,-181.24,-166.6,-150.28,-132.96,-115.64,-97.48,-79.16,-60.0,-40.0,-20.0,0.0,20.84,41.0,62.0,83.84
590,-181.52,-166.8,-150.44,-133.08,-115.72,-97.54,-79.18,-60.0,-40.0,-20.0,0.0,20.82,41.0,62.0,83.82
600,-181.8,-167.0,-150.6,-133.2,-115.8,-97.6,-79.2,-60.0,-40.0,-20.0,0.0,20.8,41.0,62.0,83.8
610,-182.08,-167.2,-150.76,-133.32,-115.88,-97.66,-79.22,-60.0,-40.0,-20.0,0.0,20.78,41.0,62.0,83.78
620,-182.36,-167.4,-150.92,-133.44,-115.96,-97.72,-79.24,-60.0,-40.0,-20.0,0.0,20.76,41.0,62.0,83.76
630,-182.64,-167.6,-151.08,-133.56,-116.04,-97.78,-79.26,-60.0,-40.0,-20.0,0.0,20.74,41.0,62.0,83.74
640,-182.92,-167.8,-151.24,-133.68,-116.12,-97.84,-79.28,-60.0,-40.0,-20.0,0.0,20.72,41.0,62.0,83.72
650,-183.2,-168.0,-151.4,-133.8,-116.2,-97.9,-79.3,-60.0,-40.0,-20.0,0.0,20.7,41.0,62.0,83.7
