level,volume
0,0.32
10,0.429
20,0.632
30,0.897
40,1.213
50,1.573
60,1.972
70,2.409
80,2.879
90,3.38
100,3.913
110,4.474
120,5.063
130,5.678
140,6.319
150,6.984
160,7.673
170,8.385
180,9.12
190,9.877
200,10.655
210,11.453
220,12.272
230,13.112
240,13.97
250,14.848
260,15.745
270,16.66
280,17.593
290,18.544
300,19.513
310,20.499
320,21.502
330,22.521
340,23.558
350,24.61
360,25.679
370,26.764
380,27.864
390,28.979
400,30.11
410,31.256
420,32.417
430,33.592
440,34.782
450,35.987
460,37.205
470,38.438
480,39.685
490,40.946
500,42.22
510,43.508
520,44.81
530,46.124
540,47.453
550,48.794
560,50.148
570,51.515
580,52.895
590,54.287
600,55.692
610,57.109
620,58.539
630,59.981
640,61.435
650,62.901
660,64.379
670,65.868
680,67.37
690,68.883
700,70.407
710,71.943
720,73.491
730,75.05
740,76.62
750,78.201
760,79.793
770,81.396
780,83.01
790,84.635
800,86.271
810,87.918
820,89.575
830,91.242
840,92.92
850,94.609
860,96.308
870,98.017
880,99.736
890,101.466
900,103.205
910,104.955
920,106.714
930,108.484
940,110.263
950,112.052
960,113.851
970,115.66
980,117.478
990,119.306
1000,121.143
1010,122.99
1020,124.846
1030,126.711
1040,128.586
1050,130.47
1060,132.363
1070,134.265
1080,136.176
1090,138.097
1100,140.026
1110,141.965
1120,143.912
1130,145.867
1140,147.832
1150,149.805
1160,151.787
1170,153.777
1180,155.776
1190,157.784
1200,159.8
1210,161.825
1220,163.858
1230,165.899
1240,167.949
1250,170.007
1260,172.074
1270,174.148
1280,176.231
1290,178.321
1300,180.42
1310,182.527
1320,184.642
1330,186.765
1340,188.896
1350,191.035
1360,193.182
1370,195.336
1380,197.498
1390,199.669
1400,201.846
1410,204.032
1420,206.224
1430,208.425
1440,210.633
1450,212.849
1460,215.072
1470,217.302
1480,219.54
1490,221.785
1500,224.038
1510,226.298
1520,228.565
1530,230.84
1540,233.121
1550,235.41
1560,237.706
1570,240.009
1580,242.319
1590,244.636
1600,246.96
1610,249.292
1620,251.629
1630,253.974
1640,256.326
1650,258.685
1660,261.05
1670,263.422
1680,265.801
1690,268.187
1700,270.579
1710,272.978
1720,275.384
1730,277.796
1740,280.214
1750,282.64
1760,285.07
1770,287.506
1780,289.949
1790,292.398
1800,294.853
1810,297.315
1820,299.783
1830,302.258
1840,304.739
1850,307.226
1860,309.719
1870,312.218
1880,314.724
1890,317.235
1900,319.753
1910,322.277
1920,324.807
1930,327.343
1940,329.884
1950,332.432
1960,334.986
1970,337.545
1980,340.111
1990,342.682
2000,345.259
2010,347.842
2020,350.431
