level,press_-1.0,press_-0.5,press_0.0,press_0.5,press_1.0,press_1.5,press_2.0,press_2.5,press_3.0,press_3.5,press_4.0,press_5.0,press_6.0
0,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0
10,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.98,6.98,8.0,9.98
20,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.96,6.96,8.0,9.96
30,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.94,6.94,8.0,9.94
40,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.92,6.92,8.0,9.92
50,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.9,6.9,8.0,9.9
60,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.88,6.88,8.0,9.88
70,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.86,6.86,8.0,9.86
80,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.84,6.84,8.0,9.84
90,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.82,6.82,8.0,9.82
100,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.8,6.8,8.0,9.8
110,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.78,6.78,8.0,9.78
120,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.76,6.76,8.0,9.76
130,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.74,6.74,8.0,9.74
140,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.72,6.72,8.0,9.72
150,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.7,6.7,8.0,9.7
160,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.68,6.68,8.0,9.68
170,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.66,6.66,8.0,9.66
180,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.64,6.64,8.0,9.64
190,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.62,6.62,8.0,9.62
200,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.6,6.6,8.0,9.6
210,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.58,6.58,8.0,9.58
220,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.56,6.56,8.0,9.56
230,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.54,6.54,8.0,9.54
240,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.52,6.52,8.0,9.52
250,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.5,6.5,8.0,9.5
260,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.48,6.48,8.0,9.48
270,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.46,6.46,8.0,9.46
280,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.4399999999999995,6.4399999999999995,8.0,9.44
290,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.42,6.42,8.0,9.42
300,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.4,6.4,8.0,9.4
310,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.38,6.38,8.0,9.38
320,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.36,6.36,8.0,9.36
330,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.34,6.34,8.0,9.34
340,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.32,6.32,8.0,9.32
350,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.3,6.3,8.0,9.3
360,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.28,6.28,8.0,9.28
370,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.26,6.26,8.0,9.26
380,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.24,6.24,8.0,9.24
390,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.22,6.22,8.0,9.22
400,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.2,6.2,8.0,9.2
410,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.18,6.18,8.0,9.18
420,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.16,6.16,8.0,9.16
430,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.14,6.14,8.0,9.14
440,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.12,6.12,8.0,9.12
450,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.1,6.1,8.0,9.1
460,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.08,6.08,8.0,9.08
470,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.06,6.06,8.0,9.06
480,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.04,6.04,8.0,9.04
490,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.02,6.02,8.0,9.02
500,-2.0,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.0,6.0,8.0,9.0
510,-1.98,-1.0,0.0,1.0,1.98,2.0,3.0,4.0,4.98,5.0,6.0,7.98,9.0
520,-1.96,-1.0,0.0,1.0,1.96,2.0,3.0,4.0,4.96,5.0,6.0,7.96,9.0
530,-1.94,-1.0,0.0,1.0,1.94,2.0,3.0,4.0,4.94,5.0,6.0,7.94,9.0
540,-1.92,-1.0,0.0,1.0,1.92,2.0,3.0,4.0,4.92,5.0,6.0,7.92,9.0
550,-1.9,-1.0,0.0,1.0,1.9,2.0,3.0,4.0,4.9,5.0,6.0,7.9,9.0
