level,list_-3.0,list_-2.5,list_-2.0,list_-1.5,list_-1.0,list_-0.5,list_0.0,list_0.5,list_1.0,list_1.5,list_2.0,list_2.5,list_3.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,7.0,11.0,14.0
10,0.1,-0.1,-0.1,-0.2,-0.2,-0.1,0.0,1.0,2.1,4.1,7.1,11.0,14.1
20,0.2,-0.2,-0.2,-0.4,-0.4,-0.2,0.0,1.0,2.2,4.2,7.2,11.0,14.2
30,0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.6000000000000001,-0.6000000000000001,-0.30000000000000004,0.0,1.0,2.3,4.3,7.3,11.0,14.3
40,0.4,-0.4,-0.4,-0.8,-0.8,-0.4,0.0,1.0,2.4,4.4,7.4,11.0,14.4
50,0.5,-0.5,-0.5,-1.0,-1.0,-0.5,0.0,1.0,2.5,4.5,7.5,11.0,14.5
60,0.6000000000000001,-0.6000000000000001,-0.6000000000000001,-1.2000000000000002,-1.2000000000000002,-0.6000000000000001,0.0,1.0,2.6,4.6,7.6,11.0,14.6
70,0.7000000000000001,-0.7000000000000001,-0.7000000000000001,-1.4000000000000001,-1.4000000000000001,-0.7000000000000001,0.0,1.0,2.7,4.7,7.7,11.0,14.7
80,0.8,-0.8,-0.8,-1.6,-1.6,-0.8,0.0,1.0,2.8,4.8,7.8,11.0,14.8
90,0.9,-0.9,-0.9,-1.8,-1.8,-0.9,0.0,1.0,2.9,4.9,7.9,11.0,14.9
100,1.0,-1.0,-1.0,-2.0,-2.0,-1.0,0.0,1.0,3.0,5.0,8.0,11.0,15.0
110,0.9,-1.0,-1.0,-2.0,-2.0,-1.0,0.0,1.0,3.0,5.0,8.0,11.0,15.0
120,0.8,-1.0,-1.0,-2.0,-2.0,-1.0,0.0,1.0,3.0,5.0,8.0,11.0,15.0
130,0.7,-1.0,-1.0,-2.0,-2.0,-1.0,0.0,1.0,3.0,5.0,8.0,11.0,15.0
140,0.6,-1.0,-1.0,-2.0,-2.0,-1.0,0.0,1.0,3.0,5.0,8.0,11.0,15.0
150,0.5,-1.0,-1.0,-2.0,-2.0,-1.0,0.0,1.0,3.0,5.0,8.0,11.0,15.0
160,0.3999999999999999,-1.0,-1.0,-2.0,-2.0,-1.0,0.0,1.0,3.0,5.0,8.0,11.0,15.0
170,0.29999999999999993,-1.0,-1.0,-2.0,-2.0,-1.0,0.0,1.0,3.0,5.0,8.0,11.0,15.0
180,0.19999999999999996,-1.0,-1.0,-2.0,-2.0,-1.0,0.0,1.0,3.0,5.0,8.0,11.0,15.0
190,0.09999999999999998,-1.0,-1.0,-2.0,-2.0,-1.0,0.0,1.0,3.0,5.0,8.0,11.0,15.0
