level,trim_-5.0,trim_-4.0,trim_-3.0,trim_-2.5,trim_-2.0,trim_-1.5,trim_-1.0,trim_-0.5,trim_0.0,trim_0.5,trim_1.0,trim_1.5,trim_2.0
0,10.0,7.0,4.0,3.0,2.0,1.0,1.0,0.0,0.0,17.0,36.0,54.0,72.0
10,4.0,1.2999999999999998,-1.2999999999999998,-2.0,-2.5,-2.9,-1.7999999999999998,-1.4,0.0,16.8,35.5,53.4,71.3
20,-2.0,-4.4,-6.6,-7.0,-7.0,-6.8,-4.6,-2.8,0.0,16.6,35.0,52.8,70.6
30,-8.0,-10.100000000000001,-11.899999999999999,-12.0,-11.5,-10.7,-7.399999999999999,-4.199999999999999,0.0,16.4,34.5,52.2,69.9
40,-14.0,-15.8,-17.2,-17.0,-16.0,-14.6,-10.2,-5.6,0.0,16.2,34.0,51.6,69.2
50,-20.0,-21.5,-22.5,-22.0,-20.5,-18.5,-13.0,-7.0,0.0,16.0,33.5,51.0,68.5
60,-26.0,-27.200000000000003,-27.799999999999997,-27.0,-25.0,-22.4,-15.799999999999997,-8.399999999999999,0.0,15.8,33.0,50.4,67.8
70,-32.0,-32.9,-33.1,-32.0,-29.5,-26.3,-18.599999999999998,-9.799999999999999,0.0,15.6,32.5,49.8,67.1
80,-38.0,-38.6,-38.4,-37.0,-34.0,-30.2,-21.4,-11.2,0.0,15.4,32.0,49.2,66.4
90,-44.0,-44.300000000000004,-43.699999999999996,-42.0,-38.5,-34.1,-24.2,-12.6,0.0,15.2,31.5,48.6,65.7
100,-50.0,-50.0,-49.0,-47.0,-43.0,-38.0,-27.0,-14.0,0.0,15.0,31.0,48.0,65.0
110,-54.1,-53.5,-51.5,-48.8,-44.1,-38.4,-27.2,-14.1,0.0,15.0,31.0,47.9,64.8
120,-58.2,-57.0,-54.0,-50.6,-45.2,-38.8,-27.4,-14.2,0.0,15.0,31.0,47.8,64.6
130,-62.3,-60.5,-56.5,-52.4,-46.3,-39.2,-27.6,-14.3,0.0,15.0,31.0,47.7,64.4
140,-66.4,-64.0,-59.0,-54.2,-47.4,-39.6,-27.8,-14.4,0.0,15.0,31.0,47.6,64.2
150,-70.5,-67.5,-61.5,-56.0,-48.5,-40.0,-28.0,-14.5,0.0,15.0,31.0,47.5,64.0
160,-74.6,-71.0,-64.0,-57.8,-49.6,-40.4,-28.2,-14.6,0.0,15.0,31.0,47.4,63.8
170,-78.69999999999999,-74.5,-66.5,-59.6,-50.7,-40.8,-28.4,-14.7,0.0,15.0,31.0,47.3,63.6
180,-82.8,-78.0,-69.0,-61.4,-51.8,-41.2,-28.6,-14.8,0.0,15.0,31.0,47.2,63.4
190,-86.9,-81.5,-71.5,-63.2,-52.9,-41.6,-28.8,-14.9,0.0,15.0,31.0,47.1,63.2
200,-91.0,-85.0,-74.0,-65.0,-54.0,-42.0,-29.0,-15.0,0.0,15.0,31.0,47.0,63.0
210,-93.5,-86.6,-74.7,-65.4,-54.2,-42.1,-29.0,-15.0,0.0,15.0,31.0,46.9,62.9
220,-96.0,-88.2,-75.4,-65.8,-54.4,-42.2,-29.0,-15.0,0.0,15.0,31.0,46.8,62.8
230,-98.5,-89.8,-76.1,-66.2,-54.6,-42.3,-29.0,-15.0,0.0,15.0,31.0,46.7,62.7
240,-101.0,-91.4,-76.8,-66.6,-54.8,-42.4,-29.0,-15.0,0.0,15.0,31.0,46.6,62.6
250,-103.5,-93.0,-77.5,-67.0,-55.0,-42.5,-29.0,-15.0,0.0,15.0,31.0,46.5,62.5
260,-106.0,-94.6,-78.2,-67.4,-55.2,-42.6,-29.0,-15.0,0.0,15.0,31.0,46.4,62.4
270,-108.5,-96.2,-78.9,-67.8,-55.4,-42.7,-29.0,-15.0,0.0,15.0,31.0,46.3,62.3
280,-111.0,-97.8,-79.6,-68.2,-55.6,-42.8,-29.0,-15.0,0.0,15.0,31.0,46.2,62.2
290,-113.5,-99.4,-80.3,-68.6,-55.8,-42.9,-29.0,-15.0,0.0,15.0,31.0,46.1,62.1
300,-116.0,-101.0,-81.0,-69.0,-56.0,-43.0,-29.0,-15.0,0.0,15.0,31.0,46.0,62.0
310,-117.2,-101.6,-81.2,-69.1,-56.1,-43.0,-29.0,-15.0,0.0,15.0,30.9,46.0,62.0
