Press,pcorr
-1,0.999757
-0.9,0.999781
-0.8,0.999806
-0.7,0.99983
-0.6,0.999854
-0.5,0.999879
-0.4,0.999903
-0.3,0.999927
-0.2,0.999951
-0.1,0.999976
0,1
0.1,1.000024
0.2,1.000049
0.3,1.000073
0.4,1.000097
0.5,1.000121
0.6,1.000146
0.7,1.00017
0.8,1.000194
0.9,1.000219
1,1.000243
1.1,1.000267
1.2,1.000292
1.3,1.000316
1.4,1.00034
1.5,1.000364
1.6,1.000389
1.7,1.000413
1.8,1.000437
1.9,1.000462
2,1.000486
2.1,1.00051
2.2,1.000534
2.3,1.000559
2.4,1.000583
2.5,1.000607
2.6,1.000632
2.7,1.000656
2.8,1.00068
2.9,1.000705
3,1.000729
3.1,1.000753
3.2,1.000777
3.3,1.000802
3.4,1.000826
3.5,1.00085
3.6,1.000875
3.7,1.000899
3.8,1.000923
3.9,1.000947
4,1.000972
4.1,1.000996
4.2,1.00102
4.3,1.001045
4.4,1.001069
4.5,1.001093
4.6,1.001118
4.7,1.001142
4.8,1.001166
4.9,1.00119
5,1.001215
5.1,1.001239
5.2,1.001263
5.3,1.001288
5.4,1.001312
5.5,1.001336
5.6,1.00136
5.7,1.001385
5.8,1.001409
5.9,1.001433
6,1.001458
