level,volume
0,0.087
10,0.2
20,0.407
30,0.676
40,0.995
50,1.358
60,1.744
70,2.167
80,2.623
90,3.112
100,3.63
110,4.178
120,4.753
130,5.355
140,5.982
150,6.634
160,7.306
170,8.002
180,8.72
190,9.461
200,10.223
210,11.006
220,11.81
230,12.634
240,13.477
250,14.341
260,15.223
270,16.124
280,17.043
290,17.981
300,18.936
310,19.909
320,20.9
330,21.907
340,22.931
350,23.972
360,25.03
370,26.103
380,27.193
390,28.298
400,29.419
410,30.555
420,31.707
430,32.874
440,34.055
450,35.252
460,36.463
470,37.688
480,38.928
490,40.182
500,41.451
510,42.732
520,44.027
530,45.336
540,46.656
550,47.989
560,49.335
570,50.695
580,52.067
590,53.453
600,54.851
610,56.263
620,57.687
630,59.123
640,60.573
650,62.034
660,63.508
670,64.994
680,66.492
690,68.003
700,69.525
710,71.059
720,72.605
730,74.163
740,75.732
750,77.313
760,78.922
770,80.543
780,82.175
790,83.818
800,85.473
810,87.138
820,88.815
830,90.503
840,92.201
850,93.911
860,95.631
870,97.362
880,99.103
890,100.856
900,102.619
910,104.392
920,106.176
930,107.970
940,109.774
950,111.588
960,113.413
970,115.248
980,117.093
990,118.948
1000,120.813
1010,122.688
1020,124.573
1030,126.468
1040,128.372
1050,130.286
1060,132.210
1070,134.143
1080,136.086
1090,138.039
1100,140.001
1110,141.972
1120,143.953
1130,145.943
1140,147.942
1150,149.951
1160,151.968
1170,153.995
1180,156.031
1190,158.076
1200,160.131
1210,162.194
1220,164.266
1230,166.346
1240,168.436
1250,170.535
1260,172.642
1270,174.758
1280,176.882
1290,179.016
1300,181.158
1310,183.308
1320,185.467
1330,187.634
1340,189.810
1350,191.995
1360,194.187
1370,196.388
1380,198.598
1390,200.815
1400,203.040
1410,205.274
1420,207.515
1430,209.765
1440,212.022
1450,214.288
1460,216.561
1470,218.843
1480,221.133
1490,223.430
1500,225.735
1510,228.049
1520,230.370
1530,232.698
1540,235.035
1550,237.379
1560,239.731
1570,242.090
1580,244.457
1590,246.832
1600,249.214
1610,251.604
1620,254.001
1630,256.406
1640,258.818
1650,261.237
1660,263.664
1670,266.098
1680,268.540
1690,270.989
1700,273.444
1710,275.907
1720,278.378
1730,280.855
1740,283.340
1750,285.831
1760,288.330
1770,290.836
1780,293.349
1790,295.868
1800,298.395
1810,300.929
1820,303.469
1830,306.017
1840,308.571
1850,311.132
1860,313.700
1870,316.274
1880,318.855
1890,321.443
1900,324.038
1910,326.639
1920,329.247
1930,331.861
1940,334.482
1950,337.110
1960,339.744
1970,342.385
1980,345.032
1990,347.685
2000,350.345
2010,353.011
2020,355.684
2030,358.363
2040,361.048
2050,363.740
2060,366.437
2070,369.141
2080,371.851
2090,374.568
2100,377.290
2110,380.019
2120,382.753
2130,385.494
2140,388.241
2150,390.994
2160,393.753
2170,396.518
2180,399.289
2190,402.066
2200,404.848
2210,407.637
2220,410.432
2230,413.232
2240,416.038
2250,418.850
2260,421.668
2270,424.492
2280,427.321
2290,430.156
2300,432.996
2310,435.843
2320,438.695
2330,441.552
2340,444.415
2350,447.284
2360,450.158
2370,453.038
2380,455.924
2390,458.814
2400,461.711
2410,464.612
2420,467.520
2430,470.432
2440,473.350
2450,476.273
2460,479.201
2470,482.135
2480,485.075
2490,488.019
2500,490.969
2510,493.924
2520,496.884
2530,499.849
2540,502.820
2550,505.795
2560,508.776
2570,511.762
2580,514.753
2590,517.749
2600,520.750
2610,523.756
2620,526.767
2630,529.783
2640,532.804
2650,535.830
2660,538.860
2670,541.896
2680,544.937
2690,547.982
2700,551.032
2710,554.087
2720,557.147
2730,560.212
2740,563.281
2750,566.355
2760,569.434
2770,572.518
2780,575.606
2790,578.699
2800,581.796
2810,584.898
2820,588.005
2830,591.116
2840,594.232
2850,597.352
2860,600.477
2870,603.606
2880,606.740
2890,609.879
2900,613.021
2910,616.169
2920,619.320
2930,622.476
2940,625.636
2950,628.801
2960,631.970
2970,635.143
2980,638.321
2990,641.503
3000,644.689
3010,647.879
3020,651.074
3030,654.273
3040,657.476
3050,660.683
3060,663.894
3070,667.109
3080,670.329
3090,673.552
3100,676.78
3110,680.012
3120,683.247
3130,686.487
3140,689.731
3150,692.978
3160,696.23
3170,699.485
3180,702.745
3190,706.008
3200,709.276
3210,712.546
3220,715.821
3230,719.1
3240,722.383
3250,725.669
3260,728.96
3270,732.253
3280,735.551
3290,738.853
3300,742.158
3310,745.466
3320,748.779
3330,752.093
3340,755.41
3350,758.729
3360,762.056
3370,765.387
3380,768.721
3390,772.059
3400,775.4
3410,778.745
3420,782.093
3430,785.445
3440,788.8
3450,792.158
3460,795.521
3470,798.886
3480,802.255
3490,805.627
3500,809.003
3510,812.382
3520,815.764
3530,819.149
3540,822.538
3550,825.93
3560,829.326
3570,832.724
3580,836.126
3590,839.531
3600,842.939
3610,846.351
3620,849.765
3630,853.183
3640,856.604
3650,860.028
3660,863.455
3670,866.885
3680,870.318
3690,873.754
3700,877.193
3710,880.635
3720,884.081
3730,887.529
3740,890.98
3750,894.434
3760,897.891
3770,901.351
3780,904.814
3790,908.279
3800,911.748
3810,915.219
3820,918.693
3830,922.17
3840,925.65
3850,929.132
3860,932.618
3870,936.106
3880,939.597
3890,943.09
3900,946.586
3910,950.085
3920,953.587
3930,957.091
3940,960.597
3950,964.107
3960,967.619
3970,971.133
3980,974.65
3990,978.17
4000,981.692
4010,985.217
4020,988.744
4030,992.274
4040,995.806
4050,999.34
4060,1002.877
4070,1006.417
4080,1009.959
4090,1013.503
4100,1017.05
4110,1020.599
4120,1024.15
4130,1027.704
4140,1031.26
4150,1034.818
4160,1038.378
4170,1041.941
4180,1045.506
4190,1049.073
4200,1052.643
4210,1056.214
4220,1059.788
4230,1063.364
4240,1066.942
4250,1070.523
4260,1074.105
4270,1077.69
4280,1081.276
4290,1084.865
4300,1088.456
4310,1092.049
4320,1095.643
4330,1099.24
4340,1102.839
4350,1106.439
4360,1110.042
4370,1113.647
4380,1117.253
4390,1120.862
4400,1124.472
4410,1128.085
4420,1131.699
4430,1135.315
4440,1138.933
4450,1142.553
4460,1146.174
4470,1149.797
4480,1153.422
4490,1157.049
4500,1160.678
4510,1164.308
4520,1167.94
4530,1171.574
4540,1175.209
4550,1178.847
4560,1182.485
4570,1186.126
4580,1189.768
4590,1193.411
4600,1197.056
4610,1200.703
4620,1204.352
4630,1208.001
4640,1211.653
4650,1215.306
4660,1218.96
4670,1222.616
4680,1226.274
4690,1229.932
4700,1233.593
4710,1237.254
4720,1240.917
4730,1244.582
4740,1248.248
4750,1251.915
4760,1255.584
4770,1259.254
4780,1262.925
4790,1266.597
4800,1270.271
4810,1273.946
4820,1277.623
4830,1281.3
4840,1284.979
4850,1288.659
4860,1292.341
4870,1296.023
4880,1299.707
4890,1303.391
4900,1307.077
4910,1310.764
4920,1314.453
4930,1318.142
4940,1321.832
4950,1325.523
4960,1329.216
4970,1332.909
4980,1336.604
4990,1340.299
5000,1343.996
5010,1347.693
5020,1351.392
5030,1355.091
5040,1358.791
5050,1362.492
5060,1366.194
5070,1369.897
5080,1373.601
5090,1377.306
5100,1381.011
5110,1384.717
5120,1388.424
5130,1392.132
5140,1395.841
5150,1399.551
5160,1403.261
5170,1406.972
5180,1410.683
5190,1414.396
5200,1418.109
5210,1421.823
5220,1425.537
5230,1429.252
5240,1432.968
5250,1436.684
5260,1440.401
5270,1444.118
5280,1447.836
5290,1451.555
5300,1455.274
5310,1458.994
5320,1462.714
5330,1466.435
5340,1470.156
5350,1473.877
5360,1477.599
5370,1481.322
5380,1485.045
5390,1488.768
5400,1492.492
5410,1496.216
