level,list_-3.0,list_-2.5,list_-2.0,list_-1.5,list_-1.0,list_-0.5,list_0.0,list_0.5,list_1.0,list_1.5,list_2.0,list_2.5,list_3.0
0,12.0,9.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,12.1,9.0,6.1,3.1,1.1,0.1,0.0,-0.1,-0.1,-0.1,0.0,0.1,1.2
20,12.2,9.0,6.2,3.2,1.2,0.2,0.0,-0.2,-0.2,-0.2,0.0,0.2,1.4
30,12.3,9.0,6.3,3.3,1.3,0.30000000000000004,0.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,0.0,0.30000000000000004,1.6
40,12.4,9.0,6.4,3.4,1.4,0.4,0.0,-0.4,-0.4,-0.4,0.0,0.4,1.8
50,12.5,9.0,6.5,3.5,1.5,0.5,0.0,-0.5,-0.5,-0.5,0.0,0.5,2.0
60,12.6,9.0,6.6,3.6,1.6,0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.0,0.6000000000000001,2.2
70,12.7,9.0,6.7,3.7,1.7000000000000002,0.7000000000000001,0.0,-0.7000000000000001,-0.7000000000000001,-0.7000000000000001,0.0,0.7000000000000001,2.4000000000000004
80,12.8,9.0,6.8,3.8,1.8,0.8,0.0,-0.8,-0.8,-0.8,0.0,0.8,2.6
90,12.9,9.0,6.9,3.9,1.9,0.9,0.0,-0.9,-0.9,-0.9,0.0,0.9,2.8
100,13.0,9.0,7.0,4.0,2.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,3.0
110,12.9,9.0,7.0,4.0,2.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,2.9
120,12.8,9.0,7.0,4.0,2.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,2.8
130,12.7,9.0,7.0,4.0,2.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,2.7
140,12.6,9.0,7.0,4.0,2.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,2.6
150,12.5,9.0,7.0,4.0,2.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,2.5
160,12.4,9.0,7.0,4.0,2.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,2.4
170,12.3,9.0,7.0,4.0,2.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,2.3
180,12.2,9.0,7.0,4.0,2.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,2.2
190,12.1,9.0,7.0,4.0,2.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,2.1
200,12.0,9.0,7.0,4.0,2.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,2.0
210,12.0,9.0,7.0,4.0,2.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,2.0
