level,list_-3.0,list_-2.5,list_-2.0,list_-1.5,list_-1.0,list_-0.5,list_0.0,list_0.5,list_1.0,list_1.5,list_2.0,list_2.5,list_3.0
0,30,24,18,13,7,2,0,0,0,0,0,0,0
10,30,24,18,13,7.1,2.2,0,-0.3,-0.6,-0.9,-1.1,-1.2,-1.4
20,30,24,18,13,7.2,2.4,0,-0.6,-1.2,-1.8,-2.2,-2.4,-2.8
30,30,24,18,13,7.3,2.6,0,-0.9,-1.8,-2.7,-3.3,-3.6,-4.2
40,30,24,18,13,7.4,2.8,0,-1.2,-2.4,-3.6,-4.4,-4.8,-5.6
50,30,24,18,13,7.5,3,0,-1.5,-3,-4.5,-5.5,-6,-7
60,30,24,18,13,7.6,3.2,0,-1.8,-3.6,-5.4,-6.6,-7.2,-8.4
70,30,24,18,13,7.7,3.4,0,-2.1,-4.2,-6.3,-7.7,-8.4,-9.8
80,30,24,18,13,7.8,3.6,0,-2.4,-4.8,-7.2,-8.8,-9.6,-11.2
90,30,24,18,13,7.9,3.8,0,-2.7,-5.4,-8.1,-9.9,-10.8,-12.6
100,30,24,18,13,8,4,0,-3,-6,-9,-11,-12,-14
110,30,24,18,13,8,4,0,-3,-6,-9,-11,-12.1,-14
120,30,24,18,13,8,4,0,-3,-6,-9,-11,-12.2,-14
130,30,24,18,13,8,4,0,-3,-6,-9,-11,-12.3,-14
140,30,24,18,13,8,4,0,-3,-6,-9,-11,-12.4,-14
150,30,24,18,13,8,4,0,-3,-6,-9,-11,-12.5,-14
160,30,24,18,13,8,4,0,-3,-6,-9,-11,-12.6,-14
170,30,24,18,13,8,4,0,-3,-6,-9,-11,-12.7,-14
180,30,24,18,13,8,4,0,-3,-6,-9,-11,-12.8,-14
190,30,24,18,13,8,4,0,-3,-6,-9,-11,-12.9,-14
200,30,24,18,13,8,4,0,-3,-6,-9,-11,-13,-14
210,30,24,18,13,8,4,0,-3,-6,-9,-11,-13,-14
220,30,24,18,13,8,4,0,-3,-6,-9,-11,-13,-14
230,30,24,18,13,8,4,0,-3,-6,-9,-11,-13,-14
240,30,24,18,13,8,4,0,-3,-6,-9,-11,-13,-14
250,30,24,18,13,8,4,0,-3,-6,-9,-11,-13,-14
260,30,24,18,13,8,4,0,-3,-6,-9,-11,-13,-14
270,30,24,18,13,8,4,0,-3,-6,-9,-11,-13,-14
280,30,24,18,13,8,4,0,-3,-6,-9,-11,-13,-14
290,30,24,18,13,8,4,0,-3,-6,-9,-11,-13,-14
300,30,24,18,13,8,4,0,-3,-6,-9,-11,-13,-14
310,30,24,18,13,8,4,0,-3,-6,-9,-11,-13,-14
320,30,24,18,13,8,4,0,-3,-6,-9,-11,-13,-14
330,30,24,18,13,8,4,0,-3,-6,-9,-11,-13,-14
340,30,24,18,13,8,4,0,-3,-6,-9,-11,-13,-14
350,30,24,18,13,8,4,0,-3,-6,-9,-11,-13,-14
360,30,24,18,13,8,4,0,-3,-6,-9,-11,-13,-14
370,30,24,18,13,8,4,0,-3,-6,-9,-11,-13,-14
380,30,24,18,13,8,4,0,-3,-6,-9,-11,-13,-14
390,30,24,18,13,8,4,0,-3,-6,-9,-11,-13,-14
400,30,24,18,13,8,4,0,-3,-6,-9,-11,-13,-14
410,29.9,23.9,18,13,8,4,0,-3,-6,-9,-11,-13,-14
420,29.8,23.8,18,13,8,4,0,-3,-6,-9,-11,-13,-14
430,29.7,23.7,18,13,8,4,0,-3,-6,-9,-11,-13,-14
440,29.6,23.6,18,13,8,4,0,-3,-6,-9,-11,-13,-14
450,29.5,23.5,18,13,8,4,0,-3,-6,-9,-11,-13,-14
460,29.4,23.4,18,13,8,4,0,-3,-6,-9,-11,-13,-14
470,29.3,23.3,18,13,8,4,0,-3,-6,-9,-11,-13,-14
480,29.2,23.2,18,13,8,4,0,-3,-6,-9,-11,-13,-14
490,29.1,23.1,18,13,8,4,0,-3,-6,-9,-11,-13,-14
