level,press_-1.0,press_-0.5,press_0.0,press_0.5,press_1.0,press_1.5,press_2.0,press_2.5,press_3,press_3.5,press_4.0,press_5.0,press_6.0
0,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,11.0
10,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.98,6.98,7.98,9.0,11.0
20,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.96,6.96,7.96,9.0,11.0
30,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.94,6.94,7.94,9.0,11.0
40,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.92,6.92,7.92,9.0,11.0
50,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.9,6.9,7.9,9.0,11.0
60,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.88,6.88,7.88,9.0,11.0
70,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.86,6.86,7.86,9.0,11.0
80,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.84,6.84,7.84,9.0,11.0
90,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.82,6.82,7.82,9.0,11.0
100,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.8,6.8,7.8,9.0,11.0
110,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.78,6.78,7.78,9.0,11.0
120,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.76,6.76,7.76,9.0,11.0
130,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.74,6.74,7.74,9.0,11.0
140,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.72,6.72,7.72,9.0,11.0
150,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.7,6.7,7.7,9.0,11.0
160,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.68,6.68,7.68,9.0,11.0
170,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.66,6.66,7.66,9.0,11.0
180,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.64,6.64,7.64,9.0,11.0
190,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.62,6.62,7.62,9.0,11.0
200,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.6,6.6,7.6,9.0,11.0
210,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.58,6.58,7.58,9.0,11.0
220,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.56,6.56,7.56,9.0,11.0
230,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.54,6.54,7.54,9.0,11.0
240,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.52,6.52,7.52,9.0,11.0
250,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.5,6.5,7.5,9.0,11.0
260,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.48,6.48,7.48,9.0,11.0
270,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.46,6.46,7.46,9.0,11.0
280,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.4399999999999995,6.4399999999999995,7.4399999999999995,9.0,11.0
290,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.42,6.42,7.42,9.0,11.0
300,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.4,6.4,7.4,9.0,11.0
310,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.38,6.38,7.38,9.0,11.0
320,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.36,6.36,7.36,9.0,11.0
330,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.34,6.34,7.34,9.0,11.0
340,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.32,6.32,7.32,9.0,11.0
350,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.3,6.3,7.3,9.0,11.0
360,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.28,6.28,7.28,9.0,11.0
370,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.26,6.26,7.26,9.0,11.0
380,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,5.24,6.24,7.24,9.0,11.0
