level,trim_-5.0,trim_-4.5,trim_-4.0,trim_-3.5,trim_-3.0,trim_-2.5,trim_-2.0,trim_-1.5,trim_-1.0,trim_-0.5,trim_0.0,trim_0.5,trim_1.0,trim_1.5,trim_2.0
0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,15.0,30.0,45.0,61.0
10,-1.7999999999999998,-1.7999999999999998,-2.5999999999999996,-3.3,-3.0999999999999996,-3.7,-3.3,-2.5,-2.4,-1.3,0.0,14.8,29.7,44.6,60.4
20,-7.6,-7.6,-8.2,-8.6,-8.2,-8.4,-7.6,-6.0,-4.8,-2.6,0.0,14.6,29.4,44.2,59.8
30,-13.399999999999999,-13.399999999999999,-13.799999999999997,-13.899999999999999,-13.299999999999999,-13.100000000000001,-11.899999999999999,-9.5,-7.199999999999999,-3.9000000000000004,0.0,14.4,29.1,43.8,59.2
40,-19.2,-19.2,-19.4,-19.2,-18.4,-17.8,-16.2,-13.0,-9.6,-5.2,0.0,14.2,28.8,43.4,58.6
50,-25.0,-25.0,-25.0,-24.5,-23.5,-22.5,-20.5,-16.5,-12.0,-6.5,0.0,14.0,28.5,43.0,58.0
60,-30.799999999999997,-30.799999999999997,-30.599999999999994,-29.799999999999997,-28.599999999999998,-27.200000000000003,-24.799999999999997,-20.0,-14.399999999999999,-7.800000000000001,0.0,13.8,28.2,42.6,57.4
70,-36.6,-36.6,-36.199999999999996,-35.1,-33.699999999999996,-31.9,-29.099999999999998,-23.5,-16.8,-9.1,0.0,13.6,27.9,42.2,56.8
80,-42.4,-42.4,-41.8,-40.4,-38.8,-36.6,-33.4,-27.0,-19.2,-10.4,0.0,13.4,27.6,41.8,56.2
90,-48.199999999999996,-48.199999999999996,-47.4,-45.699999999999996,-43.9,-41.300000000000004,-37.699999999999996,-30.5,-21.599999999999998,-11.700000000000001,0.0,13.2,27.3,41.4,55.6
100,-54.0,-54.0,-53.0,-51.0,-49.0,-46.0,-42.0,-34.0,-24.0,-13.0,0.0,13.0,27.0,41.0,55.0
110,-57.6,-57.3,-55.9,-53.5,-50.9,-47.2,-42.6,-34.3,-24.1,-13.0,0.0,13.0,26.9,40.9,54.9
120,-61.2,-60.6,-58.8,-56.0,-52.8,-48.4,-43.2,-34.6,-24.2,-13.0,0.0,13.0,26.8,40.8,54.8
130,-64.8,-63.9,-61.7,-58.5,-54.7,-49.6,-43.8,-34.9,-24.3,-13.0,0.0,13.0,26.7,40.7,54.7
140,-68.4,-67.2,-64.6,-61.0,-56.6,-50.8,-44.4,-35.2,-24.4,-13.0,0.0,13.0,26.6,40.6,54.6
150,-72.0,-70.5,-67.5,-63.5,-58.5,-52.0,-45.0,-35.5,-24.5,-13.0,0.0,13.0,26.5,40.5,54.5
160,-75.6,-73.8,-70.4,-66.0,-60.4,-53.2,-45.6,-35.8,-24.6,-13.0,0.0,13.0,26.4,40.4,54.4
170,-79.2,-77.1,-73.3,-68.5,-62.3,-54.4,-46.2,-36.1,-24.7,-13.0,0.0,13.0,26.3,40.3,54.3
180,-82.8,-80.4,-76.2,-71.0,-64.2,-55.6,-46.8,-36.4,-24.8,-13.0,0.0,13.0,26.2,40.2,54.2
190,-86.4,-83.7,-79.1,-73.5,-66.1,-56.8,-47.4,-36.7,-24.9,-13.0,0.0,13.0,26.1,40.1,54.1
200,-90.0,-87.0,-82.0,-76.0,-68.0,-58.0,-48.0,-37.0,-25.0,-13.0,0.0,13.0,26.0,40.0,54.0
210,-91.8,-88.3,-82.9,-76.5,-68.3,-58.2,-48.1,-37.0,-25.0,-13.0,0.0,13.0,26.0,40.0,53.9
220,-93.6,-89.6,-83.8,-77.0,-68.6,-58.4,-48.2,-37.0,-25.0,-13.0,0.0,13.0,26.0,40.0,53.8
230,-95.4,-90.9,-84.7,-77.5,-68.9,-58.6,-48.3,-37.0,-25.0,-13.0,0.0,13.0,26.0,40.0,53.7
240,-97.2,-92.2,-85.6,-78.0,-69.2,-58.8,-48.4,-37.0,-25.0,-13.0,0.0,13.0,26.0,40.0,53.6
250,-99.0,-93.5,-86.5,-78.5,-69.5,-59.0,-48.5,-37.0,-25.0,-13.0,0.0,13.0,26.0,40.0,53.5
260,-100.8,-94.8,-87.4,-79.0,-69.8,-59.2,-48.6,-37.0,-25.0,-13.0,0.0,13.0,26.0,40.0,53.4
270,-102.6,-96.1,-88.3,-79.5,-70.1,-59.4,-48.7,-37.0,-25.0,-13.0,0.0,13.0,26.0,40.0,53.3
280,-104.4,-97.4,-89.2,-80.0,-70.4,-59.6,-48.8,-37.0,-25.0,-13.0,0.0,13.0,26.0,40.0,53.2
290,-106.2,-98.7,-90.1,-80.5,-70.7,-59.8,-48.9,-37.0,-25.0,-13.0,0.0,13.0,26.0,40.0,53.1
300,-108.0,-100.0,-91.0,-81.0,-71.0,-60.0,-49.0,-37.0,-25.0,-13.0,0.0,13.0,26.0,40.0,53.0
310,-108.6,-100.5,-91.3,-81.3,-71.2,-60.1,-49.1,-37.1,-25.0,-13.0,0.0,13.0,26.0,40.0,53.0
320,-109.2,-101.0,-91.6,-81.6,-71.4,-60.2,-49.2,-37.2,-25.0,-13.0,0.0,13.0,26.0,40.0,53.0
330,-109.8,-101.5,-91.9,-81.9,-71.6,-60.3,-49.3,-37.3,-25.0,-13.0,0.0,13.0,26.0,40.0,53.0
340,-110.4,-102.0,-92.2,-82.2,-71.8,-60.4,-49.4,-37.4,-25.0,-13.0,0.0,13.0,26.0,40.0,53.0
350,-111.0,-102.5,-92.5,-82.5,-72.0,-60.5,-49.5,-37.5,-25.0,-13.0,0.0,13.0,26.0,40.0,53.0
360,-111.6,-103.0,-92.8,-82.8,-72.2,-60.6,-49.6,-37.6,-25.0,-13.0,0.0,13.0,26.0,40.0,53.0
370,-112.2,-103.5,-93.1,-83.1,-72.4,-60.7,-49.7,-37.7,-25.0,-13.0,0.0,13.0,26.0,40.0,53.0
380,-112.8,-104.0,-93.4,-83.4,-72.6,-60.8,-49.8,-37.8,-25.0,-13.0,0.0,13.0,26.0,40.0,53.0
390,-113.4,-104.5,-93.7,-83.7,-72.8,-60.9,-49.9,-37.9,-25.0,-13.0,0.0,13.0,26.0,40.0,53.0
