level,volume
0,0.263
10,0.361
20,0.535
30,0.762
40,1.021
50,1.318
60,1.647
70,2.008
80,2.397
90,2.814
100,3.256
110,3.723
120,4.213
130,4.726
140,5.261
150,5.818
160,6.395
170,6.992
180,7.609
190,8.244
200,8.899
210,9.571
220,10.261
230,10.969
240,11.694
250,12.436
260,13.194
270,13.969
280,14.759
290,15.565
300,16.387
310,17.225
320,18.077
330,18.944
340,19.826
350,20.723
360,21.633
370,22.558
380,23.497
390,24.45
400,25.417
410,26.397
420,27.391
430,28.398
440,29.417
450,30.45
460,31.495
470,32.554
480,33.625
490,34.708
500,35.804
510,36.913
520,38.033
530,39.166
540,40.311
550,41.467
560,42.636
570,43.816
580,45.008
590,46.212
600,47.427
610,48.654
620,49.891
630,51.141
640,52.401
650,53.672
660,54.954
670,56.248
680,57.552
690,58.866
700,60.192
710,61.528
720,62.875
730,64.232
740,65.6
750,66.978
760,68.366
770,69.765
780,71.173
790,72.592
800,74.021
810,75.46
820,76.909
830,78.368
840,79.837
850,81.315
860,82.803
870,84.301
880,85.809
890,87.326
900,88.852
910,90.388
920,91.934
930,93.489
940,95.053
950,96.626
960,98.209
970,99.801
980,101.402
990,103.012
1000,104.631
1010,106.259
1020,107.896
1030,109.542
1040,111.197
1050,112.86
1060,114.533
1070,116.214
1080,117.904
1090,119.603
1100,121.31
1110,123.026
1120,124.75
1130,126.483
1140,128.224
1150,129.974
1160,131.732
1170,133.499
1180,135.273
1190,137.056
1200,138.847
1210,140.646
1220,142.453
1230,144.269
1240,146.092
1250,147.924
1260,149.763
1270,151.611
1280,153.467
1290,155.33
1300,157.202
1310,159.081
1320,160.968
1330,162.863
1340,164.766
1350,166.676
1360,168.595
1370,170.521
1380,172.454
1390,174.395
1400,176.344
1410,178.3
1420,180.264
1430,182.235
1440,184.214
1450,186.2
1460,188.194
1470,190.194
1480,192.203
1490,194.218
1500,196.241
1510,198.271
1520,200.309
1530,202.353
1540,204.405
1550,206.464
1560,208.53
1570,210.603
1580,212.683
1590,214.771
1600,216.865
1610,218.966
1620,221.074
1630,223.189
1640,225.311
1650,227.44
1660,229.576
1670,231.719
1680,233.868
1690,236.024
1700,238.187
1710,240.357
1720,242.533
1730,244.716
1740,246.906
1750,249.102
1760,251.305
1770,253.514
1780,255.73
1790,257.951
1800,260.179
1810,262.413
1820,264.653
1830,266.9
1840,269.153
1850,271.413
1860,273.679
1870,275.951
1880,278.23
1890,280.515
1900,282.806
1910,285.104
1920,287.408
1930,289.718
1940,292.034
1950,294.356
1960,296.685
1970,299.019
1980,301.36
1990,303.706
2000,306.059
2010,308.418
2020,310.783
2030,313.154
2040,315.531
2050,317.913
2060,320.302
2070,322.696
2080,325.097
2090,327.503
2100,329.915
2110,332.333
2120,334.757
2130,337.187
2140,339.622
2150,342.063
2160,344.51
2170,346.962
2180,349.42
2190,351.884
2200,354.353
2210,356.828
2220,359.309
2230,361.795
2240,364.287
2250,366.784
2260,369.287
2270,371.796
2280,374.309
2290,376.828
2300,379.353
2310,381.883
2320,384.419
2330,386.96
2340,389.506
2350,392.058
2360,394.614
2370,397.177
2380,399.744
2390,402.317
2400,404.895
2410,407.478
2420,410.067
2430,412.66
2440,415.259
2450,417.863
2460,420.472
2470,423.087
2480,425.706
2490,428.33
2500,430.96
2510,433.594
2520,436.234
2530,438.878
2540,441.528
2550,444.183
2560,446.842
2570,449.507
2580,452.176
2590,454.85
2600,457.529
2610,460.213
2620,462.902
2630,465.596
2640,468.294
2650,470.998
2660,473.706
2670,476.419
2680,479.136
2690,481.859
2700,484.586
2710,487.317
2720,490.054
2730,492.795
2740,495.54
2750,498.291
2760,501.046
2770,503.805
2780,506.569
2790,509.338
2800,512.111
2810,514.889
2820,517.671
2830,520.458
2840,523.249
2850,526.045
2860,528.845
2870,531.649
2880,534.458
2890,537.271
2900,540.089
2910,542.911
2920,545.738
2930,548.568
2940,551.403
2950,554.243
2960,557.086
2970,559.934
2980,562.786
2990,565.643
3000,568.503
3010,571.368
3020,574.237
3030,577.11
3040,579.987
3050,582.868
3060,585.754
3070,588.643
3080,591.537
3090,594.435
3100,597.336
3110,600.242
3120,603.152
3130,606.066
3140,608.984
3150,611.905
3160,614.831
3170,617.761
3180,620.694
3190,623.632
3200,626.573
3210,629.519
3220,632.468
3230,635.421
3240,638.378
3250,641.338
3260,644.303
3270,647.271
3280,650.243
3290,653.219
3300,656.199
3310,659.182
3320,662.169
3330,665.159
3340,668.154
3350,671.152
3360,674.154
3370,677.159
3380,680.168
3390,683.181
3400,686.197
3410,689.216
3420,692.24
3430,695.267
3440,698.297
3450,701.331
3460,704.368
3470,707.409
3480,710.453
3490,713.501
3500,716.553
3510,719.607
3520,722.666
3530,725.727
3540,728.792
3550,731.86
3560,734.932
3570,738.007
3580,741.085
3590,744.167
3600,747.252
3610,750.34
3620,753.431
3630,756.526
3640,759.624
3650,762.725
3660,765.83
3670,768.937
3680,772.048
3690,775.162
3700,778.279
3710,781.399
3720,784.523
3730,787.649
3740,790.779
3750,793.911
3760,797.047
3770,800.186
3780,803.328
3790,806.472
3800,809.621
3810,812.771
3820,815.925
3830,819.082
3840,822.242
3850,825.404
3860,828.57
3870,831.739
3880,834.91
3890,838.084
3900,841.262
3910,844.442
3920,847.625
3930,850.81
3940,853.999
3950,857.19
3960,860.384
3970,863.581
3980,866.781
3990,869.983
4000,873.189
4010,876.396
4020,879.607
4030,882.821
4040,886.036
4050,889.255
4060,892.476
4070,895.7
4080,898.927
4090,902.156
4100,905.388
4110,908.622
4120,911.859
4130,915.098
4140,918.34
4150,921.585
4160,924.832
4170,928.081
4180,931.333
4190,934.588
4200,937.845
4210,941.104
4220,944.366
4230,947.63
4240,950.897
4250,954.166
4260,957.437
4270,960.711
4280,963.987
4290,967.265
4300,970.546
4310,973.83
4320,977.115
4330,980.403
4340,983.692
4350,986.985
4360,990.279
4370,993.576
4380,996.874
4390,1000.176
4400,1003.479
4410,1006.785
4420,1010.092
4430,1013.402
4440,1016.714
4450,1020.028
4460,1023.344
4470,1026.662
4480,1029.983
4490,1033.305
4500,1036.629
4510,1039.956
4520,1043.284
4530,1046.615
4540,1049.948
4550,1053.282
4560,1056.619
4570,1059.957
4580,1063.298
4590,1066.64
4600,1069.984
4610,1073.331
4620,1076.679
4630,1080.029
4640,1083.381
4650,1086.734
4660,1090.09
4670,1093.447
4680,1096.807
4690,1100.168
4700,1103.53
4710,1106.895
4720,1110.261
4730,1113.63
4740,1116.999
4750,1120.371
4760,1123.745
4770,1127.12
4780,1130.496
4790,1133.875
4800,1137.255
4810,1140.636
4820,1144.02
4830,1147.405
4840,1150.792
4850,1154.18
4860,1157.569
4870,1160.961
4880,1164.354
4890,1167.748
4900,1171.144
4910,1174.542
4920,1177.941
4930,1181.341
4940,1184.743
4950,1188.147
4960,1191.552
4970,1194.958
4980,1198.366
4990,1201.775
5000,1205.186
5010,1208.598
5020,1212.012
5030,1215.426
5040,1218.842
5050,1222.26
5060,1225.679
5070,1229.099
5080,1232.52
5090,1235.943
5100,1239.367
5110,1242.792
5120,1246.219
5130,1249.647
5140,1253.076
5150,1256.506
5160,1259.938
5170,1263.37
5180,1266.804
5190,1270.239
5200,1273.675
5210,1277.112
5220,1280.551
5230,1283.99
5240,1287.431
5250,1290.872
5260,1294.315
5270,1297.759
5280,1301.204
5290,1304.65
5300,1308.097
5310,1311.545
5320,1314.994
5330,1318.443
5340,1321.895
5350,1325.347
5360,1328.799
5370,1332.253
5380,1335.708
5390,1339.163
5400,1342.62
5410,1346.077
5420,1349.535
5430,1352.994
5440,1356.454
5450,1359.915
5460,1363.377
5470,1366.839
5480,1370.302
5490,1373.766
5500,1377.231
5510,1380.697
5520,1384.163
5530,1387.63
5540,1391.098
5550,1394.566
5560,1398.035
5570,1401.505
5580,1404.976
5590,1408.447
5600,1411.918
5610,1415.391
5620,1418.864
5630,1422.337
5640,1425.812
5650,1429.287
5660,1432.762
5670,1436.238
5680,1439.714
5690,1443.191
5700,1446.669
5710,1450.147
5720,1453.626
5730,1457.105
5740,1460.584
5750,1464.064
5760,1467.545
5770,1471.025
5780,1474.507
5790,1477.988
5800,1481.471
5810,1484.953
5820,1488.436
5830,1491.919
5840,1495.402
5850,1498.886
5860,1502.371
5870,1505.855
5880,1509.34
5890,1512.825
5900,1516.31
5910,1519.796
5920,1523.281
5930,1526.768
5940,1530.254
5950,1533.74
5960,1537.227
5970,1540.714
5980,1544.201
5990,1547.688
6000,1551.175
6010,1554.663
6020,1558.151
6030,1561.638
6040,1565.126
6050,1568.614
6060,1572.102
6070,1575.59
6080,1579.078
6090,1582.566
6100,1586.054
6110,1589.542
6120,1593.03
6130,1596.518
6140,1600.006
6150,1603.494
6160,1606.982
6170,1610.47
6180,1613.958
6190,1617.445
6200,1620.933
6210,1624.42
6220,1627.908
6230,1631.395
6240,1634.882
6250,1638.369
6260,1641.856
6270,1645.342
6280,1648.828
6290,1652.315
6300,1655.801
6310,1659.286
6320,1662.771
6330,1666.256
6340,1669.741
6350,1673.226
6360,1676.71
6370,1680.194
6380,1683.678
6390,1687.161
6400,1690.643
6410,1694.126
6420,1697.608
6430,1701.09
6440,1704.571
6450,1708.052
6460,1711.532
6470,1715.012
6480,1718.492
6490,1721.971
6500,1725.45
6510,1728.928
6520,1732.405
6530,1735.883
6540,1739.359
6550,1742.835
6560,1746.31
6570,1749.785
6580,1753.259
6590,1756.733
6600,1760.206
6610,1763.679
6620,1767.151
6630,1770.622
6640,1774.092
6650,1777.562
6660,1781.031
6670,1784.5
6680,1787.968
6690,1791.435
6700,1794.901
6710,1798.367
6720,1801.831
6730,1805.295
6740,1808.759
6750,1812.221
6760,1815.683
6770,1819.144
6780,1822.604
6790,1826.063
6800,1829.521
6810,1832.979
6820,1836.436
6830,1839.891
6840,1843.346
6850,1846.8
6860,1850.252
6870,1853.704
6880,1857.155
6890,1860.606
6900,1864.055
6910,1867.503
6920,1870.95
6930,1874.395
6940,1877.84
6950,1881.284
6960,1884.727
6970,1888.169
6980,1891.61
6990,1895.049
7000,1898.488
7010,1901.925
7020,1905.361
7030,1908.796
7040,1912.23
7050,1915.663
7060,1919.095
7070,1922.525
7080,1925.954
