level,volume
0,0.087
10,0.199
20,0.404
30,0.671
40,0.989
50,1.351
60,1.735
70,2.157
80,2.612
90,3.099
100,3.616
110,4.163
120,4.737
130,5.337
140,5.963
150,6.614
160,7.285
170,7.980
180,8.697
190,9.436
200,10.197
210,10.979
220,11.782
230,12.604
240,13.447
250,14.309
260,15.190
270,16.091
280,17.009
290,17.946
300,18.900
310,19.872
320,20.861
330,21.868
340,22.891
350,23.931
360,24.988
370,26.060
380,27.149
390,28.253
400,29.373
410,30.509
420,31.660
430,32.826
440,34.007
450,35.202
460,36.412
470,37.637
480,38.876
490,40.130
500,41.397
510,42.678
520,43.973
530,45.281
540,46.600
550,47.932
560,49.278
570,50.636
580,52.008
590,53.393
600,54.791
610,56.202
620,57.625
630,59.061
640,60.510
650,61.971
660,63.444
670,64.929
680,66.427
690,67.937
700,69.458
710,70.992
720,72.537
730,74.094
740,75.663
750,77.244
760,78.852
770,80.472
780,82.104
790,83.746
800,85.400
810,87.066
820,88.742
830,90.429
840,92.127
850,93.836
860,95.556
870,97.286
880,99.027
890,100.779
900,102.541
910,104.314
920,106.097
930,107.891
940,109.695
950,111.509
960,113.333
970,115.168
980,117.013
990,118.867
1000,120.732
1010,122.607
1020,124.491
1030,126.385
1040,128.289
1050,130.203
1060,132.126
1070,134.059
1080,136.002
1090,137.954
1100,139.916
1110,141.886
1120,143.867
1130,145.857
1140,147.856
1150,149.864
1160,151.881
1170,153.908
1180,155.944
1190,157.988
1200,160.042
1210,162.105
1220,164.176
1230,166.257
1240,168.346
1250,170.445
1260,172.552
1270,174.667
1280,176.792
1290,178.925
1300,181.066
1310,183.216
1320,185.375
1330,187.542
1340,189.718
1350,191.902
1360,194.095
1370,196.295
1380,198.505
1390,200.722
1400,202.947
1410,205.180
1420,207.421
1430,209.670
1440,211.928
1450,214.193
1460,216.467
1470,218.748
1480,221.037
1490,223.335
1500,225.640
1510,227.953
1520,230.274
1530,232.602
1540,234.938
1550,237.282
1560,239.634
1570,241.993
1580,244.360
1590,246.735
1600,249.117
1610,251.506
1620,253.903
1630,256.308
1640,258.720
1650,261.139
1660,263.566
1670,266.000
1680,268.441
1690,270.890
1700,273.346
1710,275.809
1720,278.279
1730,280.756
