level,trim_-5.0,trim_-4.0,trim_-3.0,trim_-2.5,trim_-2.0,trim_-1.5,trim_-1.0,trim_-0.5,trim_0.0,trim_0.5,trim_1.0,trim_1.5,trim_2.0
0,10.0,7.0,4.0,3.0,2.0,1.0,1.0,0.0,0.0,17.0,35.0,53.0,72.0
10,4.0,1.2999999999999998,-1.2000000000000002,-2.0,-2.5,-2.8,-1.7999999999999998,-1.4,0.0,16.8,34.6,52.5,71.3
20,-2.0,-4.4,-6.4,-7.0,-7.0,-6.6,-4.6,-2.8,0.0,16.6,34.2,52.0,70.6
30,-8.0,-10.100000000000001,-11.600000000000001,-12.0,-11.5,-10.399999999999999,-7.399999999999999,-4.199999999999999,0.0,16.4,33.8,51.5,69.9
40,-14.0,-15.8,-16.8,-17.0,-16.0,-14.2,-10.2,-5.6,0.0,16.2,33.4,51.0,69.2
50,-20.0,-21.5,-22.0,-22.0,-20.5,-18.0,-13.0,-7.0,0.0,16.0,33.0,50.5,68.5
60,-26.0,-27.200000000000003,-27.200000000000003,-27.0,-25.0,-21.799999999999997,-15.799999999999997,-8.399999999999999,0.0,15.8,32.6,50.0,67.8
70,-32.0,-32.9,-32.4,-32.0,-29.5,-25.599999999999998,-18.599999999999998,-9.799999999999999,0.0,15.6,32.2,49.5,67.1
80,-38.0,-38.6,-37.6,-37.0,-34.0,-29.4,-21.4,-11.2,0.0,15.4,31.8,49.0,66.4
90,-44.0,-44.300000000000004,-42.800000000000004,-42.0,-38.5,-33.199999999999996,-24.2,-12.6,0.0,15.2,31.4,48.5,65.7
100,-50.0,-50.0,-48.0,-47.0,-43.0,-37.0,-27.0,-14.0,0.0,15.0,31.0,48.0,65.0
110,-54.1,-53.5,-50.6,-48.8,-44.1,-37.5,-27.2,-14.1,0.0,15.0,31.0,47.9,64.8
120,-58.2,-57.0,-53.2,-50.6,-45.2,-38.0,-27.4,-14.2,0.0,15.0,31.0,47.8,64.6
130,-62.3,-60.5,-55.8,-52.4,-46.3,-38.5,-27.6,-14.3,0.0,15.0,31.0,47.7,64.4
140,-66.4,-64.0,-58.4,-54.2,-47.4,-39.0,-27.8,-14.4,0.0,15.0,31.0,47.6,64.2
150,-70.5,-67.5,-61.0,-56.0,-48.5,-39.5,-28.0,-14.5,0.0,15.0,31.0,47.5,64.0
160,-74.6,-71.0,-63.6,-57.8,-49.6,-40.0,-28.2,-14.6,0.0,15.0,31.0,47.4,63.8
170,-78.69999999999999,-74.5,-66.2,-59.6,-50.7,-40.5,-28.4,-14.7,0.0,15.0,31.0,47.3,63.6
180,-82.8,-78.0,-68.8,-61.4,-51.8,-41.0,-28.6,-14.8,0.0,15.0,31.0,47.2,63.4
190,-86.9,-81.5,-71.4,-63.2,-52.9,-41.5,-28.8,-14.9,0.0,15.0,31.0,47.1,63.2
200,-91.0,-85.0,-74.0,-65.0,-54.0,-42.0,-29.0,-15.0,0.0,15.0,31.0,47.0,63.0
210,-93.4,-86.6,-74.6,-65.3,-54.2,-42.1,-29.0,-15.0,0.0,15.0,30.9,46.9,62.9
220,-95.8,-88.2,-75.2,-65.6,-54.4,-42.2,-29.0,-15.0,0.0,15.0,30.8,46.8,62.8
230,-98.2,-89.8,-75.8,-65.9,-54.6,-42.3,-29.0,-15.0,0.0,15.0,30.7,46.7,62.7
240,-100.6,-91.4,-76.4,-66.2,-54.8,-42.4,-29.0,-15.0,0.0,15.0,30.6,46.6,62.6
250,-103.0,-93.0,-77.0,-66.5,-55.0,-42.5,-29.0,-15.0,0.0,15.0,30.5,46.5,62.5
260,-105.4,-94.6,-77.6,-66.8,-55.2,-42.6,-29.0,-15.0,0.0,15.0,30.4,46.4,62.4
270,-107.8,-96.2,-78.2,-67.1,-55.4,-42.7,-29.0,-15.0,0.0,15.0,30.3,46.3,62.3
