level,list_-3.0,list_-2.5,list_-2.0,list_-1.5,list_-1.0,list_-0.5,list_0.0,list_0.5,list_1.0,list_1.5,list_2.0,list_2.5,list_3.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,12.0,17.0,23.0,29.0
10,-1.2,-1.1,-1.0,-0.8,-0.6,-0.3,0.0,2.2,7.1,12.0,17.0,23.0,29.0
20,-2.4,-2.2,-2.0,-1.6,-1.2,-0.6,0.0,2.4,7.2,12.0,17.0,23.0,29.0
30,-3.5999999999999996,-3.3000000000000003,-3.0,-2.4000000000000004,-1.7999999999999998,-0.8999999999999999,0.0,2.6,7.3,12.0,17.0,23.0,29.0
40,-4.8,-4.4,-4.0,-3.2,-2.4,-1.2,0.0,2.8,7.4,12.0,17.0,23.0,29.0
50,-6.0,-5.5,-5.0,-4.0,-3.0,-1.5,0.0,3.0,7.5,12.0,17.0,23.0,29.0
60,-7.199999999999999,-6.6000000000000005,-6.0,-4.800000000000001,-3.5999999999999996,-1.7999999999999998,0.0,3.2,7.6,12.0,17.0,23.0,29.0
70,-8.4,-7.700000000000001,-7.0,-5.6000000000000005,-4.2,-2.1,0.0,3.4000000000000004,7.7,12.0,17.0,23.0,29.0
80,-9.6,-8.8,-8.0,-6.4,-4.8,-2.4,0.0,3.6,7.8,12.0,17.0,23.0,29.0
90,-10.799999999999999,-9.9,-9.0,-7.2,-5.3999999999999995,-2.6999999999999997,0.0,3.8,7.9,12.0,17.0,23.0,29.0
100,-12.0,-11.0,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,23.0,29.0
110,-12.0,-11.0,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,23.0,28.9
120,-12.0,-11.0,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,23.0,28.8
130,-12.0,-11.0,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,23.0,28.7
140,-12.0,-11.0,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,23.0,28.6
150,-12.0,-11.0,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,23.0,28.5
160,-12.0,-11.0,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,23.0,28.4
170,-12.0,-11.0,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,23.0,28.3
180,-12.0,-11.0,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,23.0,28.2
190,-12.0,-11.0,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,23.0,28.1
200,-12.0,-11.0,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,23.0,28.0
210,-12.0,-11.1,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,23.0,28.0
220,-12.0,-11.2,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,23.0,28.0
230,-12.0,-11.3,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,23.0,28.0
240,-12.0,-11.4,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,23.0,28.0
250,-12.0,-11.5,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,23.0,28.0
260,-12.0,-11.6,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,23.0,28.0
270,-12.0,-11.7,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,23.0,28.0
280,-12.0,-11.8,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,23.0,28.0
290,-12.0,-11.9,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,23.0,28.0
300,-12.0,-12.0,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,23.0,28.0
310,-12.1,-12.0,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,22.9,28.0
320,-12.2,-12.0,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,22.8,28.0
330,-12.3,-12.0,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,22.7,28.0
340,-12.4,-12.0,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,22.6,28.0
350,-12.5,-12.0,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,22.5,28.0
360,-12.6,-12.0,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,22.4,28.0
370,-12.7,-12.0,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,22.3,28.0
380,-12.8,-12.0,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,22.2,28.0
390,-12.9,-12.0,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,22.1,28.0
400,-13.0,-12.0,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,22.0,28.0
410,-13.0,-12.0,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,22.0,28.0
420,-13.0,-12.0,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,22.0,28.0
430,-13.0,-12.0,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,22.0,28.0
440,-13.0,-12.0,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,22.0,28.0
450,-13.0,-12.0,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,22.0,28.0
460,-13.0,-12.0,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,22.0,28.0
470,-13.0,-12.0,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,22.0,28.0
480,-13.0,-12.0,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,22.0,28.0
490,-13.0,-12.0,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,22.0,28.0
500,-13.0,-12.0,-10.0,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,22.0,28.0
510,-13.0,-12.0,-10.02,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,22.0,27.98
520,-13.0,-12.0,-10.04,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,22.0,27.96
530,-13.0,-12.0,-10.06,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,22.0,27.94
540,-13.0,-12.0,-10.08,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,22.0,27.92
550,-13.0,-12.0,-10.1,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,22.0,27.9
560,-13.0,-12.0,-10.12,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,22.0,27.88
570,-13.0,-12.0,-10.14,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,22.0,27.86
580,-13.0,-12.0,-10.16,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,22.0,27.84
590,-13.0,-12.0,-10.18,-8.0,-6.0,-3.0,0.0,4.0,8.0,12.0,17.0,22.0,27.82
