Press,pcorr
-1,0.999607
-0.9,0.999647
-0.8,0.999686
-0.7,0.999725
-0.6,0.999764
-0.5,0.999804
-0.4,0.999843
-0.3,0.999882
-0.2,0.999921
-0.1,0.999961
0,1
0.1,1.000039
0.2,1.000079
0.3,1.000118
0.4,1.000157
0.5,1.000196
0.6,1.000236
0.7,1.000275
0.8,1.000314
0.9,1.000353
1,1.000393
1.1,1.000432
1.2,1.000471
1.3,1.00051
1.4,1.00055
1.5,1.000589
1.6,1.000628
1.7,1.000668
1.8,1.000707
1.9,1.000746
2,1.000785
2.1,1.000825
2.2,1.000864
2.3,1.000903
2.4,1.000942
2.5,1.000982
2.6,1.001021
2.7,1.00106
2.8,1.001099
2.9,1.001139
3,1.001178
3.1,1.001217
3.2,1.001257
3.3,1.001296
3.4,1.001335
3.5,1.001374
3.6,1.001414
3.7,1.001453
3.8,1.001492
3.9,1.001531
4,1.001571
4.1,1.00161
4.2,1.001649
4.3,1.001688
4.4,1.001728
4.5,1.001767
4.6,1.001806
4.7,1.001845
4.8,1.001885
4.9,1.001924
5,1.001963
5.1,1.002003
5.2,1.002042
5.3,1.002081
5.4,1.00212
5.5,1.00216
5.6,1.002199
5.7,1.002238
5.8,1.002277
5.9,1.002317
6,1.002356
