level,volume
0,0.263
10,0.36
20,0.535
30,0.761
40,1.021
50,1.317
60,1.646
70,2.007
80,2.396
90,2.812
100,3.253
110,3.72
120,4.209
130,4.722
140,5.257
150,5.813
160,6.389
170,6.986
180,7.602
190,8.237
200,8.891
210,9.563
220,10.252
230,10.959
240,11.684
250,12.425
260,13.182
270,13.956
280,14.746
290,15.551
300,16.373
310,17.209
320,18.06
330,18.927
340,19.808
350,20.704
360,21.614
370,22.538
380,23.476
390,24.428
400,25.394
410,26.373
420,27.365
430,28.371
440,29.39
450,30.422
460,31.466
470,32.524
480,33.594
490,34.676
500,35.771
510,36.878
520,37.998
530,39.13
540,40.273
550,41.429
560,42.596
570,43.775
580,44.966
590,46.169
600,47.383
610,48.608
620,49.845
630,51.093
640,52.352
650,53.622
660,54.903
670,56.195
680,57.498
690,58.811
700,60.135
710,61.47
720,62.816
730,64.171
740,65.538
750,66.915
760,68.302
770,69.699
780,71.106
790,72.524
800,73.951
810,75.389
820,76.837
830,78.294
840,79.761
850,81.238
860,82.725
870,84.222
880,85.728
890,87.243
900,88.768
910,90.303
920,91.847
930,93.4
940,94.963
950,96.535
960,98.116
970,99.706
980,101.306
990,102.914
1000,104.532
1010,106.158
1020,107.794
1030,109.438
1040,111.091
1050,112.754
1060,114.424
1070,116.104
1080,117.792
1090,119.489
1100,121.195
1110,122.909
1120,124.632
1130,126.363
1140,128.103
1150,129.851
1160,131.607
1170,133.372
1180,135.145
1190,136.926
1200,138.715
1210,140.513
1220,142.318
1230,144.132
1240,145.954
1250,147.784
1260,149.621
1270,151.467
1280,153.321
1290,155.183
1300,157.052
1310,158.93
1320,160.815
1330,162.709
1340,164.609
1350,166.518
1360,168.434
1370,170.358
1380,172.29
1390,174.229
1400,176.176
1410,178.131
1420,180.092
1430,182.062
1440,184.039
1450,186.023
1460,188.014
1470,190.014
1480,192.02
1490,194.034
1500,196.055
1510,198.083
1520,200.118
1530,202.161
1540,204.211
1550,206.268
1560,208.332
1570,210.403
1580,212.481
1590,214.566
1600,216.658
1610,218.758
1620,220.864
1630,222.977
1640,225.097
1650,227.224
1660,229.357
1670,231.498
1680,233.645
1690,235.799
1700,237.96
1710,240.128
1720,242.302
1730,244.483
1740,246.671
1750,248.865
1760,251.066
1770,253.273
1780,255.487
1790,257.706
1800,259.931
1810,262.163
1820,264.401
1830,266.646
1840,268.897
1850,271.154
1860,273.418
1870,275.689
1880,277.965
1890,280.248
1900,282.537
1910,284.832
1920,287.134
1930,289.441
1940,291.755
1950,294.075
1960,296.402
1970,298.734
1980,301.072
1990,303.417
2000,305.767
2010,308.124
2020,310.486
2030,312.855
2040,315.229
2050,317.61
2060,319.996
2070,322.388
2080,324.787
2090,327.19
2100,329.6
2110,332.016
2120,334.438
2130,336.865
2140,339.298
2150,341.736
2160,344.181
2170,346.631
2180,349.086
2190,351.548
2200,354.015
2210,356.488
2220,358.966
2230,361.45
2240,363.939
2250,366.434
2260,368.934
2270,371.44
2280,373.952
2290,376.468
2300,378.991
2310,381.518
