level,list_-3.0,list_-2.0,list_-1.5,list_-1.0,list_-0.5,list_0.0,list_0.5,list_1.0,list_1.5,list_2.0,list_3.0
0,0.1,0,0,0,0,0,0,0,0,0,0.4
1,0.4,0.1,0.1,0,0,0,0,0.1,0.2,0.3,0.7
2,0.5,0.2,0.1,0,0,0,0,0.1,0.2,0.4,0.8
3,0.6,0.2,0.1,0,0,0,0,0.1,0.2,0.4,0.8
4,0.6,0.2,0.1,0,0,0,0,0.1,0.2,0.4,0.9
5,0.6,0.2,0.1,0,0,0,0,0.1,0.2,0.4,0.9
6,0.6,0.2,0.1,0,0,0,0,0.1,0.2,0.4,0.9
7,0.6,0.2,0.1,0,0,0,0,0.1,0.2,0.4,0.9
8,0.6,0.2,0.1,0,0,0,0,0.1,0.2,0.4,0.9
9,0.6,0.2,0.1,0,0,0,0,0.1,0.2,0.4,0.9
10,0.6,0.2,0.1,0,0,0,0,0.1,0.2,0.4,0.9
11,0.6,0.2,0.1,0,0,0,0,0.1,0.2,0.4,0.9
12,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
13,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
14,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
15,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
16,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
17,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
18,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
19,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
20,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
21,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
22,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
23,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
24,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
25,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
26,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
27,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
28,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
29,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
30,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
31,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
