level,press_-1.0,press_-0.5,press_0.0,press_0.5,press_1.0,press_1.5,press_2.0,press_2.5,press_3.0,press_3.5,press_4.0,press_5.0,press_6.0
0,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
10,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
20,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
30,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
40,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
50,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
60,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
70,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
80,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
90,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
100,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
110,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
120,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
130,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
140,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
150,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
160,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
170,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
180,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
190,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
200,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
210,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
220,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
230,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
240,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
250,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
260,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
270,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
280,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
290,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
300,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
310,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
320,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
330,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
340,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
350,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
360,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
370,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
380,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
390,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
400,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
410,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
420,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
430,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
440,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
450,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
460,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
470,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
480,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
490,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
500,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
510,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.98,4.0,5.0,6.0,7.0
520,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.96,4.0,5.0,6.0,7.0
530,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.94,4.0,5.0,6.0,7.0
540,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.92,4.0,5.0,6.0,7.0
550,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.9,4.0,5.0,6.0,7.0
560,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.88,4.0,5.0,6.0,7.0
570,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.86,4.0,5.0,6.0,7.0
580,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.84,4.0,5.0,6.0,7.0
590,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.82,4.0,5.0,6.0,7.0
600,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.8,4.0,5.0,6.0,7.0
610,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.78,4.0,5.0,6.0,7.0
620,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.76,4.0,5.0,6.0,7.0
630,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.74,4.0,5.0,6.0,7.0
640,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.7199999999999998,4.0,5.0,6.0,7.0
650,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.7,4.0,5.0,6.0,7.0
660,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.68,4.0,5.0,6.0,7.0
670,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.66,4.0,5.0,6.0,7.0
680,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.64,4.0,5.0,6.0,7.0
690,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.62,4.0,5.0,6.0,7.0
700,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.6,4.0,5.0,6.0,7.0
710,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.58,4.0,5.0,6.0,7.0
720,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.56,4.0,5.0,6.0,7.0
730,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.54,4.0,5.0,6.0,7.0
740,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.52,4.0,5.0,6.0,7.0
750,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.5,4.0,5.0,6.0,7.0
760,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.48,4.0,5.0,6.0,7.0
770,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.46,4.0,5.0,6.0,7.0
780,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.44,4.0,5.0,6.0,7.0
790,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.42,4.0,5.0,6.0,7.0
800,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.4,4.0,5.0,6.0,7.0
810,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.38,4.0,5.0,6.0,7.0
820,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.36,4.0,5.0,6.0,7.0
830,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.34,4.0,5.0,6.0,7.0
840,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.32,4.0,5.0,6.0,7.0
850,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.3,4.0,5.0,6.0,7.0
860,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.2800000000000002,4.0,5.0,6.0,7.0
870,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.26,4.0,5.0,6.0,7.0
880,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.24,4.0,5.0,6.0,7.0
890,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.2199999999999998,4.0,5.0,6.0,7.0
900,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.2,4.0,5.0,6.0,7.0
910,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.1799999999999997,4.0,5.0,6.0,7.0
920,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.16,4.0,5.0,6.0,7.0
930,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.14,4.0,5.0,6.0,7.0
940,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.12,4.0,5.0,6.0,7.0
950,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.1,4.0,5.0,6.0,7.0
960,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.08,4.0,5.0,6.0,7.0
970,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.06,4.0,5.0,6.0,7.0
980,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.04,4.0,5.0,6.0,7.0
990,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.02,4.0,5.0,6.0,7.0
1000,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,5.0,6.0,7.0
1010,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.98,5.98,6.98
1020,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.96,5.96,6.96
1030,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.94,5.94,6.94
1040,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.92,5.92,6.92
1050,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.9,5.9,6.9
1060,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.88,5.88,6.88
1070,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.86,5.86,6.86
1080,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.84,5.84,6.84
1090,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.82,5.82,6.82
1100,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.8,5.8,6.8
1110,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.78,5.78,6.78
1120,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.76,5.76,6.76
1130,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.74,5.74,6.74
1140,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.72,5.72,6.72
1150,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.7,5.7,6.7
1160,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.68,5.68,6.68
1170,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.66,5.66,6.66
1180,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.64,5.64,6.64
1190,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.62,5.62,6.62
1200,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.6,5.6,6.6
1210,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.58,5.58,6.58
1220,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.56,5.56,6.56
1230,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.54,5.54,6.54
1240,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.52,5.52,6.52
1250,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.5,5.5,6.5
1260,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.48,5.48,6.48
1270,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.46,5.46,6.46
1280,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.4399999999999995,5.4399999999999995,6.4399999999999995
1290,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.42,5.42,6.42
1300,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.4,5.4,6.4
