Temp,tcorr
-165,0.99848
-164,0.99487
-163,0.9949
-162,0.99493
-161,0.99496
-160,0.99498
-159,0.99501
-158,0.99504
-157,0.99507
-156,0.9951
-155,0.99512
-154,0.99515
-153,0.99518
-152,0.99521
-151,0.99523
-150,0.99526
-149,0.99529
-148,0.99532
-147,0.99535
-146,0.99537
-145,0.9954
-144,0.99543
-143,0.99546
-142,0.99549
-141,0.99551
-140,0.99554
-139,0.99557
-138,0.9956
-137,0.99562
-136,0.99565
-135,0.99568
-134,0.99571
-133,0.99574
-132,0.99576
-131,0.99579
-130,0.99582
-129,0.99585
-128,0.99588
-127,0.9959
-126,0.99593
-125,0.99596
-124,0.99599
-123,0.99602
-122,0.99604
-121,0.99607
-120,0.9961
-119,0.99613
-118,0.99615
-117,0.99618
-116,0.99621
-115,0.99624
-114,0.99627
-113,0.99629
-112,0.99632
-111,0.99635
-110,0.99638
-109,0.99641
-108,0.99643
-107,0.99646
-106,0.99649
-105,0.99652
-104,0.99654
-103,0.99657
-102,0.9966
-101,0.99663
-100,0.99666
-99,0.99668
-98,0.99671
-97,0.99674
-96,0.99677
-95,0.9968
-94,0.99682
-93,0.99685
-92,0.99688
-91,0.99691
-90,0.99693
-89,0.99696
-88,0.99699
-87,0.99702
-86,0.99705
-85,0.99707
-84,0.9971
-83,0.99713
-82,0.99716
-81,0.99719
-80,0.99721
-79,0.99724
-78,0.99727
-77,0.9973
-76,0.99732
-75,0.99735
-74,0.99738
-73,0.99741
-72,0.997437813
-71,0.997465625
-70,0.997493438
-69,0.99752125
-68,0.997549063
-67,0.997576875
-66,0.997604688
-65,0.9976325
-64,0.997660313
-63,0.997688125
-62,0.997715938
-61,0.99774375
-60,0.997771563
-59,0.997799375
-58,0.997827188
-57,0.997855
-56,0.997882813
-55,0.997910625
-54,0.997938438
-53,0.99796625
-52,0.997994063
-51,0.998021875
-50,0.998049688
-49,0.9980775
-48,0.998105313
-47,0.998133125
-46,0.998160938
-45,0.99818875
-44,0.998216563
-43,0.998244375
-42,0.998272188
-41,0.9983
-40,0.99833
-39,0.99836
-38,0.99838
-37,0.99841
-36,0.99844
-35,0.99847
-34,0.9985
-33,0.99852
-32,0.99855
-31,0.99858
-30,0.99861
-29,0.99863
-28,0.99866
-27,0.99869
-26,0.99872
-25,0.99875
-24,0.99877
-23,0.9988
-22,0.99883
-21,0.99886
-20,0.99889
-19,0.99891
-18,0.99894
-17,0.99897
-16,0.999
-15,0.99902
-14,0.99905
-13,0.99908
-12,0.99911
-11,0.99914
-10,0.99916
-9,0.99919
-8,0.99922
-7,0.99925
-6,0.99928
-5,0.9993
-4,0.99933
-3,0.99936
-2,0.99939
-1,0.99941
0,0.99944
1,0.99947
2,0.9995
3,0.99953
4,0.99955
5,0.99958
6,0.99961
7,0.99964
8,0.99967
9,0.99969
10,0.99972
11,0.99975
12,0.99978
13,0.9998
14,0.99983
15,0.99986
16,0.99989
17,0.99992
18,0.99994
19,0.99999
20,1
