level,list_-5.0,list_-4.5,list_-4.0,list_-3.5,list_-3.0,list_-2.5,list_-2.0,list_-1.5,list_-1.0,list_-0.5,list_0.0,list_0.5,list_1.0,list_1.5,list_2.0,list_2.5,list_3.0,list_3.5,list_4.0,list_4.5,list_5.0
0,154.0,138.0,121.0,105.0,89.0,74.0,59.0,44.0,29.0,14.0,0.0,14.0,29.0,44.0,59.0,74.0,89.0,105.0,121.0,138.0,154.0
1,149.8,133.8,116.9,100.9,85.0,70.0,55.2,40.5,26.2,12.6,0.0,12.6,26.2,40.5,55.2,70.0,85.0,100.9,116.9,133.8,149.8
2,145.6,129.6,112.8,96.8,81.0,66.0,51.4,37.0,23.4,11.2,0.0,11.2,23.4,37.0,51.4,66.0,81.0,96.8,112.8,129.6,145.6
3,141.4,125.4,108.7,92.7,77.0,62.0,47.6,33.5,20.6,9.8,0.0,9.8,20.6,33.5,47.6,62.0,77.0,92.7,108.7,125.4,141.4
4,137.2,121.2,104.6,88.6,73.0,58.0,43.8,30.0,17.8,8.4,0.0,8.4,17.8,30.0,43.8,58.0,73.0,88.6,104.6,121.2,137.2
5,133.0,117.0,100.5,84.5,69.0,54.0,40.0,26.5,15.0,7.0,0.0,7.0,15.0,26.5,40.0,54.0,69.0,84.5,100.5,117.0,133.0
6,128.8,112.8,96.4,80.4,65.0,50.0,36.2,23.0,12.200000000000003,5.600000000000001,0.0,5.600000000000001,12.200000000000003,23.0,36.2,50.0,65.0,80.4,96.4,112.8,128.8
7,124.6,108.6,92.30000000000001,76.30000000000001,61.0,46.0,32.400000000000006,19.5,9.400000000000002,4.200000000000001,0.0,4.200000000000001,9.400000000000002,19.5,32.400000000000006,46.0,61.0,76.30000000000001,92.30000000000001,108.6,124.6
8,120.4,104.4,88.2,72.2,57.0,42.0,28.6,16.0,6.600000000000001,2.8000000000000007,0.0,2.8000000000000007,6.600000000000001,16.0,28.6,42.0,57.0,72.2,88.2,104.4,120.4
9,116.19999999999999,100.19999999999999,84.1,68.1,53.0,38.0,24.800000000000004,12.5,3.8000000000000007,1.4000000000000004,0.0,1.4000000000000004,3.8000000000000007,12.5,24.800000000000004,38.0,53.0,68.1,84.1,100.19999999999999,116.19999999999999
10,112.0,96.0,80.0,64.0,49.0,34.0,21.0,9.0,1.0,0.0,0.0,0.0,1.0,9.0,21.0,34.0,49.0,64.0,80.0,96.0,112.0
11,108.7,92.7,76.9,61.1,46.4,31.8,19.4,8.3,1.0,0.0,0.0,0.0,1.0,8.3,19.4,31.8,46.4,59.4,76.9,92.7,108.7
12,105.4,89.4,73.8,58.2,43.8,29.6,17.8,7.6,1.0,0.0,0.0,0.0,1.0,7.6,17.8,29.6,43.8,54.8,73.8,89.4,105.4
