level,volume
0,0
1,2.161
2,4.327
3,6.496
4,8.67
5,10.848
6,13.321
7,16.037
8,18.758
9,21.483
10,24.211
11,26.944
12,29.681
13,32.423
14,35.167
15,37.916
16,40.669
17,43.426
18,46.187
19,48.952
20,51.722
21,54.495
22,57.273
23,60.055
24,62.841
25,65.631
26,68.425
27,71.223
28,74.026
29,76.833
30,79.644
31,82.459
32,85.278
33,88.101
34,90.929
35,93.76
36,96.596
37,99.436
38,102.28
39,105.128
40,107.981
41,110.837
42,113.698
43,116.563
44,119.432
45,122.305
46,125.182
47,128.063
48,130.949
49,133.839
50,136.733
51,139.631
52,142.533
53,145.439
54,148.35
55,151.264
56,154.183
57,157.106
58,160.033
59,162.964
60,165.9
61,168.832
62,171.768
63,174.707
64,177.651
65,180.599
66,183.551
67,186.507
68,189.467
69,192.432
70,195.401
71,198.373
72,201.349
73,204.33
74,207.315
75,210.303
76,213.296
77,216.293
78,219.295
79,222.3
80,225.31
81,228.324
82,231.342
83,234.364
84,237.39
85,240.42
86,243.455
87,246.493
88,249.536
89,252.583
90,255.634
91,258.689
92,261.748
93,264.811
94,267.878
95,270.95
96,274.026
97,277.106
98,280.19
99,283.278
100,286.37
101,289.467
102,292.567
103,295.672
104,298.781
105,301.894
106,305.011
107,308.133
108,311.258
109,314.388
110,317.523
111,320.67
112,323.821
113,326.976
114,330.136
115,333.3
116,336.467
117,339.639
118,342.815
119,345.996
120,349.18
121,352.369
122,355.561
123,358.758
124,361.959
125,365.165
126,368.374
127,371.587
128,374.805
129,378.027
130,381.253
131,384.483
132,387.717
133,390.956
134,394.198
135,397.445
136,400.696
137,403.951
138,407.21
139,410.473
140,413.741
141,417.012
142,420.288
143,423.568
144,426.852
145,430.14
146,433.433
147,436.729
148,440.03
149,443.334
150,446.644
151,449.956
152,453.274
153,456.595
154,459.92
155,463.25
156,466.584
157,469.921
158,473.264
159,476.61
160,479.96
161,483.314
162,486.673
163,490.036
164,493.403
165,496.774
166,500.149
167,503.528
168,506.912
169,510.3
170,513.692
171,517.087
172,520.488
173,523.892
174,527.301
175,530.713
176,534.13
177,537.551
178,540.976
179,544.405
180,547.838
181,551.276
182,554.717
183,558.163
184,561.613
185,565.067
186,568.526
187,571.988
188,575.454
189,578.925
190,582.4
191,585.879
192,589.362
193,592.85
194,596.341
195,599.837
196,603.336
197,606.84
198,610.348
199,613.861
200,617.377
201,620.898
202,624.422
203,627.951
204,631.484
205,635.021
206,638.562
207,642.108
208,645.657
209,649.211
210,652.769
211,656.331
212,659.897
213,663.467
214,667.042
215,670.621
216,674.203
217,677.79
218,681.381
219,684.977
220,688.576
221,692.179
222,695.787
223,699.399
224,703.015
225,706.635
226,710.26
227,713.888
228,717.521
229,721.157
230,724.798
231,728.443
232,732.092
233,735.746
234,739.403
235,743.065
236,746.731
237,750.4
238,754.075
239,757.753
240,761.435
241,765.122
242,768.813
243,772.507
244,776.207
245,779.909
246,783.617
247,787.328
248,791.044
249,794.764
250,798.488
251,802.216
252,805.948
253,809.684
254,813.425
255,817.169
256,820.918
257,824.671
258,828.428
259,832.189
260,835.955
261,839.724
262,843.498
263,847.276
264,851.058
265,854.844
266,858.635
267,862.429
268,866.228
269,870.031
270,873.838
271,877.649
272,881.464
273,885.283
274,889.107
275,892.935
276,896.766
277,900.602
278,904.442
279,908.287
280,912.135
281,915.988
282,919.844
283,923.706
284,927.57
285,931.44
286,935.313
287,939.191
288,943.072
289,946.958
290,950.848
291,954.742
292,958.64
293,962.543
294,966.449
295,970.36
296,974.274
297,978.194
298,982.117
299,986.044
300,989.975
301,993.911
302,997.851
303,1001.795
304,1005.743
305,1009.695
306,1013.651
307,1017.612
308,1021.576
309,1025.545
310,1029.518
311,1033.496
312,1037.477
313,1041.462
314,1045.452
315,1049.446
316,1053.444
317,1057.445
318,1061.452
319,1065.462
320,1069.477
321,1073.495
322,1077.518
323,1081.545
324,1085.576
325,1089.611
326,1093.651
327,1097.694
328,1101.742
329,1105.793
330,1109.85
331,1113.909
332,1117.974
333,1122.042
334,1126.115
335,1130.191
336,1134.273
337,1138.357
338,1142.447
339,1146.54
340,1150.638
341,1154.739
342,1158.845
343,1162.955
344,1167.069
345,1171.187
346,1175.31
347,1179.436
348,1183.567
349,1187.702
350,1191.841
351,1195.984
352,1200.131
353,1204.282
354,1208.438
355,1212.598
356,1216.762
357,1220.93
358,1225.102
359,1229.279
360,1233.459
361,1237.644
362,1241.833
363,1246.026
364,1250.223
365,1254.424
366,1258.629
367,1262.839
368,1267.053
369,1271.271
370,1275.492
371,1279.719
372,1283.949
373,1288.184
374,1292.422
375,1296.665
376,1300.912
377,1305.163
378,1309.418
379,1313.678
380,1317.941
381,1322.209
382,1326.48
383,1330.757
384,1335.036
385,1339.321
386,1343.609
387,1347.902
388,1352.198
389,1356.5
390,1360.804
391,1365.114
392,1369.427
393,1373.745
394,1378.066
395,1382.392
396,1386.722
397,1391.056
398,1395.394
399,1399.737
400,1404.083
401,1408.434
402,1412.789
403,1417.148
404,1421.511
405,1425.878
406,1430.25
407,1434.625
408,1439.006
409,1443.389
410,1447.778
411,1452.169
412,1456.566
413,1460.966
414,1465.371
415,1469.78
416,1474.193
417,1478.61
418,1483.031
419,1487.456
420,1491.886
421,1496.32
422,1500.758
423,1505.199
424,1509.646
425,1514.096
426,1518.551
427,1523.009
428,1527.472
429,1531.939
430,1536.41
431,1540.885
432,1545.365
433,1549.848
434,1554.336
435,1558.827
436,1563.324
437,1567.823
438,1572.328
439,1576.836
440,1581.349
441,1585.865
442,1590.387
443,1594.911
444,1599.441
445,1603.975
446,1608.512
447,1613.054
448,1617.599
449,1622.15
450,1626.703
451,1631.262
452,1635.824
453,1640.391
454,1644.961
455,1649.536
456,1654.115
457,1658.699
458,1663.285
459,1667.877
460,1672.472
461,1677.073
462,1681.676
463,1686.285
464,1690.896
465,1695.513
466,1700.133
467,1704.758
468,1709.387
469,1714.02
470,1718.657
471,1723.298
472,1727.943
473,1732.593
474,1737.247
475,1741.905
476,1746.566
477,1751.233
478,1755.903
479,1760.578
480,1765.256
481,1769.939
482,1774.626
483,1779.317
484,1784.012
485,1788.712
486,1793.415
487,1798.123
488,1802.834
489,1807.551
490,1812.271
491,1816.99
492,1821.71
493,1826.43
494,1831.15
495,1835.87
496,1840.589
497,1845.309
498,1850.029
499,1854.749
500,1859.469
501,1864.188
502,1868.908
503,1873.628
504,1878.348
505,1883.068
506,1887.787
507,1892.507
508,1897.227
509,1901.947
510,1906.667
511,1911.386
512,1916.106
513,1920.826
514,1925.546
515,1930.266
516,1934.985
517,1939.705
518,1944.425
519,1949.145
520,1953.865
521,1958.584
522,1963.304
523,1968.024
524,1972.744
525,1977.464
526,1982.183
527,1986.903
528,1991.623
529,1996.343
530,2001.063
531,2005.782
532,2010.502
533,2015.222
534,2019.942
535,2024.662
536,2029.381
537,2034.101
538,2038.821
539,2043.541
540,2048.261
541,2052.981
542,2057.7
543,2062.42
544,2067.14
545,2071.86
546,2076.58
547,2081.299
548,2086.019
549,2090.739
550,2095.459
551,2100.179
552,2104.898
553,2109.618
554,2114.338
555,2119.058
556,2123.778
557,2128.497
558,2133.217
559,2137.937
560,2142.657
561,2147.377
562,2152.096
563,2156.816
564,2161.536
565,2166.256
566,2170.976
567,2175.695
568,2180.415
569,2185.135
570,2189.855
571,2194.575
572,2199.294
573,2204.014
574,2208.734
575,2213.454
576,2218.174
577,2222.893
578,2227.613
579,2232.333
580,2237.053
581,2241.773
582,2246.492
583,2251.212
584,2255.932
585,2260.652
586,2265.372
587,2270.091
588,2274.811
589,2279.531
590,2284.251
591,2288.971
592,2293.691
593,2298.41
594,2303.13
595,2307.85
596,2312.57
597,2317.29
598,2322.009
599,2326.729
600,2331.449
601,2336.169
602,2340.888
603,2345.608
604,2350.328
605,2355.047
606,2359.767
607,2364.487
608,2369.206
609,2373.926
610,2378.646
611,2383.365
612,2388.085
613,2392.804
614,2397.524
615,2402.244
616,2406.963
617,2411.683
618,2416.403
619,2421.122
620,2425.842
621,2430.562
622,2435.281
623,2440.001
624,2444.721
625,2449.44
626,2454.16
627,2458.88
628,2463.599
629,2468.319
630,2473.039
631,2477.758
632,2482.478
633,2487.198
634,2491.917
635,2496.637
636,2501.357
637,2506.076
638,2510.796
639,2515.516
640,2520.235
641,2524.955
642,2529.675
643,2534.394
644,2539.114
645,2543.833
646,2548.553
647,2553.273
648,2557.992
649,2562.712
650,2567.432
651,2572.151
652,2576.871
653,2581.591
654,2586.31
655,2591.03
656,2595.75
657,2600.469
658,2605.189
659,2609.909
660,2614.628
661,2619.348
662,2624.068
663,2628.787
664,2633.507
665,2638.227
666,2642.946
667,2647.666
668,2652.386
669,2657.105
670,2661.825
671,2666.545
672,2671.264
673,2675.984
674,2680.704
675,2685.423
676,2690.143
677,2694.862
678,2699.582
679,2704.302
680,2709.021
681,2713.741
682,2718.461
683,2723.18
684,2727.9
685,2732.62
686,2737.339
687,2742.059
688,2746.779
689,2751.498
690,2756.218
691,2760.938
692,2765.657
693,2770.377
694,2775.097
695,2779.816
696,2784.536
697,2789.256
698,2793.975
699,2798.695
700,2803.415
701,2808.134
702,2812.854
703,2817.574
704,2822.293
705,2827.013
706,2831.733
707,2836.452
708,2841.172
709,2845.891
710,2850.611
711,2855.331
712,2860.05
713,2864.77
714,2869.49
715,2874.209
716,2878.929
717,2883.649
718,2888.368
719,2893.088
720,2897.808
721,2902.527
722,2907.247
723,2911.967
724,2916.686
725,2921.406
726,2926.126
727,2930.845
728,2935.565
729,2940.285
730,2945.004
731,2949.724
732,2954.444
733,2959.163
734,2963.883
735,2968.603
736,2973.322
737,2978.042
738,2982.762
739,2987.481
740,2992.201
741,2996.921
742,3001.64
743,3006.36
744,3011.079
745,3015.799
746,3020.519
747,3025.238
748,3029.958
749,3034.678
750,3039.397
751,3044.117
752,3048.837
753,3053.556
754,3058.276
755,3062.996
756,3067.715
757,3072.435
758,3077.155
759,3081.874
760,3086.594
761,3091.314
762,3096.033
763,3100.753
764,3105.473
765,3110.192
766,3114.912
767,3119.632
768,3124.351
769,3129.071
770,3133.791
771,3138.51
772,3143.23
773,3147.95
774,3152.669
775,3157.389
776,3162.108
777,3166.828
778,3171.548
779,3176.267
780,3180.987
781,3185.707
782,3190.426
783,3195.146
784,3199.866
785,3204.585
786,3209.305
787,3214.025
788,3218.744
789,3223.464
790,3228.184
791,3232.903
792,3237.623
793,3242.343
794,3247.062
795,3251.782
796,3256.502
797,3261.221
798,3265.941
799,3270.661
800,3275.38
801,3280.1
802,3284.82
803,3289.539
804,3294.259
805,3298.979
806,3303.698
807,3308.418
808,3313.137
809,3317.857
810,3322.577
811,3327.296
812,3332.016
813,3336.736
814,3341.455
815,3346.175
816,3350.895
817,3355.614
818,3360.334
819,3365.054
820,3369.773
821,3374.493
822,3379.213
823,3383.932
824,3388.652
825,3393.372
826,3398.091
827,3402.811
828,3407.531
829,3412.25
830,3416.97
831,3421.69
832,3426.409
833,3431.129
834,3435.849
835,3440.568
836,3445.288
837,3450.008
838,3454.727
839,3459.447
840,3464.166
841,3468.886
842,3473.606
843,3478.325
844,3483.045
845,3487.765
846,3492.484
847,3497.204
848,3501.924
849,3506.643
850,3511.363
851,3516.083
852,3520.802
853,3525.522
854,3530.242
855,3534.961
856,3539.681
857,3544.401
858,3549.12
859,3553.84
860,3558.56
861,3563.279
862,3567.999
863,3572.719
864,3577.438
865,3582.158
866,3586.878
867,3591.597
868,3596.317
869,3601.037
870,3605.756
871,3610.476
872,3615.195
873,3619.915
874,3624.635
875,3629.354
876,3634.074
877,3638.794
878,3643.513
879,3648.233
880,3652.953
881,3657.672
882,3662.392
883,3667.112
884,3671.831
885,3676.551
886,3681.271
887,3685.99
888,3690.71
889,3695.43
890,3700.149
891,3704.869
892,3709.589
893,3714.308
894,3719.028
895,3723.748
896,3728.467
897,3733.187
898,3737.907
899,3742.626
900,3747.346
901,3752.066
902,3756.785
903,3761.505
904,3766.225
905,3770.944
906,3775.664
907,3780.383
908,3785.103
909,3789.823
910,3794.542
911,3799.262
912,3803.982
913,3808.701
914,3813.421
915,3818.141
916,3822.86
917,3827.58
918,3832.3
919,3837.019
920,3841.739
921,3846.459
922,3851.178
923,3855.898
924,3860.618
925,3865.337
926,3870.057
927,3874.777
928,3879.496
929,3884.216
930,3888.936
931,3893.655
932,3898.375
933,3903.095
934,3907.814
935,3912.534
936,3917.254
937,3921.973
938,3926.693
939,3931.412
940,3936.132
941,3940.852
942,3945.571
943,3950.291
944,3955.011
945,3959.73
946,3964.45
947,3969.17
948,3973.889
949,3978.609
950,3983.329
951,3988.048
952,3992.768
953,3997.488
954,4002.207
955,4006.927
956,4011.647
957,4016.366
958,4021.086
959,4025.806
960,4030.525
961,4035.245
962,4039.965
963,4044.684
964,4049.404
965,4054.124
966,4058.843
967,4063.563
968,4068.283
969,4073.002
970,4077.722
971,4082.441
972,4087.161
973,4091.881
974,4096.6
975,4101.32
976,4106.04
977,4110.759
978,4115.479
979,4120.199
980,4124.918
981,4129.638
982,4134.358
983,4139.077
984,4143.797
985,4148.517
986,4153.236
987,4157.956
988,4162.676
989,4167.395
990,4172.115
991,4176.835
992,4181.554
993,4186.274
994,4190.994
995,4195.713
996,4200.433
997,4205.153
998,4209.872
999,4214.592
1000,4219.312
1001,4224.031
1002,4228.751
1003,4233.47
1004,4238.19
1005,4242.91
1006,4247.629
1007,4252.349
1008,4257.067
1009,4261.781
1010,4266.491
1011,4271.196
1012,4275.897
1013,4280.594
1014,4285.287
1015,4289.976
1016,4294.661
1017,4299.341
1018,4304.017
1019,4308.689
1020,4313.357
1021,4318.021
1022,4322.681
1023,4327.336
