level,trim_-6.0,trim_-5.5,trim_-5.0,trim_-4.5,trim_-4.0,trim_-3.5,trim_-3.0,trim_-2.5,trim_-2.0,trim_-1.5,trim_-1.0,trim_-0.5,trim_0.0,trim_0.5,trim_1.0,trim_1.5,trim_2.0
0,28.0,25.0,23.0,21.0,18.0,16.0,14.0,12.0,9.0,7.0,5.0,2.0,0.0,9.0,18.0,26.0,35.0
1,22.4,19.6,17.7,15.8,13.0,11.2,9.5,7.8,5.5,4.4,3.2,1.2,0.0,8.8,17.5,25.4,34.1
2,16.8,14.2,12.4,10.6,8.0,6.4,5.0,3.5999999999999996,2.0,1.7999999999999998,1.4,0.3999999999999999,0.0,8.6,17.0,24.8,33.2
3,11.200000000000003,8.799999999999997,7.100000000000001,5.399999999999999,3.0,1.6000000000000014,0.5,-0.6000000000000014,-1.5,-0.8000000000000007,-0.40000000000000036,-0.40000000000000036,0.0,8.4,16.5,24.2,32.3
4,5.600000000000001,3.3999999999999986,1.8000000000000007,0.1999999999999993,-2.0,-3.1999999999999993,-4.0,-4.800000000000001,-5.0,-3.4000000000000004,-2.2,-1.2000000000000002,0.0,8.2,16.0,23.6,31.4
5,0.0,-2.0,-3.5,-5.0,-7.0,-8.0,-8.5,-9.0,-8.5,-6.0,-4.0,-2.0,0.0,8.0,15.5,23.0,30.5
6,-5.599999999999994,-7.400000000000006,-8.799999999999997,-10.200000000000003,-12.0,-12.799999999999997,-13.0,-13.200000000000003,-12.0,-8.600000000000001,-5.800000000000001,-2.8000000000000007,0.0,7.8,15.0,22.4,29.6
7,-11.199999999999996,-12.800000000000004,-14.100000000000001,-15.399999999999999,-17.0,-17.6,-17.5,-17.400000000000002,-15.5,-11.2,-7.6,-3.6000000000000005,0.0,7.6,14.5,21.8,28.7
8,-16.799999999999997,-18.200000000000003,-19.4,-20.6,-22.0,-22.4,-22.0,-21.6,-19.0,-13.8,-9.4,-4.4,0.0,7.4,14.0,21.2,27.8
9,-22.4,-23.6,-24.699999999999996,-25.800000000000004,-27.0,-27.199999999999996,-26.5,-25.800000000000004,-22.5,-16.400000000000002,-11.2,-5.2,0.0,7.2,13.5,20.6,26.9
10,-28.0,-29.0,-30.0,-31.0,-32.0,-32.0,-31.0,-30.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
11,-31.4,-32.2,-32.9,-33.5,-33.9,-33.3,-31.8,-30.2,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
